E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
1.63,Ambares-et-Lagrave_01,2021-01-06 07:06:00,7,2,265.69,0.0,0.0,,,,290.0300769426505,1.7030269432473772
1.89,Ambares-et-Lagrave_01,2021-01-06 09:06:00,9,2,357.21,0.0,0.0,265.69,,,402.8539963421951,2.007122309033994
1.79,Ambares-et-Lagrave_01,2021-01-06 11:06:00,11,2,320.40999999999997,0.0,0.0,357.21,265.69,,384.40050630990174,1.9606134405075921
1.91,Ambares-et-Lagrave_01,2021-01-06 13:06:00,13,2,364.81,0.0,0.0,320.40999999999997,357.21,265.69,400.1087155753192,2.0002717704735002
1.97,Ambares-et-Lagrave_01,2021-01-06 15:06:00,15,2,388.09,0.0,0.0,364.81,320.40999999999997,357.21,407.6040861041539,2.018920716878585
2.17,Ambares-et-Lagrave_01,2021-01-06 17:06:00,17,2,470.89,0.0,0.0,388.09,364.81,320.40999999999997,460.667893880213,2.1463175298175545
2.35,Ambares-et-Lagrave_01,2021-01-06 19:06:00,19,2,552.2500000000001,0.0,0.0,470.89,388.09,364.81,566.5823298240775,2.3802989934545566
2.4,Ambares-et-Lagrave_01,2021-01-06 21:06:00,21,2,576.0,0.0,0.0,552.2500000000001,470.89,388.09,587.3473867307632,2.423525091124008
2.18,Ambares-et-Lagrave_01,2021-01-06 23:06:00,23,2,475.24000000000007,0.0,0.0,576.0,552.2500000000001,470.89,570.0722571311464,2.3876185983761027
2.14,Ambares-et-Lagrave_01,2021-01-07 01:05:00,1,3,457.96,0.0,0.0,475.24000000000007,576.0,552.2500000000001,418.298361656617,2.0452343671487063
1.73,Ambares-et-Lagrave_01,2021-01-07 03:05:00,3,3,299.29,0.0,0.0,457.96,475.24000000000007,576.0,270.07466816877263,1.6433948648111707
1.55,Ambares-et-Lagrave_01,2021-01-07 05:05:00,5,3,240.25000000000003,0.0,0.0,299.29,457.96,475.24000000000007,244.45822926570193,1.5635160033261635
1.98,Ambares-et-Lagrave_01,2021-01-07 07:05:00,7,3,392.03999999999996,0.0,0.0,240.25000000000003,299.29,457.96,343.0100871656384,1.8520531503324587
2.19,Ambares-et-Lagrave_01,2021-01-07 09:05:00,9,3,479.61,0.0,0.0,392.03999999999996,240.25000000000003,299.29,497.5500587225301,2.2305830150938792
2.25,Ambares-et-Lagrave_01,2021-01-07 11:05:00,11,3,506.25,0.0,0.0,479.61,392.03999999999996,240.25000000000003,540.8410325666028,2.325598917626603
2.61,Ambares-et-Lagrave_01,2021-01-07 13:05:00,13,3,681.2099999999999,0.0,0.0,506.25,479.61,392.03999999999996,592.1693122871226,2.4334529218522443
2.52,Ambares-et-Lagrave_01,2021-01-07 15:05:00,15,3,635.0400000000001,0.0,0.0,681.2099999999999,506.25,479.61,610.9136725036257,2.4716667908592083
2.8,Ambares-et-Lagrave_01,2021-01-07 17:05:00,17,3,783.9999999999999,0.0,0.0,635.0400000000001,681.2099999999999,506.25,676.7361755182014,2.6014153369237323
2.61,Ambares-et-Lagrave_01,2021-01-07 19:05:00,19,3,681.2099999999999,0.0,0.0,783.9999999999999,635.0400000000001,681.2099999999999,730.5371418547144,2.702845060033435
2.92,Ambares-et-Lagrave_01,2021-01-07 21:05:00,21,3,852.6399999999999,0.0,0.0,681.2099999999999,783.9999999999999,635.0400000000001,767.1268299504477,2.7697054535644177
2.72,Ambares-et-Lagrave_01,2021-01-07 23:05:00,23,3,739.8400000000001,0.0,0.0,852.6399999999999,681.2099999999999,783.9999999999999,774.4978966442673,2.782980231054952
2.36,Ambares-et-Lagrave_01,2021-01-08 01:04:00,1,4,556.9599999999999,0.0,0.0,739.8400000000001,852.6399999999999,681.2099999999999,535.6989017005716,2.314517015924859
1.94,Ambares-et-Lagrave_01,2021-01-08 03:04:00,3,4,376.35999999999996,0.0,0.0,556.9599999999999,739.8400000000001,852.6399999999999,373.1382317262111,1.9316786268067758
1.66,Ambares-et-Lagrave_01,2021-01-08 05:04:00,5,4,275.56,0.0,-1.734723475976807e-18,376.35999999999996,556.9599999999999,739.8400000000001,251.58560323923294,1.586145022497101
1.48,Ambares-et-Lagrave_01,2021-01-08 07:04:00,7,4,219.04,0.0,0.0,275.56,376.35999999999996,556.9599999999999,284.4139603727464,1.6864577088464043
2.2,Ambares-et-Lagrave_01,2021-01-08 09:04:00,9,4,484.00000000000006,0.0,0.0,219.04,275.56,376.35999999999996,504.33724719655794,2.2457454156617085
2.27,Ambares-et-Lagrave_01,2021-01-08 11:04:00,11,4,515.29,0.0,0.0,484.00000000000006,219.04,275.56,550.3942183163084,2.3460482056349745
2.34,Ambares-et-Lagrave_01,2021-01-08 13:04:00,13,4,547.56,0.0,0.0,515.29,484.00000000000006,219.04,584.3323976148274,2.417296832444926
2.49,Ambares-et-Lagrave_01,2021-01-08 15:04:00,15,4,620.0100000000001,0.0,0.0,547.56,515.29,484.00000000000006,583.6775406156593,2.415941929384188
2.49,Ambares-et-Lagrave_01,2021-01-08 17:04:00,17,4,620.0100000000001,0.0,0.0,620.0100000000001,547.56,515.29,630.708853872604,2.5113917533363925
2.69,Ambares-et-Lagrave_01,2021-01-08 19:04:00,19,4,723.6099999999999,0.0,0.0,620.0100000000001,620.0100000000001,547.56,664.3122334499692,2.5774255245301836
2.66,Ambares-et-Lagrave_01,2021-01-08 21:04:00,21,4,707.5600000000001,0.0,0.0,723.6099999999999,620.0100000000001,620.0100000000001,702.7635441197978,2.650968774089574
2.59,Ambares-et-Lagrave_01,2021-01-08 23:04:00,23,4,670.81,0.0,0.0,707.5600000000001,723.6099999999999,620.0100000000001,718.3374992622288,2.6801818954358843
2.06,Ambares-et-Lagrave_01,2021-01-09 01:03:00,1,5,424.35999999999996,0.0,0.0,670.81,707.5600000000001,723.6099999999999,482.1579933741683,2.19580963057859
