E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.09,Ambès_01,2021-01-08 07:06:00,7,4,0.8099999999999999,0.0,0.0,,,,2.0324990210899356,0.14256573996195354
0.13,Ambès_01,2021-01-08 09:06:00,9,4,1.6900000000000002,0.0,0.0,0.8099999999999999,,,1.0822821506193152,0.10403279053352915
0.01,Ambès_01,2021-01-08 13:06:00,13,4,0.01,0.0,0.0,1.6900000000000002,0.8099999999999999,,2.2696612312590565,0.15065394887818429
0.1,Ambès_01,2021-01-08 15:06:00,15,4,1.0000000000000002,0.0,0.0,0.01,1.6900000000000002,0.8099999999999999,1.16085737255113,0.10774309131221035
0.24,Ambès_01,2021-01-08 17:06:00,17,4,5.76,0.0,0.0,1.0000000000000002,0.01,1.6900000000000002,2.5780729769263235,0.16056378722882453
0.09,Ambès_01,2021-01-08 19:06:00,19,4,0.8099999999999999,0.0,0.0,5.76,1.0000000000000002,0.01,2.5090118937554986,0.15839860775131512
0.09,Ambès_01,2021-01-08 21:06:00,21,4,0.8099999999999999,0.0,0.0,0.8099999999999999,5.76,1.0000000000000002,2.609742179032271,0.16154696465833923
0.2,Ambès_01,2021-01-08 23:06:00,23,4,4.000000000000001,0.0,0.0,0.8099999999999999,0.8099999999999999,5.76,3.7010464018430254,0.1923810386145949
0.27,Ambès_01,2021-01-09 01:06:00,1,5,7.290000000000001,0.0,0.0,4.000000000000001,0.8099999999999999,0.8099999999999999,2.434042386249044,0.15601417840212614
0.22,Ambès_01,2021-01-09 03:06:00,3,5,4.84,0.0,0.0,7.290000000000001,4.000000000000001,0.8099999999999999,3.633052760138473,0.19060568617274964
0.16,Ambès_01,2021-01-09 05:06:00,5,5,2.56,0.0,0.0,4.84,7.290000000000001,4.000000000000001,3.802197914497322,0.19499225406403511
0.03,Ambès_01,2021-01-09 07:06:00,7,5,0.09,0.0,0.0,2.56,4.84,7.290000000000001,2.9797566421433577,0.172619716201347
0.11,Ambès_01,2021-01-09 09:06:00,9,5,1.21,0.0,0.0,0.09,2.56,4.84,1.3260576802457051,0.11515457786148604
0.04,Ambès_01,2021-01-09 11:06:00,11,5,0.16,0.0,0.0,1.21,0.09,2.56,1.1771695908480033,0.10849744655281078
0.13,Ambès_01,2021-01-09 13:06:00,13,5,1.6900000000000002,0.0,0.0,0.16,1.21,0.09,0.8836226714118226,0.09400120591842547
0.15,Ambès_01,2021-01-09 15:06:00,15,5,2.25,0.0,0.0,1.6900000000000002,0.16,1.21,2.2305898922898955,0.14935159497942752
0.06,Ambès_01,2021-01-09 17:06:00,17,5,0.36,0.0,0.0,2.25,1.6900000000000002,0.16,3.205238670677683,0.17903180361817514
0.04,Ambès_01,2021-01-09 19:06:00,19,5,0.16,0.0,0.0,0.36,2.25,1.6900000000000002,1.7464936560512325,0.1321549717585847
0.11,Ambès_01,2021-01-09 21:06:00,21,5,1.21,0.0,0.0,0.16,0.36,2.25,1.7640240762149844,0.13281656810108386
0.21,Ambès_01,2021-01-09 23:06:00,23,5,4.409999999999999,0.0,0.0,1.21,0.16,0.36,2.4564032017915984,0.1567291677318424
0.29,Ambès_01,2021-01-10 01:06:00,1,6,8.409999999999998,0.0,1.734723475976807e-18,4.409999999999999,1.21,0.16,3.168654702967875,0.1780071544339686
0.2,Ambès_01,2021-01-10 03:06:00,3,6,4.000000000000001,0.0,0.0,8.409999999999998,4.409999999999999,1.21,3.8326661448662294,0.1957719628768693
0.19,Ambès_01,2021-01-10 05:06:00,5,6,3.61,0.0,0.0,4.000000000000001,8.409999999999998,4.409999999999999,3.9749742666135957,0.19937337501817026
0.13,Ambès_01,2021-01-10 07:06:00,7,6,1.6900000000000002,0.0,0.0,3.61,4.000000000000001,8.409999999999998,3.2289209806801527,0.17969198592814742
0.15,Ambès_01,2021-01-10 09:06:00,9,6,2.25,0.0,0.0,1.6900000000000002,3.61,4.000000000000001,1.4985048774759777,0.12241343380021565
0.02,Ambès_01,2021-01-10 11:06:00,11,6,0.04,0.0,0.0,2.25,1.6900000000000002,3.61,1.463611968501782,0.12097983172834148
0.14,Ambès_01,2021-01-10 13:06:00,13,6,1.9600000000000002,0.0,0.0,0.04,2.25,1.6900000000000002,0.8205554313661905,0.09058451475645218
0.2,Ambès_01,2021-01-10 15:06:00,15,6,4.000000000000001,0.0,0.0,1.9600000000000002,0.04,2.25,2.6228102582265116,0.16195092646312684
0.04,Ambès_01,2021-01-10 17:06:00,17,6,0.16,0.0,0.0,4.000000000000001,1.9600000000000002,0.04,3.2112039736823292,0.17919832515072034
0.09,Ambès_01,2021-01-10 19:06:00,19,6,0.8099999999999999,0.0,0.0,0.16,4.000000000000001,1.9600000000000002,1.7463302355729322,0.1321487887032239
0.17,Ambès_01,2021-01-10 21:06:00,21,6,2.8900000000000006,0.0,0.0,0.8099999999999999,0.16,4.000000000000001,3.6205937800837504,0.19027857945874388
0.19,Ambès_01,2021-01-10 23:06:00,23,6,3.61,0.0,0.0,2.8900000000000006,0.8099999999999999,0.16,3.2866861597956682,0.18129219949561173
0.25,Ambès_01,2021-01-11 01:06:00,1,0,6.25,0.0,0.0,3.61,2.8900000000000006,0.8099999999999999,2.7515620830180567,0.16587833140642744
0.2,Ambès_01,2021-01-11 03:06:00,3,0,4.000000000000001,0.0,0.0,6.25,3.61,2.8900000000000006,3.505514496179363,0.18723019244180045
0.14,Ambès_01,2021-01-11 05:06:00,5,0,1.9600000000000002,0.0,0.0,4.000000000000001,6.25,3.61,3.5566582665924296,0.1885910460916008
0.21,Ambès_01,2021-01-11 07:06:00,7,0,4.409999999999999,0.0,0.0,1.9600000000000002,4.000000000000001,6.25,2.830896755574074,0.16825268959437392
0.1,Ambès_01,2021-01-11 09:06:00,9,0,1.0000000000000002,0.0,0.0,4.409999999999999,1.9600000000000002,4.000000000000001,2.063740063182184,0.1436572331343669
0.15,Ambès_01,2021-01-11 11:06:00,11,0,2.25,0.0,0.0,1.0000000000000002,4.409999999999999,1.9600000000000002,1.4004030154810017,0.11833862494895746
0.15,Ambès_01,2021-01-11 13:06:00,13,0,2.25,0.0,0.0,2.25,1.0000000000000002,4.409999999999999,3.0778101383409835,0.1754368871800051
0.2,Ambès_01,2021-01-11 15:06:00,15,0,4.000000000000001,0.0,0.0,2.25,2.25,1.0000000000000002,3.209404719152737,0.17914811523297522
0.1,Ambès_01,2021-01-11 17:06:00,17,0,1.0000000000000002,0.0,0.0,4.000000000000001,2.25,2.25,3.799458673232124,0.19492200166302737
0.24,Ambès_01,2021-01-11 19:06:00,19,0,5.76,0.0,0.0,1.0000000000000002,4.000000000000001,2.25,3.197860167929574,0.17882561807329436
0.18,Ambès_01,2021-01-11 21:06:00,21,0,3.2399999999999998,0.0,0.0,5.76,1.0000000000000002,4.000000000000001,4.489902343588792,0.21189389664614675
0.28,Ambès_01,2021-01-11 23:06:00,23,0,7.840000000000001,0.0,0.0,3.2399999999999998,5.76,1.0000000000000002,4.615008554496161,0.21482570969267534
0.23,Ambès_01,2021-01-12 01:06:00,1,1,5.29,0.0,0.0,7.840000000000001,3.2399999999999998,5.76,3.408670981243663,0.18462586441892867
0.14,Ambès_01,2021-01-12 03:06:00,3,1,1.9600000000000002,0.0,0.0,5.29,7.840000000000001,3.2399999999999998,3.626368721893546,0.19043026865216428
0.13,Ambès_01,2021-01-12 05:06:00,5,1,1.6900000000000002,0.0,0.0,1.9600000000000002,5.29,7.840000000000001,2.9186860984137377,0.1708416254433836
0.19,Ambès_01,2021-01-12 07:06:00,7,1,3.61,0.0,0.0,1.6900000000000002,1.9600000000000002,5.29,2.755746656719518,0.1660044173122968
0.19,Ambès_01,2021-01-12 09:06:00,9,1,3.61,0.0,0.0,3.61,1.6900000000000002,1.9600000000000002,1.776274458324427,0.1332769469309838
0.17,Ambès_01,2021-01-12 11:06:00,11,1,2.8900000000000006,0.0,0.0,3.61,3.61,1.6900000000000002,2.0275922889829565,0.14239354932660947
0.16,Ambès_01,2021-01-12 13:06:00,13,1,2.56,0.0,0.0,2.8900000000000006,3.61,3.61,3.62117569189549,0.19029386989326508
0.19,Ambès_01,2021-01-12 15:06:00,15,1,3.61,0.0,0.0,2.56,2.8900000000000006,3.61,4.064259985441766,0.20160009884525767
0.13,Ambès_01,2021-01-12 17:06:00,17,1,1.6900000000000002,0.0,0.0,3.61,2.56,2.8900000000000006,4.001013178372575,0.2000253278555637
0.09,Ambès_01,2021-01-12 19:06:00,19,1,0.8099999999999999,0.0,0.0,1.6900000000000002,3.61,2.56,3.3235722210214873,0.18230667077815577
0.2,Ambès_01,2021-01-12 21:06:00,21,1,4.000000000000001,0.0,0.0,0.8099999999999999,1.6900000000000002,3.61,3.6015727373658946,0.18977810035317286
0.14,Ambès_01,2021-01-12 23:06:00,23,1,1.9600000000000002,0.0,0.0,4.000000000000001,0.8099999999999999,1.6900000000000002,3.787614293900034,0.19461794094841398
0.05,Ambès_01,2021-02-08 01:06:00,1,0,0.25000000000000006,0.0,0.0,1.9600000000000002,4.000000000000001,0.8099999999999999,2.3363467275710215,0.1528511278195559
