E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
1.05,Artigues-près-Bordeaux_01,2021-01-04 07:06:00,7,0,110.25,0.0,0.0,,,,112.49582111675902,1.0606404721523643
1.13,Artigues-près-Bordeaux_01,2021-01-04 09:06:00,9,0,127.68999999999997,0.0,0.0,110.25,,,123.21741458102781,1.1100333985111792
1.1,Artigues-près-Bordeaux_01,2021-01-04 11:06:00,11,0,121.00000000000001,0.0,0.0,127.68999999999997,110.25,,127.806637112626,1.1305159756174434
1.14,Artigues-près-Bordeaux_01,2021-01-04 13:06:00,13,0,129.95999999999998,0.0,0.0,121.00000000000001,127.68999999999997,110.25,128.16618802808966,1.132105065919633
1.08,Artigues-près-Bordeaux_01,2021-01-04 15:06:00,15,0,116.64000000000001,0.0,0.0,129.95999999999998,121.00000000000001,127.68999999999997,128.2998691372719,1.1326953215109168
1.24,Artigues-près-Bordeaux_01,2021-01-04 17:06:00,17,0,153.76,0.0,1.734723475976807e-18,116.64000000000001,129.95999999999998,121.00000000000001,145.54102482107487,1.2064038495507003
1.29,Artigues-près-Bordeaux_01,2021-01-04 19:06:00,19,0,166.41,0.0,0.0,153.76,116.64000000000001,129.95999999999998,148.05993270759444,1.2167988030385075
1.25,Artigues-près-Bordeaux_01,2021-01-04 21:06:00,21,0,156.25,0.0,0.0,166.41,153.76,116.64000000000001,162.72643746312,1.2756427300115027
1.24,Artigues-près-Bordeaux_01,2021-01-04 23:06:00,23,0,153.76,0.0,1.734723475976807e-18,156.25,166.41,153.76,182.79865706458273,1.352030536136602
1.07,Artigues-près-Bordeaux_01,2021-01-05 01:06:00,1,1,114.49,0.0,0.0,153.76,156.25,166.41,106.21710665386395,1.0306168378881841
0.95,Artigues-près-Bordeaux_01,2021-01-05 03:06:00,3,1,90.25,0.0,0.0,114.49,153.76,156.25,95.27124978723987,0.9760699246838818
0.92,Artigues-près-Bordeaux_01,2021-01-05 05:06:00,5,1,84.64,0.0,0.0,90.25,114.49,153.76,85.34834208536299,0.9238416643849908
1.08,Artigues-près-Bordeaux_01,2021-01-05 07:06:00,7,1,116.64000000000001,0.0,0.0,84.64,90.25,114.49,113.39703009944299,1.0648804162883407
1.09,Artigues-près-Bordeaux_01,2021-01-05 09:06:00,9,1,118.81000000000002,0.0,0.0,116.64000000000001,84.64,90.25,122.63463858075856,1.107405249133119
1.15,Artigues-près-Bordeaux_01,2021-01-05 11:06:00,11,1,132.24999999999997,0.0,0.0,118.81000000000002,116.64000000000001,84.64,127.96269603170308,1.131205976079083
1.22,Artigues-près-Bordeaux_01,2021-01-05 13:06:00,13,1,148.84,0.0,0.0,132.24999999999997,118.81000000000002,116.64000000000001,137.5165266954267,1.1726744079045415
1.11,Artigues-près-Bordeaux_01,2021-01-05 15:06:00,15,1,123.21000000000002,0.0,0.0,148.84,132.24999999999997,118.81000000000002,136.03049350169957,1.1663211114513
1.15,Artigues-près-Bordeaux_01,2021-01-05 17:06:00,17,1,132.24999999999997,0.0,0.0,123.21000000000002,148.84,132.24999999999997,138.33912417609088,1.176176535117458
1.17,Artigues-près-Bordeaux_01,2021-01-05 19:06:00,19,1,136.89,0.0,0.0,132.24999999999997,123.21000000000002,148.84,143.6655779874787,1.1986057649931388
1.24,Artigues-près-Bordeaux_01,2021-01-05 21:06:00,21,1,153.76,0.0,1.734723475976807e-18,136.89,132.24999999999997,123.21000000000002,143.93655080090994,1.1997355992088838
1.15,Artigues-près-Bordeaux_01,2021-01-05 23:06:00,23,1,132.24999999999997,0.0,0.0,153.76,136.89,132.24999999999997,138.40739681972545,1.1764667305951557
1.0,Artigues-près-Bordeaux_01,2021-01-06 01:06:00,1,2,100.0,0.0,0.0,132.24999999999997,153.76,136.89,100.48254629967523,1.002409827863211
