E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.38,Bassens_01,2021-01-05 07:06:00,7,1,14.44,0.0,0.0,,,,26.720640416893957,0.5169201139140743
0.46,Bassens_01,2021-01-05 09:06:00,9,1,21.16,0.0,0.0,14.44,,,29.19890970807533,0.5403601549714351
0.5,Bassens_01,2021-01-05 11:06:00,11,1,25.0,0.0,0.0,21.16,14.44,,28.794211283328956,0.5366023787063281
0.47,Bassens_01,2021-01-05 13:06:00,13,1,22.089999999999996,0.0,0.0,25.0,21.16,14.44,29.886486071359162,0.5466853397646507
0.62,Bassens_01,2021-01-05 15:06:00,15,1,38.44,0.0,1.734723475976807e-18,22.089999999999996,25.0,21.16,28.077744791883923,0.5298843722160895
0.5,Bassens_01,2021-01-05 17:06:00,17,1,25.0,0.0,0.0,38.44,22.089999999999996,25.0,29.950109057162337,0.5472669280813737
0.66,Bassens_01,2021-01-05 19:06:00,19,1,43.56,0.0,0.0,25.0,38.44,22.089999999999996,31.19980888661406,0.5585678910089091
0.56,Bassens_01,2021-01-05 21:06:00,21,1,31.360000000000003,0.0,0.0,43.56,25.0,38.44,38.05072286644027,0.6168526798712985
0.59,Bassens_01,2021-01-05 23:06:00,23,1,34.809999999999995,0.0,0.0,31.360000000000003,43.56,25.0,40.88340967474966,0.6394013581057649
0.55,Bassens_01,2021-01-06 01:06:00,1,2,30.250000000000004,0.0,0.0,34.809999999999995,31.360000000000003,43.56,27.73520668430895,0.5266422569857925
0.44,Bassens_01,2021-01-06 03:06:00,3,2,19.36,0.0,0.0,30.250000000000004,34.809999999999995,31.360000000000003,22.2562822147416,0.47176564324611003
0.46,Bassens_01,2021-01-06 05:06:00,5,2,21.16,0.0,0.0,19.36,30.250000000000004,34.809999999999995,18.460961820546117,0.4296622140768969
0.45,Bassens_01,2021-01-06 07:06:00,7,2,20.25,0.0,0.0,21.16,19.36,30.250000000000004,23.05627328279681,0.48016948344097016
0.66,Bassens_01,2021-01-06 09:06:00,9,2,43.56,0.0,0.0,20.25,21.16,19.36,30.940346266050028,0.5562404719727793
0.58,Bassens_01,2021-01-06 11:06:00,11,2,33.63999999999999,0.0,1.734723475976807e-18,43.56,20.25,21.16,36.35135681963379,0.6029208639583955
0.57,Bassens_01,2021-01-06 13:06:00,13,2,32.489999999999995,0.0,0.0,33.63999999999999,43.56,20.25,38.2666074128506,0.6186000922474114
0.54,Bassens_01,2021-01-06 15:06:00,15,2,29.160000000000004,0.0,0.0,32.489999999999995,33.63999999999999,43.56,34.68045978154466,0.5889011783104586
0.59,Bassens_01,2021-01-06 17:06:00,17,2,34.809999999999995,0.0,0.0,29.160000000000004,32.489999999999995,33.63999999999999,34.27065341829051,0.5854114230034336
0.65,Bassens_01,2021-01-06 19:06:00,19,2,42.25,0.0,0.0,34.809999999999995,29.160000000000004,32.489999999999995,35.22935744020993,0.5935432371799878
0.62,Bassens_01,2021-01-06 21:06:00,21,2,38.44,0.0,1.734723475976807e-18,42.25,34.809999999999995,29.160000000000004,43.68043172341293,0.660911731802462
0.64,Bassens_01,2021-01-06 23:06:00,23,2,40.96,0.0,0.0,38.44,42.25,34.809999999999995,43.75324654252956,0.6614623688656034
0.5,Bassens_01,2021-01-07 01:06:00,1,3,25.0,0.0,0.0,40.96,38.44,42.25,30.408506866218644,0.5514390888050886
0.51,Bassens_01,2021-01-07 03:06:00,3,3,26.009999999999998,0.0,0.0,25.0,40.96,38.44,21.23147103550187,0.46077620419789334
0.42,Bassens_01,2021-01-07 05:06:00,5,3,17.639999999999997,0.0,0.0,26.009999999999998,25.0,40.96,21.789825493485036,0.46679573148739306
0.47,Bassens_01,2021-01-07 07:06:00,7,3,22.089999999999996,0.0,0.0,17.639999999999997,26.009999999999998,25.0,22.22370386573485,0.47142023573171793
0.6,Bassens_01,2021-01-07 09:06:00,9,3,36.0,0.0,0.0,22.089999999999996,17.639999999999997,26.009999999999998,31.37230828485967,0.5601098846196135
0.55,Bassens_01,2021-01-07 11:06:00,11,3,30.250000000000004,0.0,0.0,36.0,22.089999999999996,17.639999999999997,34.41118745584171,0.5866104964611673
0.6,Bassens_01,2021-01-07 13:06:00,13,3,36.0,0.0,0.0,30.250000000000004,36.0,22.089999999999996,35.184103493516815,0.5931618960580393
0.62,Bassens_01,2021-01-07 15:06:00,15,3,38.44,0.0,1.734723475976807e-18,36.0,30.250000000000004,36.0,35.1369453324189,0.5927642476770921
0.65,Bassens_01,2021-01-07 17:06:00,17,3,42.25,0.0,0.0,38.44,36.0,30.250000000000004,37.916290721109725,0.6157620540526164
0.6,Bassens_01,2021-01-07 19:06:00,19,3,36.0,0.0,0.0,42.25,38.44,36.0,45.35584242155262,0.6734674633681469
0.61,Bassens_01,2021-01-07 21:06:00,21,3,37.21,0.0,0.0,36.0,42.25,38.44,43.58840748154726,0.6602151731181832
0.67,Bassens_01,2021-01-07 23:06:00,23,3,44.89000000000001,0.0,0.0,37.21,36.0,42.25,41.50033425274726,0.6442075306354875
0.62,Bassens_01,2021-01-08 01:06:00,1,4,38.44,0.0,1.734723475976807e-18,44.89000000000001,37.21,36.0,30.636465196359122,0.5535021697912225
0.45,Bassens_01,2021-01-08 03:06:00,3,4,20.25,0.0,0.0,38.44,44.89000000000001,37.21,27.55065671714291,0.5248871947108532
0.43,Bassens_01,2021-01-08 05:06:00,5,4,18.49,0.0,0.0,20.25,38.44,44.89000000000001,18.845434768002573,0.43411328899266116
0.37,Bassens_01,2021-01-08 07:06:00,7,4,13.69,0.0,0.0,18.49,20.25,38.44,22.10341147176145,0.47014265358252116
0.42,Bassens_01,2021-01-08 09:06:00,9,4,17.639999999999997,0.0,0.0,13.69,18.49,20.25,22.441901269948627,0.47372883878806266
0.5,Bassens_01,2021-01-08 11:06:00,11,4,25.0,0.0,0.0,17.639999999999997,13.69,18.49,26.019829096718496,0.5100963545911547
0.58,Bassens_01,2021-01-08 13:06:00,13,4,33.63999999999999,0.0,1.734723475976807e-18,25.0,17.639999999999997,13.69,29.95234981762045,0.5472873999793935
0.57,Bassens_01,2021-01-08 15:06:00,15,4,32.489999999999995,0.0,0.0,33.63999999999999,25.0,17.639999999999997,31.28397988071332,0.5593208370936427
0.57,Bassens_01,2021-01-08 17:06:00,17,4,32.489999999999995,0.0,0.0,32.489999999999995,33.63999999999999,25.0,34.59787017518449,0.5881995424614379
0.51,Bassens_01,2021-01-08 19:06:00,19,4,26.009999999999998,0.0,0.0,32.489999999999995,32.489999999999995,33.63999999999999,36.03439810488587,0.6002865824328065
0.47,Bassens_01,2021-01-08 21:06:00,21,4,22.089999999999996,0.0,0.0,26.009999999999998,32.489999999999995,32.489999999999995,30.231735812204438,0.5498339368591615
0.66,Bassens_01,2021-01-08 23:06:00,23,4,43.56,0.0,0.0,22.089999999999996,26.009999999999998,32.489999999999995,39.023951630328604,0.624691536923053
0.53,Bassens_01,2021-01-09 01:06:00,1,5,28.090000000000003,0.0,0.0,43.56,22.089999999999996,26.009999999999998,28.550893334096422,0.5343303597410166
0.48,Bassens_01,2021-01-09 03:06:00,3,5,23.04,0.0,0.0,28.090000000000003,43.56,22.089999999999996,20.740853912416824,0.45542127653873204
0.49,Bassens_01,2021-01-09 05:06:00,5,5,24.009999999999998,0.0,0.0,23.04,28.090000000000003,43.56,20.84133740400192,0.4565231363688145
0.56,Bassens_01,2021-01-09 07:06:00,7,5,31.360000000000003,0.0,0.0,24.009999999999998,23.04,28.090000000000003,24.610014204357743,0.49608481335712895
0.54,Bassens_01,2021-01-09 09:06:00,9,5,29.160000000000004,0.0,0.0,31.360000000000003,24.009999999999998,23.04,33.76517656956443,0.5810781063640621
0.55,Bassens_01,2021-01-09 11:06:00,11,5,30.250000000000004,0.0,0.0,29.160000000000004,31.360000000000003,24.009999999999998,33.41874977070038,0.5780895239554197
0.51,Bassens_01,2021-01-09 13:06:00,13,5,26.009999999999998,0.0,0.0,30.250000000000004,29.160000000000004,31.360000000000003,32.70143344335655,0.5718516717065409
0.49,Bassens_01,2021-01-09 15:06:00,15,5,24.009999999999998,0.0,0.0,26.009999999999998,30.250000000000004,29.160000000000004,29.62584775614139,0.5442963141170569
0.51,Bassens_01,2021-01-09 17:06:00,17,5,26.009999999999998,0.0,0.0,24.009999999999998,26.009999999999998,30.250000000000004,29.326005096937934,0.541534902817334
0.49,Bassens_01,2021-01-09 19:06:00,19,5,24.009999999999998,0.0,0.0,26.009999999999998,24.009999999999998,26.009999999999998,29.299698989582335,0.54129196363499
0.63,Bassens_01,2021-01-09 21:06:00,21,5,39.690000000000005,0.0,0.0,24.009999999999998,26.009999999999998,24.009999999999998,29.662328484852054,0.5446313292939735
0.66,Bassens_01,2021-01-09 23:06:00,23,5,43.56,0.0,0.0,39.690000000000005,24.009999999999998,26.009999999999998,43.36392349056314,0.658512896537062
0.59,Bassens_01,2021-01-10 01:06:00,1,6,34.809999999999995,0.0,0.0,43.56,39.690000000000005,24.009999999999998,32.09694490284412,0.5665416569224554
0.56,Bassens_01,2021-01-10 03:06:00,3,6,31.360000000000003,0.0,0.0,34.809999999999995,43.56,39.690000000000005,27.513615870986587,0.5245342302556296
0.53,Bassens_01,2021-01-10 05:06:00,5,6,28.090000000000003,0.0,0.0,31.360000000000003,34.809999999999995,43.56,26.982198300992,0.5194439170978133
0.63,Bassens_01,2021-01-10 07:06:00,7,6,39.690000000000005,0.0,0.0,28.090000000000003,31.360000000000003,34.809999999999995,31.94830353765969,0.5652283037645911
0.59,Bassens_01,2021-01-10 09:06:00,9,6,34.809999999999995,0.0,0.0,39.690000000000005,28.090000000000003,31.360000000000003,35.53704934768183,0.5961295945319426
0.59,Bassens_01,2021-01-10 11:06:00,11,6,34.809999999999995,0.0,0.0,34.809999999999995,39.690000000000005,28.090000000000003,36.879723629768826,0.6072867825810869
0.66,Bassens_01,2021-01-10 13:06:00,13,6,43.56,0.0,0.0,34.809999999999995,34.809999999999995,39.690000000000005,37.96197438798152,0.6161328946581373
0.58,Bassens_01,2021-01-10 15:06:00,15,6,33.63999999999999,0.0,1.734723475976807e-18,43.56,34.809999999999995,34.809999999999995,37.618607917086635,0.6133401007360162
0.62,Bassens_01,2021-01-10 17:06:00,17,6,38.44,0.0,1.734723475976807e-18,33.63999999999999,43.56,34.809999999999995,37.46183329044649,0.6120607264842803
0.61,Bassens_01,2021-01-10 19:06:00,19,6,37.21,0.0,0.0,38.44,33.63999999999999,43.56,42.578230550160704,0.6525199655961548
0.7,Bassens_01,2021-01-10 21:06:00,21,6,48.99999999999999,0.0,0.0,37.21,38.44,33.63999999999999,44.16036628456187,0.664532664995197
0.72,Bassens_01,2021-01-10 23:06:00,23,6,51.839999999999996,0.0,0.0,48.99999999999999,37.21,38.44,49.24188912982492,0.7017256524442079
0.51,Bassens_01,2021-01-11 01:06:00,1,0,26.009999999999998,0.0,0.0,51.839999999999996,48.99999999999999,37.21,35.06740332206174,0.5921773663528669
0.5,Bassens_01,2021-01-11 03:06:00,3,0,25.0,0.0,0.0,26.009999999999998,51.839999999999996,48.99999999999999,23.452784550373686,0.4842807507053495
0.47,Bassens_01,2021-01-11 05:06:00,5,0,22.089999999999996,0.0,0.0,25.0,26.009999999999998,51.839999999999996,22.902454682816092,0.47856509152691123
0.52,Bassens_01,2021-01-11 07:06:00,7,0,27.040000000000003,0.0,0.0,22.089999999999996,25.0,26.009999999999998,24.011441497310962,0.49001470893546617
0.57,Bassens_01,2021-01-11 09:06:00,9,0,32.489999999999995,0.0,0.0,27.040000000000003,22.089999999999996,25.0,33.069864178889006,0.5750640327727775
0.59,Bassens_01,2021-01-11 11:06:00,11,0,34.809999999999995,0.0,0.0,32.489999999999995,27.040000000000003,22.089999999999996,33.5517474558907,0.5792387025733925
0.63,Bassens_01,2021-01-11 13:06:00,13,0,39.690000000000005,0.0,0.0,34.809999999999995,32.489999999999995,27.040000000000003,37.18351211592225,0.6097828475442898
0.62,Bassens_01,2021-01-11 15:06:00,15,0,38.44,0.0,1.734723475976807e-18,39.690000000000005,34.809999999999995,32.489999999999995,37.02740289632122,0.6085014617593061
0.49,Bassens_01,2021-01-11 17:06:00,17,0,24.009999999999998,0.0,0.0,38.44,39.690000000000005,34.809999999999995,38.313544884413,0.6189793605962399
0.68,Bassens_01,2021-01-11 19:06:00,19,0,46.24000000000001,0.0,0.0,24.009999999999998,38.44,39.690000000000005,36.34898427029213,0.6029011881750784
0.65,Bassens_01,2021-01-11 21:06:00,21,0,42.25,0.0,0.0,46.24000000000001,24.009999999999998,38.44,41.00522275713762,0.6403532053260733
0.61,Bassens_01,2021-01-11 23:06:00,23,0,37.21,0.0,0.0,42.25,46.24000000000001,24.009999999999998,43.223189490351885,0.6574434537688537
0.55,Bassens_01,2021-01-12 01:06:00,1,1,30.250000000000004,0.0,0.0,37.21,42.25,46.24000000000001,29.0567542417835,0.5390431730555866
0.47,Bassens_01,2021-01-12 03:06:00,3,1,22.089999999999996,0.0,0.0,30.250000000000004,37.21,42.25,22.67694661452761,0.4762031773783918
0.45,Bassens_01,2021-01-12 05:06:00,5,1,20.25,0.0,0.0,22.089999999999996,30.250000000000004,37.21,18.826208271392435,0.4338917868707869
0.53,Bassens_01,2021-01-12 07:06:00,7,1,28.090000000000003,0.0,0.0,20.25,22.089999999999996,30.250000000000004,23.435797528880506,0.4841053349104976
0.63,Bassens_01,2021-01-12 09:06:00,9,1,39.690000000000005,0.0,0.0,28.090000000000003,20.25,22.089999999999996,33.255974200879294,0.5766799302982487
0.61,Bassens_01,2021-01-12 11:06:00,11,1,37.21,0.0,0.0,39.690000000000005,28.090000000000003,20.25,35.09323542605171,0.592395437406904
0.7,Bassens_01,2021-01-12 13:06:00,13,1,48.99999999999999,0.0,0.0,37.21,39.690000000000005,28.090000000000003,38.65292359532497,0.6217147544921624
0.66,Bassens_01,2021-01-12 15:06:00,15,1,43.56,0.0,0.0,48.99999999999999,37.21,39.690000000000005,39.2624490018398,0.6265975502811977
0.68,Bassens_01,2021-01-12 17:06:00,17,1,46.24000000000001,0.0,0.0,43.56,48.99999999999999,37.21,42.59957281817821,0.652683482387736
0.73,Bassens_01,2021-01-12 19:06:00,19,1,53.28999999999999,0.0,0.0,46.24000000000001,43.56,48.99999999999999,45.76857402458738,0.6765247521309725
0.74,Bassens_01,2021-01-12 21:06:00,21,1,54.76,0.0,0.0,53.28999999999999,46.24000000000001,43.56,52.85823838620282,0.7270367142462809
0.62,Bassens_01,2021-01-12 23:06:00,23,1,38.44,0.0,1.734723475976807e-18,54.76,53.28999999999999,46.24000000000001,52.26199047355658,0.7229245498221553
0.51,Bassens_01,2021-02-05 01:06:00,1,4,26.009999999999998,0.0,0.0,38.44,54.76,53.28999999999999,31.70937594502376,0.5631107879007803
0.63,Bassens_01,2021-02-05 03:06:00,3,4,39.690000000000005,0.0,0.0,26.009999999999998,38.44,54.76,25.265284099027898,0.502645840518231
0.44,Bassens_01,2021-02-05 05:06:00,5,4,19.36,0.0,0.0,39.690000000000005,26.009999999999998,38.44,27.351252531658478,0.522984249587485
0.39,Bassens_01,2021-02-05 07:06:00,7,4,15.21,0.0,0.0,19.36,39.690000000000005,26.009999999999998,22.042234297796682,0.4694915792407429
0.49,Bassens_01,2021-02-05 09:06:00,9,4,24.009999999999998,0.0,0.0,15.21,19.36,39.690000000000005,28.697903331471117,0.5357042405233612
0.54,Bassens_01,2021-02-05 11:06:00,11,4,29.160000000000004,0.0,0.0,24.009999999999998,15.21,19.36,30.1059352996033,0.5486887578546082
0.47,Bassens_01,2021-02-05 13:06:00,13,4,22.089999999999996,0.0,0.0,29.160000000000004,24.009999999999998,15.21,31.52275555934778,0.5614512940527235
