E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
1.21,Blanquefort_01,2021-01-08 07:05:00,7,4,146.41,0.0,0.0,,,,220.13654105842994,1.4836999058382054
1.58,Blanquefort_01,2021-01-08 09:05:00,9,4,249.64000000000004,0.0,0.0,146.41,,,262.4599094068658,1.6200614476212494
1.85,Blanquefort_01,2021-01-08 11:05:00,11,4,342.25,0.0,0.0,249.64000000000004,146.41,,364.13289864330795,1.9082266601305726
1.9,Blanquefort_01,2021-01-08 13:05:00,13,4,361.0,0.0,0.0,342.25,249.64000000000004,146.41,370.0423831562563,1.923648572781048
1.88,Blanquefort_01,2021-01-08 15:05:00,15,4,353.43999999999994,0.0,0.0,361.0,342.25,249.64000000000004,383.9754621130016,1.959529183536192
1.96,Blanquefort_01,2021-01-08 17:05:00,17,4,384.15999999999997,0.0,0.0,353.43999999999994,361.0,342.25,399.901094885074,1.9997527219260736
1.94,Blanquefort_01,2021-01-08 19:05:00,19,4,376.35999999999996,0.0,0.0,384.15999999999997,353.43999999999994,361.0,415.90858189774116,2.0393836860623877
2.08,Blanquefort_01,2021-01-08 21:05:00,21,4,432.64000000000004,0.0,0.0,376.35999999999996,384.15999999999997,353.43999999999994,427.3974508901883,2.067359308127613
2.1,Blanquefort_01,2021-01-08 23:05:00,23,4,441.0,0.0,0.0,432.64000000000004,376.35999999999996,384.15999999999997,447.24234884109,2.114810508866196
1.88,Blanquefort_01,2021-01-09 01:05:00,1,5,353.43999999999994,0.0,0.0,441.0,432.64000000000004,376.35999999999996,342.24807939744295,1.8499948091749958
1.6,Blanquefort_01,2021-01-09 03:05:00,3,5,256.00000000000006,0.0,0.0,353.43999999999994,441.0,432.64000000000004,236.87643939442128,1.5390790733241138
1.39,Blanquefort_01,2021-01-09 05:05:00,5,5,193.20999999999998,0.0,0.0,256.00000000000006,353.43999999999994,441.0,169.70869670630202,1.3027229049429583
1.62,Blanquefort_01,2021-01-09 07:05:00,7,5,262.44000000000005,0.0,0.0,193.20999999999998,256.00000000000006,353.43999999999994,224.4843572478277,1.4982802049277288
1.84,Blanquefort_01,2021-01-09 09:05:00,9,5,338.56,0.0,0.0,262.44000000000005,193.20999999999998,256.00000000000006,355.5838328330567,1.8856930631284
2.0,Blanquefort_01,2021-01-09 11:05:00,11,5,400.0,0.0,0.0,338.56,262.44000000000005,193.20999999999998,395.8279223214772,1.989542465798298
2.08,Blanquefort_01,2021-01-09 13:05:00,13,5,432.64000000000004,0.0,0.0,400.0,338.56,262.44000000000005,437.8235916421132,2.0924234553314327
1.81,Blanquefort_01,2021-01-09 15:05:00,15,5,327.61,0.0,0.0,432.64000000000004,400.0,338.56,430.2264502584894,2.0741900835229385
1.98,Blanquefort_01,2021-01-09 17:05:00,17,5,392.03999999999996,0.0,0.0,327.61,432.64000000000004,400.0,412.3906857183676,2.0307404701693605
2.27,Blanquefort_01,2021-01-09 19:05:00,19,5,515.29,0.0,0.0,392.03999999999996,327.61,432.64000000000004,452.45560558067785,2.1271003868663034
2.29,Blanquefort_01,2021-01-09 21:05:00,21,5,524.4100000000001,0.0,-1.734723475976807e-18,515.29,392.03999999999996,327.61,451.18697628411996,2.124116231010252
2.23,Blanquefort_01,2021-01-09 23:05:00,23,5,497.29,0.0,0.0,524.4100000000001,515.29,392.03999999999996,504.1173625639725,2.2452558040543455
1.6,Blanquefort_01,2021-01-10 01:06:00,1,6,256.00000000000006,0.0,0.0,497.29,524.4100000000001,515.29,304.12377537755174,1.7439144915320584
1.28,Blanquefort_01,2021-01-10 03:06:00,3,6,163.84,0.0,0.0,256.00000000000006,497.29,524.4100000000001,173.1910430177099,1.3160206799959866
1.27,Blanquefort_01,2021-01-10 05:06:00,5,6,161.29,0.0,0.0,163.84,256.00000000000006,497.29,159.83651256966877,1.2642646580904995
1.63,Blanquefort_01,2021-01-10 07:06:00,7,6,265.69,0.0,0.0,161.29,163.84,256.00000000000006,275.58123582685363,1.6600639621016222
2.05,Blanquefort_01,2021-01-10 09:06:00,9,6,420.24999999999994,0.0,0.0,265.69,161.29,163.84,379.50738308148175,1.9480949234610765
2.08,Blanquefort_01,2021-01-10 11:06:00,11,6,432.64000000000004,0.0,0.0,420.24999999999994,265.69,161.29,431.1324918106251,2.076373019981297
2.37,Blanquefort_01,2021-01-10 13:06:00,13,6,561.69,0.0,0.0,432.64000000000004,420.24999999999994,265.69,545.3064743584235,2.335179809690088
2.17,Blanquefort_01,2021-01-10 15:06:00,15,6,470.89,0.0,0.0,561.69,432.64000000000004,420.24999999999994,458.01897966622937,2.14013779852193
2.27,Blanquefort_01,2021-01-10 17:06:00,17,6,515.29,0.0,0.0,470.89,561.69,432.64000000000004,523.460198439964,2.287925257607783
2.14,Blanquefort_01,2021-01-10 19:06:00,19,6,457.96,0.0,0.0,515.29,470.89,561.69,487.61965808523064,2.208211172160015
