E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.09,Bordeaux_04,2021-01-06 07:06:00,7,2,0.8099999999999999,0.0,0.0,,,,3.7936544611868017,0.1947730592558119
0.4,Bordeaux_04,2021-01-06 09:06:00,9,2,16.000000000000004,0.0,0.0,0.8099999999999999,,,11.32218311799674,0.3364845184848293
0.35,Bordeaux_04,2021-01-06 11:06:00,11,2,12.249999999999998,0.0,0.0,16.000000000000004,0.8099999999999999,,14.87492024721758,0.38568018159114137
0.41,Bordeaux_04,2021-01-06 13:06:00,13,2,16.809999999999995,0.0,1.734723475976807e-18,12.249999999999998,16.000000000000004,0.8099999999999999,17.645351405943302,0.42006370238266605
0.41,Bordeaux_04,2021-01-06 15:06:00,15,2,16.809999999999995,0.0,1.734723475976807e-18,16.809999999999995,12.249999999999998,16.000000000000004,18.58311688475484,0.4310813946896206
0.41,Bordeaux_04,2021-01-06 17:06:00,17,2,16.809999999999995,0.0,1.734723475976807e-18,16.809999999999995,16.809999999999995,12.249999999999998,18.51834347030974,0.4303294490307367
0.36,Bordeaux_04,2021-01-06 19:06:00,19,2,12.959999999999999,0.0,0.0,16.809999999999995,16.809999999999995,16.809999999999995,17.06465108843202,0.413093828184736
0.34,Bordeaux_04,2021-01-06 21:06:00,21,2,11.560000000000002,0.0,0.0,12.959999999999999,16.809999999999995,16.809999999999995,10.924683434849271,0.3305250888336507
0.27,Bordeaux_04,2021-01-06 23:06:00,23,2,7.290000000000001,0.0,0.0,11.560000000000002,12.959999999999999,16.809999999999995,8.312522348660108,0.2883144524414291
0.16,Bordeaux_04,2021-01-07 01:06:00,1,3,2.56,0.0,0.0,7.290000000000001,11.560000000000002,12.959999999999999,3.3044554370312835,0.18178161174968394
0.15,Bordeaux_04,2021-01-07 03:06:00,3,3,2.25,0.0,0.0,2.56,7.290000000000001,11.560000000000002,1.9173137973838283,0.13846710069124105
0.16,Bordeaux_04,2021-01-07 05:06:00,5,3,2.56,0.0,0.0,2.25,2.56,7.290000000000001,2.050585399252288,0.1431986522021869
0.21,Bordeaux_04,2021-01-07 07:06:00,7,3,4.409999999999999,0.0,0.0,2.56,2.25,2.56,4.191728431869678,0.2047371102626409
0.35,Bordeaux_04,2021-01-07 09:06:00,9,3,12.249999999999998,0.0,0.0,4.409999999999999,2.56,2.25,10.344085121068911,0.32162221815460623
0.35,Bordeaux_04,2021-01-07 11:06:00,11,3,12.249999999999998,0.0,0.0,12.249999999999998,4.409999999999999,2.56,13.288758564932298,0.36453749553279563
0.45,Bordeaux_04,2021-01-07 13:06:00,13,3,20.25,0.0,0.0,12.249999999999998,12.249999999999998,4.409999999999999,18.808281192940306,0.4336851529962757
0.49,Bordeaux_04,2021-01-07 15:06:00,15,3,24.009999999999998,0.0,0.0,20.25,12.249999999999998,12.249999999999998,18.876441725953544,0.4344702720089551
0.43,Bordeaux_04,2021-01-07 17:06:00,17,3,18.49,0.0,0.0,24.009999999999998,20.25,12.249999999999998,20.69917986231491,0.4549635135075659
0.38,Bordeaux_04,2021-01-07 19:06:00,19,3,14.44,0.0,0.0,18.49,24.009999999999998,20.25,17.392401930498814,0.41704198746048116
0.33,Bordeaux_04,2021-01-07 21:06:00,21,3,10.89,0.0,0.0,14.44,18.49,24.009999999999998,12.516778530074362,0.3537905952689297
0.31,Bordeaux_04,2021-01-07 23:06:00,23,3,9.61,0.0,1.734723475976807e-18,10.89,14.44,18.49,8.638337582946981,0.293910489485268
0.24,Bordeaux_04,2021-01-08 01:06:00,1,4,5.76,0.0,0.0,9.61,10.89,14.44,5.275973405700654,0.22969487163845548
0.09,Bordeaux_04,2021-01-08 03:06:00,3,4,0.8099999999999999,0.0,0.0,5.76,9.61,10.89,2.643177052517284,0.1625785057293025
0.05,Bordeaux_04,2021-01-08 05:06:00,5,4,0.25000000000000006,0.0,0.0,0.8099999999999999,5.76,9.61,1.6256933521484143,0.1275026804482327
0.15,Bordeaux_04,2021-01-08 07:06:00,7,4,2.25,0.0,0.0,0.25000000000000006,0.8099999999999999,5.76,2.7617739913644126,0.1661858595478091
0.23,Bordeaux_04,2021-01-08 09:06:00,9,4,5.29,0.0,0.0,2.25,0.25000000000000006,0.8099999999999999,8.796746983996195,0.2965931048422433
0.24,Bordeaux_04,2021-01-08 11:06:00,11,4,5.76,0.0,0.0,5.29,2.25,0.25000000000000006,7.908563770343218,0.2812216878255164
0.31,Bordeaux_04,2021-01-08 13:06:00,13,4,9.61,0.0,1.734723475976807e-18,5.76,5.29,2.25,9.117982466349131,0.30195997195570695
0.33,Bordeaux_04,2021-01-08 15:06:00,15,4,10.89,0.0,0.0,9.61,5.76,5.29,11.683717803248628,0.3418145374797366
0.38,Bordeaux_04,2021-01-08 17:06:00,17,4,14.44,0.0,0.0,10.89,9.61,5.76,14.246865939190167,0.3774502078313134
0.28,Bordeaux_04,2021-01-08 19:06:00,19,4,7.840000000000001,0.0,0.0,14.44,10.89,9.61,10.728652092289702,0.32754621188909666
0.24,Bordeaux_04,2021-01-08 21:06:00,21,4,5.76,0.0,0.0,7.840000000000001,14.44,10.89,7.525335993134643,0.2743234585873881
0.33,Bordeaux_04,2021-01-08 23:06:00,23,4,10.89,0.0,0.0,5.76,7.840000000000001,14.44,8.663094355684029,0.29433134993887466
0.1,Bordeaux_04,2021-01-09 01:06:00,1,5,1.0000000000000002,0.0,0.0,10.89,5.76,7.840000000000001,3.1361070433747864,0.17709057127285988
0.28,Bordeaux_04,2021-01-09 03:06:00,3,5,7.840000000000001,0.0,0.0,1.0000000000000002,10.89,5.76,5.122461166755791,0.226328548061348
0.12,Bordeaux_04,2021-01-09 05:06:00,5,5,1.44,0.0,0.0,7.840000000000001,1.0000000000000002,10.89,4.31333697915613,0.2076857476852018
0.19,Bordeaux_04,2021-01-09 07:06:00,7,5,3.61,0.0,0.0,1.44,7.840000000000001,1.0000000000000002,4.253507497773108,0.20624033305280295
0.32,Bordeaux_04,2021-01-09 09:06:00,9,5,10.24,0.0,0.0,3.61,1.44,7.840000000000001,9.246764521359928,0.30408493092160827
