E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
2.22,Bouliac_01,2021-01-04 07:06:00,7,0,492.8400000000001,0.0,0.0,,,,500.9502681382503,2.238191833016666
2.35,Bouliac_01,2021-01-04 09:06:00,9,0,552.2500000000001,0.0,0.0,492.8400000000001,,,564.4207161383583,2.375754019544865
2.52,Bouliac_01,2021-01-04 11:06:00,11,0,635.0400000000001,0.0,0.0,552.2500000000001,492.8400000000001,,627.6791092486533,2.5053524886703133
2.4,Bouliac_01,2021-01-04 13:06:00,13,0,576.0,0.0,0.0,635.0400000000001,552.2500000000001,492.8400000000001,635.298318510618,2.52051248461621
2.34,Bouliac_01,2021-01-04 15:06:00,15,0,547.56,0.0,0.0,576.0,635.0400000000001,552.2500000000001,582.607257427031,2.413725869743768
2.55,Bouliac_01,2021-01-04 17:06:00,17,0,650.2499999999999,0.0,0.0,547.56,576.0,635.0400000000001,619.2662744650244,2.4885061271072337
2.44,Bouliac_01,2021-01-04 19:06:00,19,0,595.36,0.0,0.0,650.2499999999999,547.56,576.0,630.0459109847146,2.5100715348067566
2.45,Bouliac_01,2021-01-04 21:06:00,21,0,600.2500000000001,0.0,0.0,595.36,650.2499999999999,547.56,609.2526627530314,2.4683044033364916
2.51,Bouliac_01,2021-01-04 23:06:00,23,0,630.0099999999999,0.0,0.0,600.2500000000001,595.36,650.2499999999999,631.0088195828542,2.511988892457238
2.25,Bouliac_01,2021-01-05 01:06:00,1,1,506.25,0.0,0.0,630.0099999999999,600.2500000000001,595.36,507.3896805965529,2.2525311997762714
2.06,Bouliac_01,2021-01-05 03:06:00,3,1,424.35999999999996,0.0,0.0,506.25,630.0099999999999,600.2500000000001,442.42157563472006,2.103381980608183
2.0,Bouliac_01,2021-01-05 05:06:00,5,1,400.0,0.0,0.0,424.35999999999996,506.25,630.0099999999999,411.62615411625956,2.028857200781414
2.1,Bouliac_01,2021-01-05 07:06:00,7,1,441.0,0.0,0.0,400.0,424.35999999999996,506.25,476.5759462362634,2.183061946524339
2.19,Bouliac_01,2021-01-05 09:06:00,9,1,479.61,0.0,0.0,441.0,400.0,424.35999999999996,505.87149532828283,2.249158721229524
2.41,Bouliac_01,2021-01-05 11:06:00,11,1,580.8100000000001,0.0,0.0,479.61,441.0,400.0,568.3627258243531,2.3840359179851993
2.47,Bouliac_01,2021-01-05 13:06:00,13,1,610.0900000000001,0.0,0.0,580.8100000000001,479.61,441.0,590.8445571730049,2.4307294320285933
2.48,Bouliac_01,2021-01-05 15:06:00,15,1,615.04,0.0,1.734723475976807e-18,610.0900000000001,580.8100000000001,479.61,611.3174098312004,2.4724833868626916
2.52,Bouliac_01,2021-01-05 17:06:00,17,1,635.0400000000001,0.0,0.0,615.04,610.0900000000001,580.8100000000001,618.8480036680445,2.487665579751516
2.59,Bouliac_01,2021-01-05 19:06:00,19,1,670.81,0.0,0.0,635.0400000000001,615.04,610.0900000000001,698.3684759035559,2.642666221647289
2.44,Bouliac_01,2021-01-05 21:06:00,21,1,595.36,0.0,0.0,670.81,635.0400000000001,615.04,678.316414173159,2.6044508330416973
2.44,Bouliac_01,2021-01-05 23:06:00,23,1,595.36,0.0,0.0,595.36,670.81,635.0400000000001,625.8355096965662,2.501670461304938
