E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
1.11,Bruges_01,2021-01-05 07:06:00,7,1,123.21000000000002,0.0,0.0,,,,133.3916838112992,1.154953175723151
1.18,Bruges_01,2021-01-05 09:06:00,9,1,139.23999999999998,0.0,0.0,123.21000000000002,,,156.99463833631845,1.252975013064181
1.23,Bruges_01,2021-01-05 11:06:00,11,1,151.29,0.0,0.0,139.23999999999998,123.21000000000002,,159.11879259096554,1.2614229766060454
1.24,Bruges_01,2021-01-05 13:06:00,13,1,153.76,0.0,1.734723475976807e-18,151.29,139.23999999999998,123.21000000000002,164.91827524658393,1.284205105295038
1.2,Bruges_01,2021-01-05 15:06:00,15,1,144.0,0.0,0.0,153.76,151.29,139.23999999999998,167.11625354852748,1.2927345185633727
1.38,Bruges_01,2021-01-05 17:06:00,17,1,190.43999999999997,0.0,0.0,144.0,153.76,151.29,172.26872901303233,1.3125118247582852
1.19,Bruges_01,2021-01-05 19:06:00,19,1,141.60999999999999,0.0,0.0,190.43999999999997,144.0,153.76,166.7486428869656,1.2913119022411494
1.34,Bruges_01,2021-01-05 21:06:00,21,1,179.56000000000003,0.0,0.0,141.60999999999999,190.43999999999997,144.0,179.5787112406234,1.340069816243256
1.52,Bruges_01,2021-01-05 23:06:00,23,1,231.04,0.0,0.0,179.56000000000003,141.60999999999999,190.43999999999997,203.6135666324799,1.4269322570902931
1.11,Bruges_01,2021-01-06 01:06:00,1,2,123.21000000000002,0.0,0.0,231.04,179.56000000000003,141.60999999999999,129.60142885339613,1.1384262332421726
1.0,Bruges_01,2021-01-06 03:06:00,3,2,100.0,0.0,0.0,123.21000000000002,231.04,179.56000000000003,107.79709094849737,1.0382537789408588
1.03,Bruges_01,2021-01-06 05:06:00,5,2,106.08999999999999,0.0,0.0,100.0,123.21000000000002,231.04,105.89702315357243,1.0290627928050475
1.09,Bruges_01,2021-01-06 07:06:00,7,2,118.81000000000002,0.0,0.0,106.08999999999999,100.0,123.21000000000002,131.59849532984666,1.1471638737767444
1.24,Bruges_01,2021-01-06 09:06:00,9,2,153.76,0.0,1.734723475976807e-18,118.81000000000002,106.08999999999999,100.0,154.3319342247701,1.2423040458147518
1.3,Bruges_01,2021-01-06 11:06:00,11,2,169.0,0.0,0.0,153.76,118.81000000000002,106.08999999999999,164.95184652232146,1.2843358070314845
1.24,Bruges_01,2021-01-06 13:06:00,13,2,153.76,0.0,1.734723475976807e-18,169.0,153.76,118.81000000000002,168.98223150891693,1.2999316578532771
1.23,Bruges_01,2021-01-06 15:06:00,15,2,151.29,0.0,0.0,153.76,169.0,153.76,167.44572890015826,1.2940082260177415
1.35,Bruges_01,2021-01-06 17:06:00,17,2,182.25000000000003,0.0,0.0,151.29,153.76,169.0,172.85138626560834,1.314729577767262
1.35,Bruges_01,2021-01-06 19:06:00,19,2,182.25000000000003,0.0,0.0,182.25000000000003,151.29,153.76,169.58758200141312,1.3022579698408958
1.48,Bruges_01,2021-01-06 21:06:00,21,2,219.04,0.0,0.0,182.25000000000003,182.25000000000003,151.29,195.2987412957605,1.3974932604336971
1.39,Bruges_01,2021-01-06 23:06:00,23,2,193.20999999999998,0.0,0.0,219.04,182.25000000000003,182.25000000000003,198.25067003323068,1.4080151633886286
1.22,Bruges_01,2021-01-07 01:06:00,1,3,148.84,0.0,0.0,193.20999999999998,219.04,182.25000000000003,154.6718448726184,1.2436713588107526
1.04,Bruges_01,2021-01-07 03:06:00,3,3,108.16000000000001,0.0,0.0,148.84,193.20999999999998,219.04,114.82844093174805,1.0715803326477584
1.02,Bruges_01,2021-01-07 05:06:00,5,3,104.03999999999999,0.0,0.0,108.16000000000001,148.84,193.20999999999998,108.48874586364327,1.0415793098158357
1.12,Bruges_01,2021-01-07 07:06:00,7,3,125.44000000000001,0.0,0.0,104.03999999999999,108.16000000000001,148.84,125.24713799531654,1.1191386777129837
1.23,Bruges_01,2021-01-07 09:06:00,9,3,151.29,0.0,0.0,125.44000000000001,104.03999999999999,108.16000000000001,159.72065853751627,1.2638063876144805
1.19,Bruges_01,2021-01-07 11:06:00,11,3,141.60999999999999,0.0,0.0,151.29,125.44000000000001,104.03999999999999,163.2374469536251,1.2776441091071689
1.46,Bruges_01,2021-01-07 13:06:00,13,3,213.15999999999997,0.0,0.0,141.60999999999999,151.29,125.44000000000001,172.21810076989743,1.312318942825628
1.45,Bruges_01,2021-01-07 15:06:00,15,3,210.25,0.0,0.0,213.15999999999997,141.60999999999999,151.29,186.16954510415616,1.3644396106246555
1.31,Bruges_01,2021-01-07 17:06:00,17,3,171.61,0.0,0.0,210.25,213.15999999999997,141.60999999999999,181.81018446934715,1.3483700696372163
1.36,Bruges_01,2021-01-07 19:06:00,19,3,184.96000000000004,0.0,0.0,171.61,210.25,213.15999999999997,196.03856522729836,1.4001377261801724
1.31,Bruges_01,2021-01-07 21:06:00,21,3,171.61,0.0,0.0,184.96000000000004,171.61,210.25,193.92994853221586,1.3925873348993802
1.46,Bruges_01,2021-01-07 23:06:00,23,3,213.15999999999997,0.0,0.0,171.61,184.96000000000004,171.61,192.79356825847074,1.3885012360760458
1.22,Bruges_01,2021-01-08 01:06:00,1,4,148.84,0.0,0.0,213.15999999999997,171.61,184.96000000000004,145.81043808572267,1.2075199297971138
1.13,Bruges_01,2021-01-08 03:06:00,3,4,127.68999999999997,0.0,0.0,148.84,213.15999999999997,171.61,118.66008726004455,1.0893121098199752
1.13,Bruges_01,2021-01-08 05:06:00,5,4,127.68999999999997,0.0,0.0,127.68999999999997,148.84,213.15999999999997,110.98995903405253,1.0535177218920075
1.07,Bruges_01,2021-01-08 07:06:00,7,4,114.49,0.0,0.0,127.68999999999997,127.68999999999997,148.84,130.13163946663948,1.1407525562830858
1.12,Bruges_01,2021-01-08 09:06:00,9,4,125.44000000000001,0.0,0.0,114.49,127.68999999999997,127.68999999999997,138.29102537721636,1.1759720463396073
1.24,Bruges_01,2021-01-08 11:06:00,11,4,153.76,0.0,1.734723475976807e-18,125.44000000000001,114.49,127.68999999999997,156.10005840956237,1.2494000896812933
1.39,Bruges_01,2021-01-08 13:06:00,13,4,193.20999999999998,0.0,0.0,153.76,125.44000000000001,114.49,165.56862518812196,1.2867347247514616
1.5,Bruges_01,2021-01-08 15:06:00,15,4,225.0,0.0,0.0,193.20999999999998,153.76,125.44000000000001,192.434157189564,1.3872063912394723
1.22,Bruges_01,2021-01-08 17:06:00,17,4,148.84,0.0,0.0,225.0,193.20999999999998,153.76,175.99889230891992,1.3266457413677546
1.33,Bruges_01,2021-01-08 19:06:00,19,4,176.89000000000001,0.0,0.0,148.84,225.0,193.20999999999998,178.24072896566798,1.3350682715339617
1.29,Bruges_01,2021-01-08 21:06:00,21,4,166.41,0.0,0.0,176.89000000000001,148.84,225.0,175.89037436404124,1.3262366846232283
1.31,Bruges_01,2021-01-08 23:06:00,23,4,171.61,0.0,0.0,166.41,176.89000000000001,148.84,187.4289130572748,1.3690467963414354
1.18,Bruges_01,2021-01-09 01:06:00,1,5,139.23999999999998,0.0,0.0,171.61,166.41,176.89000000000001,137.05894097501582,1.1707217473636329
1.16,Bruges_01,2021-01-09 03:06:00,3,5,134.55999999999997,0.0,1.734723475976807e-18,139.23999999999998,171.61,166.41,116.90375054762178,1.0812203778491312
1.19,Bruges_01,2021-01-09 05:06:00,5,5,141.60999999999999,0.0,0.0,134.55999999999997,139.23999999999998,171.61,122.00029453908299,1.1045374350337023
1.17,Bruges_01,2021-01-09 07:06:00,7,5,136.89,0.0,0.0,141.60999999999999,134.55999999999997,139.23999999999998,129.65412626510644,1.1386576582322996
1.2,Bruges_01,2021-01-09 09:06:00,9,5,144.0,0.0,0.0,136.89,141.60999999999999,134.55999999999997,156.62666270376997,1.251505743909192
1.29,Bruges_01,2021-01-09 11:06:00,11,5,166.41,0.0,0.0,144.0,136.89,141.60999999999999,163.48582043246319,1.2786157375555143
1.41,Bruges_01,2021-01-09 13:06:00,13,5,198.80999999999997,0.0,0.0,166.41,144.0,136.89,167.7686023006826,1.2952551960933514
1.24,Bruges_01,2021-01-09 15:06:00,15,5,153.76,0.0,1.734723475976807e-18,198.80999999999997,166.41,144.0,175.08705276574395,1.3232046431514062
1.31,Bruges_01,2021-01-09 17:06:00,17,5,171.61,0.0,0.0,153.76,198.80999999999997,166.41,173.7461432646664,1.318128003134242
1.38,Bruges_01,2021-01-09 19:06:00,19,5,190.43999999999997,0.0,0.0,171.61,153.76,198.80999999999997,185.95118628172676,1.3636391981815672
1.39,Bruges_01,2021-01-09 21:06:00,21,5,193.20999999999998,0.0,0.0,190.43999999999997,171.61,153.76,187.6770887723091,1.3699528779206571
1.37,Bruges_01,2021-01-09 23:06:00,23,5,187.69000000000003,0.0,0.0,193.20999999999998,190.43999999999997,171.61,194.23910991110327,1.3936969179527638
1.04,Bruges_01,2021-01-10 01:06:00,1,6,108.16000000000001,0.0,0.0,187.69000000000003,193.20999999999998,190.43999999999997,129.3539966879803,1.1373389850347182
0.95,Bruges_01,2021-01-10 03:06:00,3,6,90.25,0.0,0.0,108.16000000000001,187.69000000000003,193.20999999999998,105.1440521513747,1.0253977382039356
1.04,Bruges_01,2021-01-10 05:06:00,5,6,108.16000000000001,0.0,0.0,90.25,108.16000000000001,187.69000000000003,103.08532015306986,1.0153094117217167
1.11,Bruges_01,2021-01-10 07:06:00,7,6,123.21000000000002,0.0,0.0,108.16000000000001,90.25,108.16000000000001,130.47302522671853,1.1422478944026053
1.25,Bruges_01,2021-01-10 09:06:00,9,6,156.25,0.0,0.0,123.21000000000002,108.16000000000001,90.25,159.49522301803245,1.2629141816371865
1.19,Bruges_01,2021-01-10 11:06:00,11,6,141.60999999999999,0.0,0.0,156.25,123.21000000000002,108.16000000000001,153.79764408684622,1.2401517813834169
1.35,Bruges_01,2021-01-10 13:06:00,13,6,182.25000000000003,0.0,0.0,141.60999999999999,156.25,123.21000000000002,166.31687771145516,1.2896390103880044
