E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
1.51,Bègles_01,2021-01-04 07:06:00,7,0,228.01,0.0,0.0,,,,212.63626680019377,1.4582052900747335
1.86,Bègles_01,2021-01-04 09:06:00,9,0,345.96000000000004,0.0,0.0,228.01,,,317.83451137510554,1.7827913825658501
1.7,Bègles_01,2021-01-04 11:06:00,11,0,288.99999999999994,0.0,0.0,345.96000000000004,228.01,,331.1462656776917,1.8197424699052658
1.86,Bègles_01,2021-01-04 13:06:00,13,0,345.96000000000004,0.0,0.0,288.99999999999994,345.96000000000004,228.01,341.91285990068855,1.8490885860355326
1.6,Bègles_01,2021-01-04 15:06:00,15,0,256.00000000000006,0.0,0.0,345.96000000000004,288.99999999999994,345.96000000000004,329.32840535005664,1.8147407675755143
1.83,Bègles_01,2021-01-04 17:06:00,17,0,334.89000000000004,0.0,0.0,256.00000000000006,345.96000000000004,288.99999999999994,354.5725879294293,1.8830097926708436
1.92,Bègles_01,2021-01-04 19:06:00,19,0,368.64,0.0,0.0,334.89000000000004,256.00000000000006,345.96000000000004,367.9698771090514,1.9182540945063857
2.04,Bègles_01,2021-01-04 21:06:00,21,0,416.15999999999997,0.0,0.0,368.64,334.89000000000004,256.00000000000006,359.7930623652579,1.8968211891616402
1.85,Bègles_01,2021-01-04 23:06:00,23,0,342.25,0.0,0.0,416.15999999999997,368.64,334.89000000000004,366.113067448247,1.913408130661744
1.52,Bègles_01,2021-01-05 01:06:00,1,1,231.04,0.0,0.0,342.25,416.15999999999997,368.64,240.93170356976066,1.5521974860492485
1.46,Bègles_01,2021-01-05 03:06:00,3,1,213.15999999999997,0.0,0.0,231.04,342.25,416.15999999999997,205.2003204770257,1.4324814849659513
1.3,Bègles_01,2021-01-05 05:06:00,5,1,169.0,0.0,0.0,213.15999999999997,231.04,342.25,178.5768612412917,1.3363265365968444
1.33,Bègles_01,2021-01-05 07:06:00,7,1,176.89000000000001,0.0,0.0,169.0,213.15999999999997,231.04,200.75617221646155,1.4168845126419498
