E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.02,Carbon-Blanc_01,2021-01-07 09:06:00,9,3,0.04,0.0,0.0,,,,0.41421408143685534,0.06435946561593371
0.02,Carbon-Blanc_01,2021-01-07 11:06:00,11,3,0.04,0.0,0.0,0.04,,,0.4041675203122571,0.06357417088033922
0.03,Carbon-Blanc_01,2021-01-07 17:06:00,17,3,0.09,0.0,0.0,0.04,0.04,,0.20776099967008768,0.04558080732831393
0.09,Carbon-Blanc_01,2021-01-07 19:06:00,19,3,0.8099999999999999,0.0,0.0,0.09,0.04,0.04,0.36078961249483377,0.06006576499927673
0.05,Carbon-Blanc_01,2021-01-07 21:06:00,21,3,0.25000000000000006,0.0,0.0,0.8099999999999999,0.09,0.04,0.7047433694853953,0.0839489946029966
0.14,Carbon-Blanc_01,2021-01-07 23:06:00,23,3,1.9600000000000002,0.0,0.0,0.25000000000000006,0.8099999999999999,0.09,0.9518914590934904,0.09756492500348116
0.06,Carbon-Blanc_01,2021-01-08 01:06:00,1,4,0.36,0.0,0.0,1.9600000000000002,0.25000000000000006,0.8099999999999999,0.6780605511681458,0.08234443218385477
0.06,Carbon-Blanc_01,2021-01-08 03:06:00,3,4,0.36,0.0,0.0,0.36,1.9600000000000002,0.25000000000000006,0.6595705968368462,0.08121395180859298
0.03,Carbon-Blanc_01,2021-01-08 05:06:00,5,4,0.09,0.0,0.0,0.36,0.36,1.9600000000000002,0.6580109258785082,0.08111787262240722
0.04,Carbon-Blanc_01,2021-01-08 07:06:00,7,4,0.16,0.0,0.0,0.09,0.36,0.36,0.3817380962267316,0.06178495741090477
0.05,Carbon-Blanc_01,2021-01-08 09:06:00,9,4,0.25000000000000006,0.0,0.0,0.16,0.09,0.36,1.0354336289781507,0.10175625921672588
0.06,Carbon-Blanc_01,2021-01-08 11:06:00,11,4,0.36,0.0,0.0,0.25000000000000006,0.16,0.09,0.8786271718373988,0.09373511464960177
0.11,Carbon-Blanc_01,2021-01-08 13:06:00,13,4,1.21,0.0,0.0,0.36,0.25000000000000006,0.16,0.49314878660733785,0.07022455315680819
0.06,Carbon-Blanc_01,2021-01-08 15:06:00,15,4,0.36,0.0,0.0,1.21,0.36,0.25000000000000006,0.44165321532022034,0.06645699476505242
0.03,Carbon-Blanc_01,2021-01-08 21:06:00,21,4,0.09,0.0,0.0,0.36,1.21,0.36,1.0567111409417937,0.10279645621040609
0.05,Carbon-Blanc_01,2021-01-08 23:06:00,23,4,0.25000000000000006,0.0,0.0,0.09,0.36,1.21,0.5302762167515127,0.07282006706612627
0.01,Carbon-Blanc_01,2021-01-09 01:06:00,1,5,0.01,0.0,0.0,0.25000000000000006,0.09,0.36,0.3819974342956985,0.061805941000497557
0.13,Carbon-Blanc_01,2021-01-09 03:06:00,3,5,1.6900000000000002,0.0,0.0,0.01,0.25000000000000006,0.09,0.30133573486799814,0.05489405567709478
0.05,Carbon-Blanc_01,2021-01-09 05:06:00,5,5,0.25000000000000006,0.0,0.0,1.6900000000000002,0.01,0.25000000000000006,0.5678628718703519,0.07535667666971202
0.14,Carbon-Blanc_01,2021-01-09 07:06:00,7,5,1.9600000000000002,0.0,0.0,0.25000000000000006,1.6900000000000002,0.01,0.6498166843939974,0.08061120793003895
0.1,Carbon-Blanc_01,2021-01-09 09:06:00,9,5,1.0000000000000002,0.0,0.0,1.9600000000000002,0.25000000000000006,1.6900000000000002,1.6124168033340651,0.12698097508422532
0.16,Carbon-Blanc_01,2021-01-09 11:06:00,11,5,2.56,0.0,0.0,1.0000000000000002,1.9600000000000002,0.25000000000000006,1.526477575955193,0.12355070116981097
0.02,Carbon-Blanc_01,2021-01-09 13:06:00,13,5,0.04,0.0,0.0,2.56,1.0000000000000002,1.9600000000000002,0.5421305235321132,0.0736295133443182
0.03,Carbon-Blanc_01,2021-01-09 17:06:00,17,5,0.09,0.0,0.0,0.04,2.56,1.0000000000000002,0.265792278177543,0.051555046132996815
0.01,Carbon-Blanc_01,2021-01-09 19:06:00,19,5,0.01,0.0,0.0,0.09,0.04,2.56,0.4530705476249206,0.06731051534678074
0.02,Carbon-Blanc_01,2021-01-09 21:06:00,21,5,0.04,0.0,0.0,0.01,0.09,0.04,0.3660528820934713,0.0605023042613644
0.04,Carbon-Blanc_01,2021-01-09 23:06:00,23,5,0.16,0.0,0.0,0.04,0.01,0.09,0.32238559642100684,0.05677900989106862
0.05,Carbon-Blanc_01,2021-01-10 01:06:00,1,6,0.25000000000000006,0.0,0.0,0.16,0.04,0.01,0.28758818611803566,0.053627249241223966
0.07,Carbon-Blanc_01,2021-01-10 03:06:00,3,6,0.49000000000000005,0.0,0.0,0.25000000000000006,0.16,0.04,0.3789924653220364,0.061562363934634316
0.06,Carbon-Blanc_01,2021-01-10 05:06:00,5,6,0.36,0.0,0.0,0.49000000000000005,0.25000000000000006,0.16,0.5000123939776883,0.07071155449979079
0.02,Carbon-Blanc_01,2021-01-10 07:06:00,7,6,0.04,0.0,0.0,0.36,0.49000000000000005,0.25000000000000006,0.5714521605925643,0.07559445486228235
0.09,Carbon-Blanc_01,2021-01-10 09:06:00,9,6,0.8099999999999999,0.0,0.0,0.04,0.36,0.49000000000000005,1.138909809364197,0.1067197174548451
0.14,Carbon-Blanc_01,2021-01-10 11:06:00,11,6,1.9600000000000002,0.0,0.0,0.8099999999999999,0.04,0.36,1.1178638025124168,0.10572907842747976
0.02,Carbon-Blanc_01,2021-01-10 13:06:00,13,6,0.04,0.0,0.0,1.9600000000000002,0.8099999999999999,0.04,0.391775142841298,0.0625919437980079
0.03,Carbon-Blanc_01,2021-01-10 15:06:00,15,6,0.09,0.0,0.0,0.04,1.9600000000000002,0.8099999999999999,0.2838433815598661,0.05327695388813686
0.02,Carbon-Blanc_01,2021-01-10 17:06:00,17,6,0.04,0.0,0.0,0.09,0.04,1.9600000000000002,0.24530239935783338,0.0495280122110542
0.01,Carbon-Blanc_01,2021-01-10 19:06:00,19,6,0.01,0.0,0.0,0.04,0.09,0.04,0.3919711995052457,0.06260760333260217
0.08,Carbon-Blanc_01,2021-01-10 21:06:00,21,6,0.64,0.0,0.0,0.01,0.04,0.09,0.3021384743703578,0.05496712420805347
0.13,Carbon-Blanc_01,2021-01-10 23:06:00,23,6,1.6900000000000002,0.0,0.0,0.64,0.01,0.04,1.0467136786985451,0.10230902593117311
0.04,Carbon-Blanc_01,2021-01-11 01:06:00,1,0,0.16,0.0,0.0,1.6900000000000002,0.64,0.01,0.5951694431560227,0.07714722568932876
0.07,Carbon-Blanc_01,2021-01-11 03:06:00,3,0,0.49000000000000005,0.0,0.0,0.16,1.6900000000000002,0.64,0.7107079034855428,0.08430349361002441
0.1,Carbon-Blanc_01,2021-01-11 05:06:00,5,0,1.0000000000000002,0.0,0.0,0.49000000000000005,0.16,1.6900000000000002,0.6151418418696543,0.07843097869271136
0.07,Carbon-Blanc_01,2021-01-11 07:06:00,7,0,0.49000000000000005,0.0,0.0,1.0000000000000002,0.49000000000000005,0.16,0.6831977721946696,0.08265577851515704
0.2,Carbon-Blanc_01,2021-01-11 09:06:00,9,0,4.000000000000001,0.0,0.0,0.49000000000000005,1.0000000000000002,0.49000000000000005,1.8294038088948523,0.1352554549323188
0.18,Carbon-Blanc_01,2021-01-11 11:06:00,11,0,3.2399999999999998,0.0,0.0,4.000000000000001,0.49000000000000005,1.0000000000000002,2.448554258736002,0.15647856909928598
