E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
2.17,Cenon_01,2021-01-10 07:06:00,7,6,470.89,0.0,0.0,,,,428.78527567039697,2.0707131034269257
2.32,Cenon_01,2021-01-10 09:06:00,9,6,538.2399999999999,0.0,1.734723475976807e-18,470.89,,,501.58845879393067,2.2396170627898218
2.45,Cenon_01,2021-01-10 11:06:00,11,6,600.2500000000001,0.0,0.0,538.2399999999999,470.89,,568.9385734902065,2.385243328237617
2.35,Cenon_01,2021-01-10 13:06:00,13,6,552.2500000000001,0.0,0.0,600.2500000000001,538.2399999999999,470.89,564.785882688654,2.3765224229715445
2.21,Cenon_01,2021-01-10 15:06:00,15,6,488.41,0.0,0.0,552.2500000000001,600.2500000000001,538.2399999999999,575.5823027442843,2.399129639565741
2.3,Cenon_01,2021-01-10 17:06:00,17,6,528.9999999999999,0.0,0.0,488.41,552.2500000000001,600.2500000000001,537.3196640520961,2.3180156687393123
2.43,Cenon_01,2021-01-10 19:06:00,19,6,590.49,0.0,0.0,528.9999999999999,488.41,552.2500000000001,571.0339126290518,2.389631587983913
2.37,Cenon_01,2021-01-10 21:06:00,21,6,561.69,0.0,0.0,590.49,528.9999999999999,488.41,547.9857541402081,2.340909554297663
2.16,Cenon_01,2021-01-10 23:06:00,23,6,466.56000000000006,0.0,0.0,561.69,590.49,528.9999999999999,544.6540773307572,2.333782503428195
2.05,Cenon_01,2021-01-11 01:06:00,1,0,420.24999999999994,0.0,0.0,466.56000000000006,561.69,590.49,419.0677539950841,2.047114442318954
1.88,Cenon_01,2021-01-11 03:06:00,3,0,353.43999999999994,0.0,0.0,420.24999999999994,466.56000000000006,561.69,366.52611241933005,1.914487170025775
1.89,Cenon_01,2021-01-11 05:06:00,5,0,357.21,0.0,0.0,353.43999999999994,420.24999999999994,466.56000000000006,342.2178741961033,1.8499131714653618
1.95,Cenon_01,2021-01-11 07:06:00,7,0,380.24999999999994,0.0,0.0,357.21,353.43999999999994,420.24999999999994,403.5736950700991,2.0089143711719
2.24,Cenon_01,2021-01-11 09:06:00,9,0,501.76000000000005,0.0,0.0,380.24999999999994,357.21,353.43999999999994,492.50888693332223,2.219254124550233
2.19,Cenon_01,2021-01-11 11:06:00,11,0,479.61,0.0,0.0,501.76000000000005,380.24999999999994,357.21,533.2370263519239,2.30919255661351
2.29,Cenon_01,2021-01-11 13:06:00,13,0,524.4100000000001,0.0,-1.734723475976807e-18,479.61,501.76000000000005,380.24999999999994,524.1494266290065,2.2894309918165394
2.52,Cenon_01,2021-01-11 15:06:00,15,0,635.0400000000001,0.0,0.0,524.4100000000001,479.61,501.76000000000005,546.0909960108797,2.336858994485717
2.37,Cenon_01,2021-01-11 17:06:00,17,0,561.69,0.0,0.0,635.0400000000001,524.4100000000001,479.61,564.1807317151978,2.3752488958321774
2.24,Cenon_01,2021-01-11 19:06:00,19,0,501.76000000000005,0.0,0.0,561.69,635.0400000000001,524.4100000000001,552.4146557059034,2.3503503051798544
2.37,Cenon_01,2021-01-11 21:06:00,21,0,561.69,0.0,0.0,501.76000000000005,561.69,635.0400000000001,535.4716010850357,2.3140259313262583
2.46,Cenon_01,2021-01-11 23:06:00,23,0,605.16,0.0,0.0,561.69,501.76000000000005,561.69,556.6349411298519,2.3593112154394804
2.25,Cenon_01,2021-01-12 01:06:00,1,1,506.25,0.0,0.0,605.16,561.69,501.76000000000005,499.9969858434838,2.236061237630767
1.96,Cenon_01,2021-01-12 03:06:00,3,1,384.15999999999997,0.0,0.0,506.25,605.16,561.69,389.7476850385826,1.974202839220384
1.92,Cenon_01,2021-01-12 05:06:00,5,1,368.64,0.0,0.0,384.15999999999997,506.25,605.16,360.0121074387596,1.8973985017353618
2.07,Cenon_01,2021-01-12 07:06:00,7,1,428.48999999999995,0.0,0.0,368.64,384.15999999999997,506.25,410.82518257891394,2.0268822920409413
2.24,Cenon_01,2021-01-12 09:06:00,9,1,501.76000000000005,0.0,0.0,428.48999999999995,368.64,384.15999999999997,492.4417263233292,2.219102805918034
2.39,Cenon_01,2021-01-12 11:06:00,11,1,571.21,0.0,0.0,501.76000000000005,428.48999999999995,368.64,540.7268672965537,2.325353451190923
2.34,Cenon_01,2021-01-12 13:06:00,13,1,547.56,0.0,0.0,571.21,501.76000000000005,428.48999999999995,562.0389215281119,2.3707360070832686
2.3,Cenon_01,2021-01-12 15:06:00,15,1,528.9999999999999,0.0,0.0,547.56,571.21,501.76000000000005,579.9896918174519,2.408297514464216
2.43,Cenon_01,2021-01-12 17:06:00,17,1,590.49,0.0,0.0,528.9999999999999,547.56,571.21,572.2509260922866,2.3921766784505833
2.38,Cenon_01,2021-01-12 19:06:00,19,1,566.4399999999999,0.0,0.0,590.49,528.9999999999999,547.56,553.7581630207792,2.3532066696760383
2.36,Cenon_01,2021-01-12 21:06:00,21,1,556.9599999999999,0.0,0.0,566.4399999999999,590.49,528.9999999999999,554.5842419535486,2.354961235251121
2.21,Cenon_01,2021-01-12 23:06:00,23,1,488.41,0.0,0.0,556.9599999999999,566.4399999999999,590.49,567.3355677013336,2.3818807016753243
2.08,Cenon_01,2021-02-10 01:06:00,1,2,432.64000000000004,0.0,0.0,488.41,556.9599999999999,566.4399999999999,426.0241433018124,2.064035230566117
1.92,Cenon_01,2021-02-10 03:06:00,3,2,368.64,0.0,0.0,432.64000000000004,488.41,556.9599999999999,372.83420552838083,1.930891518258809
1.89,Cenon_01,2021-02-10 05:06:00,5,2,357.21,0.0,0.0,368.64,432.64000000000004,488.41,346.2839727479808,1.8608706906928831
1.96,Cenon_01,2021-02-10 07:06:00,7,2,384.15999999999997,0.0,0.0,357.21,368.64,432.64000000000004,402.2408011590432,2.005594179187413
1.99,Cenon_01,2021-02-10 09:06:00,9,2,396.01,0.0,0.0,384.15999999999997,357.21,368.64,472.60938449909185,2.1739581056200046
2.18,Cenon_01,2021-02-10 11:06:00,11,2,475.24000000000007,0.0,0.0,396.01,384.15999999999997,357.21,489.4634116054456,2.2123820004814845
2.17,Cenon_01,2021-02-10 13:06:00,13,2,470.89,0.0,0.0,475.24000000000007,396.01,384.15999999999997,499.8551095956116,2.2357439692317445
2.12,Cenon_01,2021-02-10 15:06:00,15,2,449.44000000000005,0.0,0.0,470.89,475.24000000000007,396.01,492.0510694960442,2.2182224178292946
2.21,Cenon_01,2021-02-10 17:06:00,17,2,488.41,0.0,0.0,449.44000000000005,470.89,475.24000000000007,489.5020964054483,2.21246942669373
2.24,Cenon_01,2021-02-10 19:06:00,19,2,501.76000000000005,0.0,0.0,488.41,449.44000000000005,470.89,522.2632302274704,2.285307922857378
2.2,Cenon_01,2021-02-10 21:06:00,21,2,484.00000000000006,0.0,0.0,501.76000000000005,488.41,449.44000000000005,517.7171671392435,2.27533990238655
2.3,Cenon_01,2021-02-10 23:06:00,23,2,528.9999999999999,0.0,0.0,484.00000000000006,501.76000000000005,488.41,521.2592627326327,2.2831102967938994
2.05,Cenon_01,2021-02-11 01:06:00,1,3,420.24999999999994,0.0,0.0,528.9999999999999,484.00000000000006,501.76000000000005,449.44410704323707,2.1200096864006004
1.95,Cenon_01,2021-02-11 03:06:00,3,3,380.24999999999994,0.0,0.0,420.24999999999994,528.9999999999999,484.00000000000006,370.58638181138923,1.9250620296795353
1.87,Cenon_01,2021-02-11 05:06:00,5,3,349.69000000000005,0.0,0.0,380.24999999999994,420.24999999999994,528.9999999999999,344.51304781794636,1.856106268019012
2.03,Cenon_01,2021-02-11 07:06:00,7,3,412.08999999999986,0.0,0.0,349.69000000000005,380.24999999999994,420.24999999999994,404.29995234938065,2.010721145135199
2.21,Cenon_01,2021-02-11 09:06:00,9,3,488.41,0.0,0.0,412.08999999999986,349.69000000000005,380.24999999999994,497.4516983312788,2.2303625228452857
2.47,Cenon_01,2021-02-11 11:06:00,11,3,610.0900000000001,0.0,0.0,488.41,412.08999999999986,349.69000000000005,554.9679792614958,2.355775836665059
2.45,Cenon_01,2021-02-11 13:06:00,13,3,600.2500000000001,0.0,0.0,610.0900000000001,488.41,412.08999999999986,571.7436446966548,2.3911161508731746
2.27,Cenon_01,2021-02-11 15:06:00,15,3,515.29,0.0,0.0,600.2500000000001,610.0900000000001,488.41,589.7424090865396,2.4284612599062387
2.4,Cenon_01,2021-02-11 17:06:00,17,3,576.0,0.0,0.0,515.29,600.2500000000001,610.0900000000001,551.4213575865258,2.34823626917422
2.38,Cenon_01,2021-02-11 19:06:00,19,3,566.4399999999999,0.0,0.0,576.0,515.29,600.2500000000001,557.343770451823,2.360812932978433
2.32,Cenon_01,2021-02-11 21:06:00,21,3,538.2399999999999,0.0,1.734723475976807e-18,566.4399999999999,576.0,515.29,551.4412533054119,2.3482786319034035
