E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
1.18,Eysines_01,2022-01-03 07:06:00,7,0,139.23999999999998,0.0,0.0,,,,128.01180475346635,1.131423018828353
1.42,Eysines_01,2022-01-03 09:06:00,9,0,201.64,0.0,0.0,139.23999999999998,,,175.2054549253249,1.3236519743698676
0.26,Eysines_01,2022-01-03 11:06:00,11,0,6.760000000000001,0.0,0.0,201.64,139.23999999999998,,61.437725230095886,0.7838222070731085
0.24,Eysines_01,2022-01-03 13:06:00,13,0,5.76,0.0,0.0,6.760000000000001,201.64,139.23999999999998,49.82674673369371,0.705880632498822
0.39,Eysines_01,2022-01-03 15:06:00,15,0,15.21,0.0,0.0,5.76,6.760000000000001,201.64,55.876041505396486,0.7475027859840824
1.43,Eysines_01,2022-01-03 17:06:00,17,0,204.48999999999998,0.0,0.0,15.21,5.76,6.760000000000001,148.32713837085848,1.2178962943159755
1.33,Eysines_01,2022-01-03 19:06:00,19,0,176.89000000000001,0.0,0.0,204.48999999999998,15.21,5.76,154.75230012534263,1.2439947754124316
1.36,Eysines_01,2022-01-03 21:06:00,21,0,184.96000000000004,0.0,0.0,176.89000000000001,204.48999999999998,15.21,192.40864060746634,1.3871144170812526
1.31,Eysines_01,2022-01-03 23:06:00,23,0,171.61,0.0,0.0,184.96000000000004,176.89000000000001,204.48999999999998,181.73756564343455,1.3481007590066647
1.04,Eysines_01,2022-01-04 01:06:00,1,1,108.16000000000001,0.0,0.0,171.61,184.96000000000004,176.89000000000001,111.54910280108459,1.0561680870064414
0.99,Eysines_01,2022-01-04 03:06:00,3,1,98.00999999999999,0.0,0.0,108.16000000000001,171.61,184.96000000000004,96.30601598826104,0.981356285903652
0.93,Eysines_01,2022-01-04 05:06:00,5,1,86.49000000000001,0.0,0.0,98.00999999999999,108.16000000000001,171.61,85.80864374354607,0.9263295512048942
1.12,Eysines_01,2022-01-04 07:06:00,7,1,125.44000000000001,0.0,0.0,86.49000000000001,98.00999999999999,108.16000000000001,122.29763740538532,1.1058826221863933
1.17,Eysines_01,2022-01-04 09:06:00,9,1,136.89,0.0,0.0,125.44000000000001,86.49000000000001,98.00999999999999,146.66718738703085,1.2110622914905362
1.21,Eysines_01,2022-01-04 11:06:00,11,1,146.41,0.0,0.0,136.89,125.44000000000001,86.49000000000001,151.34286398136072,1.2302148754642854
1.33,Eysines_01,2022-01-04 13:06:00,13,1,176.89000000000001,0.0,0.0,146.41,136.89,125.44000000000001,164.6161831073927,1.2830283828013809
1.48,Eysines_01,2022-01-04 15:06:00,15,1,219.04,0.0,0.0,176.89000000000001,146.41,136.89,181.58758816845614,1.3475443895043167
