E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.98,Floirac_01,2021-01-08 07:06:00,7,4,96.03999999999999,0.0,0.0,,,,100.73481506619562,1.0036673506007636
1.0,Floirac_01,2021-01-08 09:06:00,9,4,100.0,0.0,0.0,96.03999999999999,,,97.47546960986745,0.9872966606338109
1.0,Floirac_01,2021-01-08 11:06:00,11,4,100.0,0.0,0.0,100.0,96.03999999999999,,97.65539175702924,0.9882074263889603
1.01,Floirac_01,2021-01-08 13:06:00,13,4,102.01,0.0,0.0,100.0,100.0,96.03999999999999,98.56702434777576,0.992809268428613
1.02,Floirac_01,2021-01-08 15:06:00,15,4,104.03999999999999,0.0,0.0,102.01,100.0,100.0,99.44934791820675,0.9972429388980739
0.99,Floirac_01,2021-01-08 17:06:00,17,4,98.00999999999999,0.0,0.0,104.03999999999999,102.01,100.0,100.81751409312899,1.0040792503240419
1.0,Floirac_01,2021-01-08 19:06:00,19,4,100.0,0.0,0.0,98.00999999999999,104.03999999999999,102.01,99.9623150421911,0.9998115574556592
1.0,Floirac_01,2021-01-08 21:06:00,21,4,100.0,0.0,0.0,100.0,98.00999999999999,104.03999999999999,102.83674691064904,1.014084547316687
1.01,Floirac_01,2021-01-08 23:06:00,23,4,102.01,0.0,0.0,100.0,100.0,98.00999999999999,102.86107606839278,1.014204496481813
1.03,Floirac_01,2021-01-09 01:06:00,1,5,106.08999999999999,0.0,0.0,102.01,100.0,100.0,103.53810746511842,1.017536768206036
1.01,Floirac_01,2021-01-09 03:06:00,3,5,102.01,0.0,0.0,106.08999999999999,102.01,100.0,103.76242783071943,1.018638443368006
1.02,Floirac_01,2021-01-09 05:06:00,5,5,104.03999999999999,0.0,0.0,102.01,106.08999999999999,102.01,103.4927690386102,1.017313958611648
0.99,Floirac_01,2021-01-09 07:06:00,7,5,98.00999999999999,0.0,0.0,104.03999999999999,102.01,106.08999999999999,102.30612760639717,1.0114649158838738
1.01,Floirac_01,2021-01-09 09:06:00,9,5,102.01,0.0,0.0,98.00999999999999,104.03999999999999,102.01,98.84143926878524,0.9941903201539695
0.98,Floirac_01,2021-01-09 11:06:00,11,5,96.03999999999999,0.0,0.0,102.01,98.00999999999999,104.03999999999999,97.86966105823352,0.9892909635604357
0.97,Floirac_01,2021-01-09 13:06:00,13,5,94.08999999999999,0.0,0.0,96.03999999999999,102.01,98.00999999999999,96.18680053665645,0.9807486963369182
0.97,Floirac_01,2021-01-09 15:06:00,15,5,94.08999999999999,0.0,0.0,94.08999999999999,96.03999999999999,102.01,95.56857274357142,0.9775918000043342
0.98,Floirac_01,2021-01-09 17:06:00,17,5,96.03999999999999,0.0,0.0,94.08999999999999,94.08999999999999,96.03999999999999,97.5588782327909,0.9877189794308445
1.01,Floirac_01,2021-01-09 19:06:00,19,5,102.01,0.0,0.0,96.03999999999999,94.08999999999999,94.08999999999999,100.27447739455951,1.0013714465399914
1.01,Floirac_01,2021-01-09 21:06:00,21,5,102.01,0.0,0.0,102.01,96.03999999999999,94.08999999999999,103.79011181382967,1.018774321495343
1.0,Floirac_01,2021-01-09 23:06:00,23,5,100.0,0.0,0.0,102.01,102.01,96.03999999999999,102.38724567078353,1.0118658294002398
1.04,Floirac_01,2021-01-10 01:06:00,1,6,108.16000000000001,0.0,0.0,100.0,102.01,102.01,103.82927834058347,1.0189665271272823
1.01,Floirac_01,2021-01-10 03:06:00,3,6,102.01,0.0,0.0,108.16000000000001,100.0,102.01,104.02891906954632,1.0199456802670734
1.04,Floirac_01,2021-01-10 05:06:00,5,6,108.16000000000001,0.0,0.0,102.01,108.16000000000001,100.0,105.41375029069408,1.0267119863461909
1.01,Floirac_01,2021-01-10 07:06:00,7,6,102.01,0.0,0.0,108.16000000000001,102.01,108.16000000000001,103.45264322315086,1.0171167249787552
1.0,Floirac_01,2021-01-10 09:06:00,9,6,100.0,0.0,0.0,102.01,108.16000000000001,102.01,100.05616842481011,1.0002808026989727
0.99,Floirac_01,2021-01-10 11:06:00,11,6,98.00999999999999,0.0,0.0,100.0,102.01,108.16000000000001,98.09790850791977,0.9904438828521269
0.98,Floirac_01,2021-01-10 13:06:00,13,6,96.03999999999999,0.0,0.0,98.00999999999999,100.0,102.01,96.7363444490709,0.9835463611293109
1.0,Floirac_01,2021-01-10 15:06:00,15,6,100.0,0.0,0.0,96.03999999999999,98.00999999999999,100.0,95.98255255144755,0.9797068569293957
0.97,Floirac_01,2021-01-10 17:06:00,17,6,94.08999999999999,0.0,0.0,100.0,96.03999999999999,98.00999999999999,99.05671582182862,0.9952724040273025
1.02,Floirac_01,2021-01-10 19:06:00,19,6,104.03999999999999,0.0,0.0,94.08999999999999,100.0,96.03999999999999,102.21388049933566,1.0110088055963493
1.03,Floirac_01,2021-01-10 21:06:00,21,6,106.08999999999999,0.0,0.0,104.03999999999999,94.08999999999999,100.0,104.48840255815144,1.022195688496833
