E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.95,Gradignan_01,2021-01-10 07:06:00,7,6,90.25,0.0,0.0,,,,78.6331174650069,0.8867531644432226
0.95,Gradignan_01,2021-01-10 09:06:00,9,6,90.25,0.0,0.0,90.25,,,99.31425844385544,0.996565393959952
0.98,Gradignan_01,2021-01-10 11:06:00,11,6,96.03999999999999,0.0,0.0,90.25,90.25,,97.55749460237752,0.9877119752355821
0.98,Gradignan_01,2021-01-10 13:06:00,13,6,96.03999999999999,0.0,0.0,96.03999999999999,90.25,90.25,105.17217450700522,1.0255348580472787
1.04,Gradignan_01,2021-01-10 15:06:00,15,6,108.16000000000001,0.0,0.0,96.03999999999999,96.03999999999999,90.25,102.65825034486379,1.0132040778878844
1.07,Gradignan_01,2021-01-10 17:06:00,17,6,114.49,0.0,0.0,108.16000000000001,96.03999999999999,96.03999999999999,105.10487586524596,1.025206690698251
0.87,Gradignan_01,2021-01-10 19:06:00,19,6,75.69,0.0,0.0,114.49,108.16000000000001,96.03999999999999,100.27609252368433,1.0013795110929937
1.09,Gradignan_01,2021-01-10 21:06:00,21,6,118.81000000000002,0.0,0.0,75.69,114.49,108.16000000000001,103.79918770765555,1.018818863722377
1.05,Gradignan_01,2021-01-10 23:06:00,23,6,110.25,0.0,0.0,118.81000000000002,75.69,114.49,105.81115460198218,1.0286454909344724
1.01,Gradignan_01,2021-01-11 01:06:00,1,0,102.01,0.0,0.0,110.25,118.81000000000002,75.69,88.37275315251571,0.9400678334700944
0.85,Gradignan_01,2021-01-11 03:06:00,3,0,72.24999999999999,0.0,0.0,102.01,110.25,118.81000000000002,76.92346300416555,0.8770602203051143
0.82,Gradignan_01,2021-01-11 05:06:00,5,0,67.23999999999998,0.0,1.734723475976807e-18,72.24999999999999,102.01,110.25,66.93223657227477,0.8181212414567586
0.8,Gradignan_01,2021-01-11 07:06:00,7,0,64.00000000000001,0.0,0.0,67.23999999999998,72.24999999999999,102.01,72.98564165340764,0.854316344531741
