E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
1.29,Le Bouscat_01,2021-01-04 07:06:00,7,0,166.41,0.0,0.0,,,,165.94663466666668,1.2882027583679003
1.45,Le Bouscat_01,2021-01-04 09:06:00,9,0,210.25,0.0,0.0,166.41,,,193.64475205632618,1.3915629775771063
1.47,Le Bouscat_01,2021-01-04 11:06:00,11,0,216.08999999999997,0.0,0.0,210.25,166.41,,208.8987634070336,1.4453330529917097
1.4,Le Bouscat_01,2021-01-04 13:06:00,13,0,195.99999999999997,0.0,0.0,216.08999999999997,210.25,166.41,208.00366470625434,1.442233215212624
1.34,Le Bouscat_01,2021-01-04 15:06:00,15,0,179.56000000000003,0.0,0.0,195.99999999999997,216.08999999999997,210.25,197.21612237938214,1.4043365778166648
1.47,Le Bouscat_01,2021-01-04 17:06:00,17,0,216.08999999999997,0.0,0.0,179.56000000000003,195.99999999999997,216.08999999999997,203.2722512897535,1.4257357794828378
1.4,Le Bouscat_01,2021-01-04 19:06:00,19,0,195.99999999999997,0.0,0.0,216.08999999999997,179.56000000000003,195.99999999999997,204.9718582757912,1.4316838277908681
1.36,Le Bouscat_01,2021-01-04 21:06:00,21,0,184.96000000000004,0.0,0.0,195.99999999999997,216.08999999999997,179.56000000000003,193.2159881285445,1.3900215398638416
1.39,Le Bouscat_01,2021-01-04 23:06:00,23,0,193.20999999999998,0.0,0.0,184.96000000000004,195.99999999999997,216.08999999999997,199.537027772729,1.4125757599956508
1.18,Le Bouscat_01,2021-01-05 01:06:00,1,1,139.23999999999998,0.0,0.0,193.20999999999998,184.96000000000004,195.99999999999997,125.45708954834194,1.120076290028237
1.09,Le Bouscat_01,2021-01-05 03:06:00,3,1,118.81000000000002,0.0,0.0,139.23999999999998,193.20999999999998,184.96000000000004,118.23761498997958,1.0873712107186744
1.09,Le Bouscat_01,2021-01-05 05:06:00,5,1,118.81000000000002,0.0,0.0,118.81000000000002,139.23999999999998,193.20999999999998,113.72487774236919,1.0664186689212132
1.19,Le Bouscat_01,2021-01-05 07:06:00,7,1,141.60999999999999,0.0,0.0,118.81000000000002,118.81000000000002,139.23999999999998,145.93909411616173,1.2080525407289275
1.29,Le Bouscat_01,2021-01-05 09:06:00,9,1,166.41,0.0,0.0,141.60999999999999,118.81000000000002,118.81000000000002,164.92371043549548,1.2842262668061866
1.25,Le Bouscat_01,2021-01-05 11:06:00,11,1,156.25,0.0,0.0,166.41,141.60999999999999,118.81000000000002,176.03855470964575,1.3267952167144927
1.29,Le Bouscat_01,2021-01-05 13:06:00,13,1,166.41,0.0,0.0,156.25,166.41,141.60999999999999,172.4257529992259,1.3131098697337777
1.47,Le Bouscat_01,2021-01-05 15:06:00,15,1,216.08999999999997,0.0,0.0,166.41,156.25,166.41,173.86349356407726,1.3185730679946306
1.44,Le Bouscat_01,2021-01-05 17:06:00,17,1,207.35999999999999,0.0,0.0,216.08999999999997,166.41,156.25,209.27779967623087,1.4466437006956165
1.54,Le Bouscat_01,2021-01-05 19:06:00,19,1,237.16,0.0,0.0,207.35999999999999,216.08999999999997,166.41,218.89750637914693,1.4795185243150792
1.34,Le Bouscat_01,2021-01-05 21:06:00,21,1,179.56000000000003,0.0,0.0,237.16,207.35999999999999,216.08999999999997,211.05204834662635,1.4527630513839012
1.35,Le Bouscat_01,2021-01-05 23:06:00,23,1,182.25000000000003,0.0,0.0,179.56000000000003,237.16,207.35999999999999,190.281542798734,1.3794257602304445
0.6,Le Bouscat_01,2021-01-06 01:06:00,1,2,36.0,0.0,0.0,182.25000000000003,179.56000000000003,237.16,72.14461307033125,0.8493798506577093
0.52,Le Bouscat_01,2021-01-06 03:06:00,3,2,27.040000000000003,0.0,0.0,36.0,182.25000000000003,179.56000000000003,32.106739728482495,0.5666280943306862
0.51,Le Bouscat_01,2021-01-06 05:06:00,5,2,26.009999999999998,0.0,0.0,27.040000000000003,36.0,182.25000000000003,26.715036340577736,0.5168659046655887
0.52,Le Bouscat_01,2021-01-06 07:06:00,7,2,27.040000000000003,0.0,0.0,26.009999999999998,27.040000000000003,36.0,28.713734626547467,0.53585198167542
0.57,Le Bouscat_01,2021-01-06 09:06:00,9,2,32.489999999999995,0.0,0.0,27.040000000000003,26.009999999999998,27.040000000000003,31.919829462071903,0.564976366426702
0.65,Le Bouscat_01,2021-01-06 11:06:00,11,2,42.25,0.0,0.0,32.489999999999995,27.040000000000003,26.009999999999998,37.95070522930985,0.6160414371558933
0.59,Le Bouscat_01,2021-01-06 13:06:00,13,2,34.809999999999995,0.0,0.0,42.25,32.489999999999995,27.040000000000003,38.088234804346015,0.6171566641003402
0.63,Le Bouscat_01,2021-01-06 15:06:00,15,2,39.690000000000005,0.0,0.0,34.809999999999995,42.25,32.489999999999995,40.526838224400684,0.6366069291517387
0.62,Le Bouscat_01,2021-01-06 17:06:00,17,2,38.44,0.0,1.734723475976807e-18,39.690000000000005,34.809999999999995,42.25,43.149497000222006,0.6568827673201818
0.72,Le Bouscat_01,2021-01-06 19:06:00,19,2,51.839999999999996,0.0,0.0,38.44,39.690000000000005,34.809999999999995,49.075935100831074,0.7005421836037504
0.81,Le Bouscat_01,2021-01-06 21:06:00,21,2,65.61000000000001,0.0,0.0,51.839999999999996,38.44,39.690000000000005,61.79293762626261,0.7860848403719704
0.76,Le Bouscat_01,2021-01-06 23:06:00,23,2,57.76,0.0,0.0,65.61000000000001,51.839999999999996,38.44,60.45320464285725,0.7775165891661556
1.13,Le Bouscat_01,2021-01-07 01:06:00,1,3,127.68999999999997,0.0,0.0,57.76,65.61000000000001,51.839999999999996,113.90052123986442,1.0672418715542622
0.98,Le Bouscat_01,2021-01-07 03:06:00,3,3,96.03999999999999,0.0,0.0,127.68999999999997,57.76,65.61000000000001,108.81143757782613,1.043127209777533
0.98,Le Bouscat_01,2021-01-07 05:06:00,5,3,96.03999999999999,0.0,0.0,96.03999999999999,127.68999999999997,57.76,97.31279285567479,0.9864724672066362
1.15,Le Bouscat_01,2021-01-07 07:06:00,7,3,132.24999999999997,0.0,0.0,96.03999999999999,96.03999999999999,127.68999999999997,130.32730608558097,1.1416098549223417
1.23,Le Bouscat_01,2021-01-07 09:06:00,9,3,151.29,0.0,0.0,132.24999999999997,96.03999999999999,96.03999999999999,152.91174768632482,1.236574897393299
1.09,Le Bouscat_01,2021-01-07 11:06:00,11,3,118.81000000000002,0.0,0.0,151.29,132.24999999999997,96.03999999999999,149.96772050458173,1.2246130838129312
1.14,Le Bouscat_01,2021-01-07 13:06:00,13,3,129.95999999999998,0.0,0.0,118.81000000000002,151.29,132.24999999999997,137.6016076545887,1.173037116440007
1.21,Le Bouscat_01,2021-01-07 15:06:00,15,3,146.41,0.0,0.0,129.95999999999998,118.81000000000002,151.29,157.44486551133937,1.2547703595134028
1.21,Le Bouscat_01,2021-01-07 17:06:00,17,3,146.41,0.0,0.0,146.41,129.95999999999998,118.81000000000002,156.68506412494438,1.2517390467862877
1.3,Le Bouscat_01,2021-01-07 19:06:00,19,3,169.0,0.0,0.0,146.41,146.41,129.95999999999998,161.0560120813268,1.269078453372079
1.3,Le Bouscat_01,2021-01-07 21:06:00,21,3,169.0,0.0,0.0,169.0,146.41,146.41,172.71892092277653,1.3142257071096142
1.39,Le Bouscat_01,2021-01-07 23:06:00,23,3,193.20999999999998,0.0,0.0,169.0,169.0,146.41,175.28847528898226,1.3239655406731032
1.04,Le Bouscat_01,2021-01-08 01:06:00,1,4,108.16000000000001,0.0,0.0,193.20999999999998,169.0,169.0,115.23177691151756,1.0734606509393698
