E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
1.49,Le Taillan-Médoc_01,2021-01-04 07:06:00,7,0,222.01,0.0,0.0,,,,219.1993805545523,1.480538349907061
1.49,Le Taillan-Médoc_01,2021-01-04 09:06:00,9,0,222.01,0.0,0.0,222.01,,,221.83753147434658,1.4894211341133394
1.45,Le Taillan-Médoc_01,2021-01-04 11:06:00,11,0,210.25,0.0,0.0,222.01,222.01,,223.7889292090526,1.4959576505003496
1.48,Le Taillan-Médoc_01,2021-01-04 13:06:00,13,0,219.04,0.0,0.0,210.25,222.01,222.01,230.82412454683356,1.5192897174233542
1.86,Le Taillan-Médoc_01,2021-01-04 15:06:00,15,0,345.96000000000004,0.0,0.0,219.04,210.25,222.01,288.69149832063835,1.6990923998436294
1.5,Le Taillan-Médoc_01,2021-01-04 17:06:00,17,0,225.0,0.0,0.0,345.96000000000004,219.04,210.25,235.85563222125595,1.535759200595119
1.5,Le Taillan-Médoc_01,2021-01-04 19:06:00,19,0,225.0,0.0,0.0,225.0,345.96000000000004,219.04,227.83099913597064,1.5094071655321193
1.64,Le Taillan-Médoc_01,2021-01-04 21:06:00,21,0,268.9599999999999,0.0,1.734723475976807e-18,225.0,225.0,345.96000000000004,269.4824586487867,1.6415920889453224
1.51,Le Taillan-Médoc_01,2021-01-04 23:06:00,23,0,228.01,0.0,0.0,268.9599999999999,225.0,225.0,247.18851559052945,1.572222998147939
1.56,Le Taillan-Médoc_01,2021-01-05 01:06:00,1,1,243.36,0.0,0.0,228.01,268.9599999999999,225.0,231.5403050662551,1.5216448503716467
1.45,Le Taillan-Médoc_01,2021-01-05 03:06:00,3,1,210.25,0.0,0.0,243.36,228.01,268.9599999999999,201.90619442710747,1.4209369951799675
1.39,Le Taillan-Médoc_01,2021-01-05 05:06:00,5,1,193.20999999999998,0.0,0.0,210.25,243.36,228.01,202.8488683877125,1.4242502181418562
1.42,Le Taillan-Médoc_01,2021-01-05 07:06:00,7,1,201.64,0.0,0.0,193.20999999999998,210.25,243.36,203.37525477719026,1.4260969629628635
1.65,Le Taillan-Médoc_01,2021-01-05 09:06:00,9,1,272.24999999999994,0.0,0.0,201.64,193.20999999999998,210.25,237.27718861842226,1.5403804355366963
1.48,Le Taillan-Médoc_01,2021-01-05 11:06:00,11,1,219.04,0.0,0.0,272.24999999999994,201.64,193.20999999999998,223.4662582050339,1.4948787850693244
1.48,Le Taillan-Médoc_01,2021-01-05 13:06:00,13,1,219.04,0.0,0.0,219.04,272.24999999999994,201.64,224.61804589882703,1.4987262788742548
1.53,Le Taillan-Médoc_01,2021-01-05 15:06:00,15,1,234.09,0.0,0.0,219.04,219.04,272.24999999999994,236.7518217029196,1.5386741750706017
1.49,Le Taillan-Médoc_01,2021-01-05 17:06:00,17,1,222.01,0.0,0.0,234.09,219.04,219.04,234.5598339794029,1.5315346355189063
1.64,Le Taillan-Médoc_01,2021-01-05 19:06:00,19,1,268.9599999999999,0.0,1.734723475976807e-18,222.01,234.09,219.04,240.26923668386686,1.5500620525768216
1.68,Le Taillan-Médoc_01,2021-01-05 21:06:00,21,1,282.23999999999995,0.0,0.0,268.9599999999999,222.01,234.09,252.37562795418316,1.5886334629302732
1.61,Le Taillan-Médoc_01,2021-01-05 23:06:00,23,1,259.21000000000004,0.0,0.0,282.23999999999995,268.9599999999999,222.01,249.57352738944056,1.5797896296325045
1.47,Le Taillan-Médoc_01,2021-01-06 01:06:00,1,2,216.08999999999997,0.0,0.0,259.21000000000004,282.23999999999995,268.9599999999999,213.65155593851895,1.4616824413617306
1.42,Le Taillan-Médoc_01,2021-01-06 03:06:00,3,2,201.64,0.0,0.0,216.08999999999997,259.21000000000004,282.23999999999995,200.16389512537089,1.4147929004818016
1.42,Le Taillan-Médoc_01,2021-01-06 05:06:00,5,2,201.64,0.0,0.0,201.64,216.08999999999997,259.21000000000004,199.5265337201073,1.4125386144106196
1.5,Le Taillan-Médoc_01,2021-01-06 07:06:00,7,2,225.0,0.0,0.0,201.64,201.64,216.08999999999997,223.93228720607576,1.4964367250441153
1.47,Le Taillan-Médoc_01,2021-01-06 09:06:00,9,2,216.08999999999997,0.0,0.0,225.0,201.64,201.64,228.84447870804888,1.5127606509558902
1.46,Le Taillan-Médoc_01,2021-01-06 11:06:00,11,2,213.15999999999997,0.0,0.0,216.08999999999997,225.0,201.64,223.03228181026532,1.4934265358907526
1.62,Le Taillan-Médoc_01,2021-01-06 13:06:00,13,2,262.44000000000005,0.0,0.0,213.15999999999997,216.08999999999997,225.0,237.90476544316425,1.542416174199312
1.56,Le Taillan-Médoc_01,2021-01-06 15:06:00,15,2,243.36,0.0,0.0,262.44000000000005,213.15999999999997,216.08999999999997,236.28020585766936,1.5371408714157246
1.56,Le Taillan-Médoc_01,2021-01-06 17:06:00,17,2,243.36,0.0,0.0,243.36,262.44000000000005,213.15999999999997,241.55147994340095,1.5541926519688638
1.54,Le Taillan-Médoc_01,2021-01-06 19:06:00,19,2,237.16,0.0,0.0,243.36,243.36,262.44000000000005,246.63496429158658,1.5704616018597417
1.64,Le Taillan-Médoc_01,2021-01-06 21:06:00,21,2,268.9599999999999,0.0,1.734723475976807e-18,237.16,243.36,243.36,249.75512828371512,1.5803642880162636
1.55,Le Taillan-Médoc_01,2021-01-06 23:06:00,23,2,240.25000000000003,0.0,0.0,268.9599999999999,237.16,243.36,244.09806555103313,1.562363803827499
1.53,Le Taillan-Médoc_01,2021-01-07 01:06:00,1,3,234.09,0.0,0.0,240.25000000000003,268.9599999999999,237.16,225.73971518652928,1.5024636940256801
1.39,Le Taillan-Médoc_01,2021-01-07 03:06:00,3,3,193.20999999999998,0.0,0.0,234.09,240.25000000000003,268.9599999999999,199.42798108857593,1.4121897219870139
1.41,Le Taillan-Médoc_01,2021-01-07 05:06:00,5,3,198.80999999999997,0.0,0.0,193.20999999999998,234.09,240.25000000000003,195.458680900041,1.3980653808032049
