E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
2.91,Le-Haillan_01,2021-01-05 07:06:00,7,1,846.8100000000002,0.0,0.0,,,,919.8516968577444,3.032905697277356
3.67,Le-Haillan_01,2021-01-05 09:06:00,9,1,1346.8899999999999,0.0,0.0,846.8100000000002,,,1271.6976091555473,3.5660869439142218
4.0,Le-Haillan_01,2021-01-05 11:06:00,11,1,1600.0,0.0,0.0,1346.8899999999999,846.8100000000002,,1520.557994865231,3.8994332855752654
4.06,Le-Haillan_01,2021-01-05 13:06:00,13,1,1648.3599999999994,0.0,0.0,1600.0,1346.8899999999999,846.8100000000002,1648.8878832940804,4.060650050538806
4.27,Le-Haillan_01,2021-01-05 15:06:00,15,1,1823.2899999999997,0.0,0.0,1648.3599999999994,1600.0,1346.8899999999999,1721.3695689930696,4.148939104148275
3.89,Le-Haillan_01,2021-01-05 17:06:00,17,1,1513.21,0.0,0.0,1823.2899999999997,1648.3599999999994,1600.0,1887.940369823666,4.345043578404785
4.14,Le-Haillan_01,2021-01-05 19:06:00,19,1,1713.9599999999998,0.0,0.0,1513.21,1823.2899999999997,1648.3599999999994,1795.2294666683251,4.237014829651089
3.95,Le-Haillan_01,2021-01-05 21:06:00,21,1,1560.25,0.0,0.0,1713.9599999999998,1513.21,1823.2899999999997,1908.4396431675457,4.368569151527243
4.05,Le-Haillan_01,2021-01-05 23:06:00,23,1,1640.25,0.0,0.0,1560.25,1713.9599999999998,1513.21,1747.5995108829482,4.180430014822576
3.5,Le-Haillan_01,2021-01-06 01:06:00,1,2,1225.0,0.0,0.0,1640.25,1560.25,1713.9599999999998,1154.8498643596752,3.398308203150025
2.73,Le-Haillan_01,2021-01-06 03:06:00,3,2,745.29,0.0,0.0,1225.0,1640.25,1560.25,827.2391188012793,2.8761764876329816
2.68,Le-Haillan_01,2021-01-06 05:06:00,5,2,718.2400000000001,0.0,0.0,745.29,1225.0,1640.25,704.7581168525725,2.654728078076119
3.35,Le-Haillan_01,2021-01-06 07:06:00,7,2,1122.25,0.0,0.0,718.2400000000001,745.29,1225.0,1038.5224958008664,3.222611512113842
3.71,Le-Haillan_01,2021-01-06 09:06:00,9,2,1376.4099999999999,0.0,0.0,1122.25,718.2400000000001,745.29,1378.9525628235756,3.7134250535369304
3.49,Le-Haillan_01,2021-01-06 11:06:00,11,2,1218.01,0.0,1.734723475976807e-18,1376.4099999999999,1122.25,718.2400000000001,1543.2564198317893,3.92843024608022
4.42,Le-Haillan_01,2021-01-06 13:06:00,13,2,1953.64,0.0,0.0,1218.01,1376.4099999999999,1122.25,1595.1370885291053,3.9939167348970925
3.41,Le-Haillan_01,2021-01-06 15:06:00,15,2,1162.8100000000002,0.0,0.0,1953.64,1218.01,1376.4099999999999,1636.003425567323,4.044753917814189
4.13,Le-Haillan_01,2021-01-06 17:06:00,17,2,1705.6899999999998,0.0,0.0,1162.8100000000002,1953.64,1218.01,1588.8055272636511,3.9859823472560074
4.37,Le-Haillan_01,2021-01-06 19:06:00,19,2,1909.69,0.0,0.0,1705.6899999999998,1162.8100000000002,1953.64,1834.511608511576,4.283119900856823
4.79,Le-Haillan_01,2021-01-06 21:06:00,21,2,2294.41,0.0,0.0,1909.69,1705.6899999999998,1162.8100000000002,1986.905922216099,4.457472290677867
4.53,Le-Haillan_01,2021-01-06 23:06:00,23,2,2052.09,0.0,0.0,2294.41,1909.69,1705.6899999999998,2233.7944041532537,4.726303422499717
3.19,Le-Haillan_01,2021-01-07 01:06:00,1,3,1017.61,0.0,0.0,2052.09,2294.41,1909.69,1108.1649414982621,3.328911145552344
2.59,Le-Haillan_01,2021-01-07 03:06:00,3,3,670.81,0.0,0.0,1017.61,2052.09,2294.41,740.8724466418291,2.7218972181951124
2.42,Le-Haillan_01,2021-01-07 05:06:00,5,3,585.64,0.0,0.0,670.81,1017.61,2052.09,584.6206362880093,2.4178929593511977
2.86,Le-Haillan_01,2021-01-07 07:06:00,7,3,817.9599999999999,0.0,0.0,585.64,670.81,1017.61,904.7523960620706,3.0079102314764494
3.09,Le-Haillan_01,2021-01-07 09:06:00,9,3,954.81,0.0,0.0,817.9599999999999,585.64,670.81,1062.8639373499611,3.260159409215999
3.46,Le-Haillan_01,2021-01-07 11:06:00,11,3,1197.16,0.0,0.0,954.81,817.9599999999999,585.64,1209.2444108219233,3.47741917349911
3.3,Le-Haillan_01,2021-01-07 13:06:00,13,3,1088.9999999999998,0.0,0.0,1197.16,954.81,817.9599999999999,1338.1529402241106,3.6580772821580885
3.45,Le-Haillan_01,2021-01-07 15:06:00,15,3,1190.2500000000002,0.0,0.0,1088.9999999999998,1197.16,954.81,1344.3323871739308,3.6665138581136314
4.12,Le-Haillan_01,2021-01-07 17:06:00,17,3,1697.4399999999998,0.0,0.0,1190.2500000000002,1088.9999999999998,1197.16,1471.6999212993449,3.836274131627385
4.15,Le-Haillan_01,2021-01-07 19:06:00,19,3,1722.2500000000002,0.0,0.0,1697.4399999999998,1190.2500000000002,1088.9999999999998,1609.655128940013,4.01205075857723
4.52,Le-Haillan_01,2021-01-07 21:06:00,21,3,2043.0399999999995,0.0,0.0,1722.2500000000002,1697.4399999999998,1190.2500000000002,1906.7528367693355,4.366638108166666
3.87,Le-Haillan_01,2021-01-07 23:06:00,23,3,1497.69,0.0,0.0,2043.0399999999995,1722.2500000000002,1697.4399999999998,2011.398084385118,4.484861295943407
3.69,Le-Haillan_01,2021-01-08 01:06:00,1,4,1361.61,0.0,0.0,1497.69,2043.0399999999995,1722.2500000000002,1117.0779234376187,3.342271568017205
3.43,Le-Haillan_01,2021-01-08 03:06:00,3,4,1176.49,0.0,0.0,1361.61,1497.69,2043.0399999999995,984.7653626642044,3.138097134672865
2.71,Le-Haillan_01,2021-01-08 05:06:00,5,4,734.41,0.0,0.0,1176.49,1361.61,1497.69,874.1370996551123,2.9565809639769927
3.0,Le-Haillan_01,2021-01-08 07:06:00,7,4,900.0,0.0,0.0,734.41,1176.49,1361.61,969.8511655824489,3.114243352055919
