E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.72,Lille_01,2021-01-09 07:06:00,7,5,51.839999999999996,0.0,0.0,,,,51.241925286614844,0.7158346546976811
0.87,Lille_01,2021-01-09 09:06:00,9,5,75.69,0.0,0.0,51.839999999999996,,,64.0264552220402,0.8001653280543978
0.86,Lille_01,2021-01-09 11:06:00,11,5,73.96,0.0,0.0,75.69,51.839999999999996,,72.99680994780557,0.8543817059593772
0.94,Lille_01,2021-01-09 13:06:00,13,5,88.35999999999999,0.0,0.0,73.96,75.69,51.839999999999996,79.74214144123297,0.8929845544086021
0.82,Lille_01,2021-01-09 15:06:00,15,5,67.23999999999998,0.0,1.734723475976807e-18,88.35999999999999,73.96,75.69,80.80673856193431,0.8989256841471064
0.95,Lille_01,2021-01-09 17:06:00,17,5,90.25,0.0,0.0,67.23999999999998,88.35999999999999,73.96,79.92156518455478,0.8939886195279825
0.89,Lille_01,2021-01-09 19:06:00,19,5,79.21000000000001,0.0,-1.734723475976807e-18,90.25,67.23999999999998,88.35999999999999,86.186330359476,0.9283659319442737
0.93,Lille_01,2021-01-09 21:06:00,21,5,86.49000000000001,0.0,0.0,79.21000000000001,90.25,67.23999999999998,88.42348530944108,0.9403376271820727
0.95,Lille_01,2021-01-09 23:06:00,23,5,90.25,0.0,0.0,86.49000000000001,79.21000000000001,90.25,91.0132643456555,0.9540087229457365
0.8,Lille_01,2021-01-10 01:06:00,1,6,64.00000000000001,0.0,0.0,90.25,86.49000000000001,79.21000000000001,71.13370733869577,0.8434080112181516
0.73,Lille_01,2021-01-10 03:06:00,3,6,53.28999999999999,0.0,0.0,64.00000000000001,90.25,86.49000000000001,53.836566010440066,0.7337340527087459
0.69,Lille_01,2021-01-10 05:06:00,5,6,47.60999999999999,0.0,0.0,53.28999999999999,64.00000000000001,90.25,46.868530937283474,0.6846059518970272
0.71,Lille_01,2021-01-10 07:06:00,7,6,50.41,0.0,0.0,47.60999999999999,53.28999999999999,64.00000000000001,57.285707491731266,0.7568732224866411
0.75,Lille_01,2021-01-10 09:06:00,9,6,56.25,0.0,0.0,50.41,47.60999999999999,53.28999999999999,58.038769866680916,0.7618318047094182
0.83,Lille_01,2021-01-10 11:06:00,11,6,68.89,0.0,-1.734723475976807e-18,56.25,50.41,47.60999999999999,62.84597953657697,0.7927545618700467
0.94,Lille_01,2021-01-10 13:06:00,13,6,88.35999999999999,0.0,0.0,68.89,56.25,50.41,70.6873546205968,0.8407577214667541
