E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.99,Lormont_01,2022-01-02 07:06:00,7,6,98.00999999999999,0.0,0.0,,,,93.16307862775804,0.9652102290576807
1.09,Lormont_01,2022-01-02 09:06:00,9,6,118.81000000000002,0.0,0.0,98.00999999999999,,,111.85118034889118,1.0575971839452447
1.07,Lormont_01,2022-01-02 11:06:00,11,6,114.49,0.0,0.0,118.81000000000002,98.00999999999999,,114.66875855108557,1.0708349945303692
1.16,Lormont_01,2022-01-02 13:06:00,13,6,134.55999999999997,0.0,1.734723475976807e-18,114.49,118.81000000000002,98.00999999999999,135.4484431327307,1.1638231959053347
1.05,Lormont_01,2022-01-02 15:06:00,15,6,110.25,0.0,0.0,134.55999999999997,114.49,118.81000000000002,125.88102667972771,1.121967141585384
1.18,Lormont_01,2022-01-02 17:06:00,17,6,139.23999999999998,0.0,0.0,110.25,134.55999999999997,114.49,132.02415426281019,1.1490176424355292
1.13,Lormont_01,2022-01-02 19:06:00,19,6,127.68999999999997,0.0,0.0,139.23999999999998,110.25,134.55999999999997,133.88967582061642,1.1571070642797772
1.19,Lormont_01,2022-01-02 21:06:00,21,6,141.60999999999999,0.0,0.0,127.68999999999997,139.23999999999998,110.25,130.19374903461537,1.1410247544843861
1.1,Lormont_01,2022-01-02 23:06:00,23,6,121.00000000000001,0.0,0.0,141.60999999999999,127.68999999999997,139.23999999999998,130.5629356081889,1.1426413943499023
0.93,Lormont_01,2022-01-03 01:06:00,1,0,86.49000000000001,0.0,0.0,121.00000000000001,141.60999999999999,127.68999999999997,97.25537948249286,0.9861814208475682
0.87,Lormont_01,2022-01-03 03:06:00,3,0,75.69,0.0,0.0,86.49000000000001,121.00000000000001,141.60999999999999,79.77617851995504,0.8931751145209714
0.83,Lormont_01,2022-01-03 05:06:00,5,0,68.89,0.0,-1.734723475976807e-18,75.69,86.49000000000001,121.00000000000001,69.898410862584,0.8360526948858188
1.01,Lormont_01,2022-01-03 07:06:00,7,0,102.01,0.0,0.0,68.89,75.69,86.49000000000001,96.3135096208936,0.981394465140769
1.11,Lormont_01,2022-01-03 09:06:00,9,0,123.21000000000002,0.0,0.0,102.01,68.89,75.69,116.7441031732928,1.0804818516444077
