E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.84,Marseille_02,2020-04-03 09:06:00,9,4,1.1335295183447098,210.0,0.612480481170341,,,,1.0911942607443768,0.8241645032871012
0.96,Marseille_02,2020-04-03 11:06:00,11,4,1.4805283504910498,210.0,0.612480481170341,1.1335295183447098,,,1.2457437698720497,0.8805970595481841
0.97,Marseille_02,2020-04-03 13:06:00,13,4,1.511533338733755,210.0,0.612480481170341,1.4805283504910498,1.1335295183447098,,1.4856604622654173,0.9616624352685968
0.98,Marseille_02,2020-04-03 15:06:00,15,4,1.5428596221914106,210.0,0.612480481170341,1.511533338733755,1.4805283504910498,1.1335295183447098,1.3559023630700144,0.9187071107724295
0.9,Marseille_02,2020-04-03 17:06:00,17,4,1.3012456205487744,210.0,0.612480481170341,1.5428596221914106,1.511533338733755,1.4805283504910498,1.3827999635524686,0.9277747499659983
1.01,Marseille_02,2020-04-03 19:06:00,19,4,1.6387662438540798,210.0,0.612480481170341,1.3012456205487744,1.5428596221914106,1.511533338733755,1.460116334915208,0.9533592810282457
0.99,Marseille_02,2020-04-03 21:06:00,21,4,1.5745072008640169,210.0,0.612480481170341,1.6387662438540798,1.3012456205487744,1.5428596221914106,1.5604311621561044,0.9855647825750098
1.01,Marseille_02,2020-04-03 23:06:00,23,4,1.6387662438540798,210.0,0.612480481170341,1.5745072008640169,1.6387662438540798,1.3012456205487744,1.4741802632875878,0.9579396847521653
0.76,Marseille_02,2020-04-04 01:06:00,1,5,0.9279005807765086,210.0,0.612480481170341,1.6387662438540798,1.5745072008640169,1.6387662438540798,0.8566081299433351,0.7302204057006031
0.63,Marseille_02,2020-04-04 03:06:00,3,5,0.6376103540688994,210.0,0.612480481170341,0.9279005807765086,1.6387662438540798,1.5745072008640169,0.6260247927668082,0.6242501215266568
0.64,Marseille_02,2020-04-04 07:06:00,7,5,0.6580126002182444,210.0,0.612480481170341,0.6376103540688994,0.9279005807765086,1.6387662438540798,0.6391612145482337,0.6307657095763879
0.63,Marseille_02,2020-04-04 09:06:00,9,5,0.6376103540688994,210.0,0.612480481170341,0.6580126002182444,0.6376103540688994,0.9279005807765086,0.9986086111696997,0.7884252461595587
0.72,Marseille_02,2020-04-04 11:06:00,11,5,0.8327971971512155,210.0,0.612480481170341,0.6376103540688994,0.6580126002182444,0.6376103540688994,0.7492419382574567,0.6829264105593666
0.71,Marseille_02,2020-04-04 13:06:00,13,5,0.809824589282268,210.0,0.612480481170341,0.8327971971512155,0.6376103540688994,0.6580126002182444,0.8266295589030903,0.7173289103163363
0.84,Marseille_02,2020-04-04 15:06:00,15,5,1.1335295183447098,210.0,0.612480481170341,0.809824589282268,0.8327971971512155,0.6376103540688994,0.8555655241605029,0.729775882824436
