E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.02,Martignas-sur-Jalle_01,2021-01-07 07:06:00,7,3,0.04,0.0,0.0,,,,0.7245878626712913,0.08512272685195718
0.11,Martignas-sur-Jalle_01,2021-01-07 09:06:00,9,3,1.21,0.0,0.0,0.04,,,0.7148402444165461,0.0845482255530266
0.02,Martignas-sur-Jalle_01,2021-01-07 11:06:00,11,3,0.04,0.0,0.0,1.21,0.04,,0.6500774078052183,0.08062737796835627
0.02,Martignas-sur-Jalle_01,2021-01-07 13:06:00,13,3,0.04,0.0,0.0,0.04,1.21,0.04,0.49238271354138463,0.07016998742634807
0.01,Martignas-sur-Jalle_01,2021-01-07 15:06:00,15,3,0.01,0.0,0.0,0.04,0.04,1.21,0.2796794157842894,0.052884725184526526
0.07,Martignas-sur-Jalle_01,2021-01-07 17:06:00,17,3,0.49000000000000005,0.0,0.0,0.01,0.04,0.04,0.20689026920426823,0.04548519200841833
0.03,Martignas-sur-Jalle_01,2021-01-07 19:06:00,19,3,0.09,0.0,0.0,0.49000000000000005,0.01,0.04,0.4234657142846133,0.06507424331366546
0.05,Martignas-sur-Jalle_01,2021-01-07 21:06:00,21,3,0.25000000000000006,0.0,0.0,0.09,0.49000000000000005,0.01,0.6756420514207956,0.08219744834365575
0.03,Martignas-sur-Jalle_01,2021-01-07 23:06:00,23,3,0.09,0.0,0.0,0.25000000000000006,0.09,0.49000000000000005,0.7153431207490344,0.0845779593481088
0.07,Martignas-sur-Jalle_01,2021-01-08 01:06:00,1,4,0.49000000000000005,0.0,0.0,0.09,0.25000000000000006,0.09,0.8377843361638699,0.09153055971444019
0.05,Martignas-sur-Jalle_01,2021-01-08 03:06:00,3,4,0.25000000000000006,0.0,0.0,0.49000000000000005,0.09,0.25000000000000006,1.0043758329088197,0.10021855281876803
0.21,Martignas-sur-Jalle_01,2021-01-08 05:06:00,5,4,4.409999999999999,0.0,0.0,0.25000000000000006,0.49000000000000005,0.09,1.1427599237392114,0.10689994966038158
0.01,Martignas-sur-Jalle_01,2021-01-08 07:06:00,7,4,0.01,0.0,0.0,4.409999999999999,0.25000000000000006,0.49000000000000005,1.3196805882032505,0.11487735147553021
0.01,Martignas-sur-Jalle_01,2021-01-08 09:06:00,9,4,0.01,0.0,0.0,0.01,4.409999999999999,0.25000000000000006,0.8296498091439678,0.09108511454370401
0.06,Martignas-sur-Jalle_01,2021-01-08 11:06:00,11,4,0.36,0.0,0.0,0.01,0.01,4.409999999999999,0.710352105395726,0.08428238875326957
0.1,Martignas-sur-Jalle_01,2021-01-08 13:06:00,13,4,1.0000000000000002,0.0,0.0,0.36,0.01,0.01,0.4745865284140761,0.06889024084832888
0.05,Martignas-sur-Jalle_01,2021-01-08 15:06:00,15,4,0.25000000000000006,0.0,0.0,1.0000000000000002,0.36,0.01,0.8320775623428786,0.09121828557602245
0.14,Martignas-sur-Jalle_01,2021-01-08 17:06:00,17,4,1.9600000000000002,0.0,0.0,0.25000000000000006,1.0000000000000002,0.36,0.6434290967191942,0.08021403223371795
0.14,Martignas-sur-Jalle_01,2021-01-08 19:06:00,19,4,1.9600000000000002,0.0,0.0,1.9600000000000002,0.25000000000000006,1.0000000000000002,1.004856672869658,0.10024253951639783
0.1,Martignas-sur-Jalle_01,2021-01-08 21:06:00,21,4,1.0000000000000002,0.0,0.0,1.9600000000000002,1.9600000000000002,0.25000000000000006,1.3752435236101264,0.1172707774174848
0.13,Martignas-sur-Jalle_01,2021-01-08 23:06:00,23,4,1.6900000000000002,0.0,0.0,1.0000000000000002,1.9600000000000002,1.9600000000000002,1.7000700705524159,0.13038673515938712
0.05,Martignas-sur-Jalle_01,2021-01-09 01:06:00,1,5,0.25000000000000006,0.0,0.0,1.6900000000000002,1.0000000000000002,1.9600000000000002,1.6267531474627126,0.12754423340405135
0.19,Martignas-sur-Jalle_01,2021-01-09 03:06:00,3,5,3.61,0.0,0.0,0.25000000000000006,1.6900000000000002,1.0000000000000002,1.6416743772299887,0.1281278415189294
0.09,Martignas-sur-Jalle_01,2021-01-09 05:06:00,5,5,0.8099999999999999,0.0,0.0,3.61,0.25000000000000006,1.6900000000000002,1.2855796983081882,0.11338340700068014
0.07,Martignas-sur-Jalle_01,2021-01-09 07:06:00,7,5,0.49000000000000005,0.0,0.0,0.8099999999999999,3.61,0.25000000000000006,1.2395334394466087,0.11133433609837572
0.05,Martignas-sur-Jalle_01,2021-01-09 09:06:00,9,5,0.25000000000000006,0.0,0.0,0.49000000000000005,0.8099999999999999,3.61,1.4160851990416683,0.11899937810936947
0.03,Martignas-sur-Jalle_01,2021-01-09 11:06:00,11,5,0.09,0.0,0.0,0.25000000000000006,0.49000000000000005,0.8099999999999999,0.759050400017346,0.08712349855333784
0.05,Martignas-sur-Jalle_01,2021-01-09 13:06:00,13,5,0.25000000000000006,0.0,0.0,0.09,0.25000000000000006,0.49000000000000005,0.3483646756125044,0.05902242587462027
0.1,Martignas-sur-Jalle_01,2021-01-09 15:06:00,15,5,1.0000000000000002,0.0,0.0,0.25000000000000006,0.09,0.25000000000000006,0.5241613246957311,0.0723989865050424
0.02,Martignas-sur-Jalle_01,2021-01-09 17:06:00,17,5,0.04,0.0,0.0,1.0000000000000002,0.25000000000000006,0.09,0.68514617186334,0.08277355688040354
0.02,Martignas-sur-Jalle_01,2021-01-09 19:06:00,19,5,0.04,0.0,0.0,0.04,1.0000000000000002,0.25000000000000006,0.5566284544456397,0.07460753678051835
0.1,Martignas-sur-Jalle_01,2021-01-09 21:06:00,21,5,1.0000000000000002,0.0,0.0,0.04,0.04,1.0000000000000002,0.6239041021780752,0.07898760043057867
0.05,Martignas-sur-Jalle_01,2021-01-09 23:06:00,23,5,0.25000000000000006,0.0,0.0,1.0000000000000002,0.04,0.04,0.9933782105007057,0.09966836060158238
0.21,Martignas-sur-Jalle_01,2021-01-10 01:06:00,1,6,4.409999999999999,0.0,0.0,0.25000000000000006,1.0000000000000002,0.04,2.006275267764892,0.14164304669714262
0.05,Martignas-sur-Jalle_01,2021-01-10 03:06:00,3,6,0.25000000000000006,0.0,0.0,4.409999999999999,0.25000000000000006,1.0000000000000002,1.5146160368687211,0.1230697378265153
0.11,Martignas-sur-Jalle_01,2021-01-10 05:06:00,5,6,1.21,0.0,0.0,0.25000000000000006,4.409999999999999,0.25000000000000006,1.4390259341057938,0.11995940705529491
0.11,Martignas-sur-Jalle_01,2021-01-10 07:06:00,7,6,1.21,0.0,0.0,1.21,0.25000000000000006,4.409999999999999,1.4629140493321788,0.12095098384602661
0.18,Martignas-sur-Jalle_01,2021-01-10 09:06:00,9,6,3.2399999999999998,0.0,0.0,1.21,1.21,0.25000000000000006,1.2775052858187625,0.11302677938518653
0.1,Martignas-sur-Jalle_01,2021-01-10 11:06:00,11,6,1.0000000000000002,0.0,0.0,3.2399999999999998,1.21,1.21,1.9561623072742567,0.13986287238843112
0.15,Martignas-sur-Jalle_01,2021-01-10 13:06:00,13,6,2.25,0.0,0.0,1.0000000000000002,3.2399999999999998,1.21,1.7734992168172496,0.1331727906449831
0.03,Martignas-sur-Jalle_01,2021-01-10 15:06:00,15,6,0.09,0.0,0.0,2.25,1.0000000000000002,3.2399999999999998,1.3390872438158021,0.1157189372495186
