E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.59,Mulhouse_02,2021-01-04 09:06:00,9,0,34.809999999999995,0.0,0.0,,,,36.490370063284054,0.6040725954989521
0.61,Mulhouse_02,2021-01-04 11:06:00,11,0,37.21,0.0,0.0,34.809999999999995,,,42.13205936362667,0.6490921303145392
0.89,Mulhouse_02,2021-01-04 13:06:00,13,0,79.21000000000001,0.0,-1.734723475976807e-18,37.21,34.809999999999995,,69.81607172681544,0.8355601218752331
0.55,Mulhouse_02,2021-01-04 15:06:00,15,0,30.250000000000004,0.0,0.0,79.21000000000001,37.21,34.809999999999995,47.20415891042794,0.6870528284668359
0.73,Mulhouse_02,2021-01-04 17:06:00,17,0,53.28999999999999,0.0,0.0,30.250000000000004,79.21000000000001,37.21,52.36697954734103,0.7236503267970037
0.81,Mulhouse_02,2021-01-04 19:06:00,19,0,65.61000000000001,0.0,0.0,53.28999999999999,30.250000000000004,79.21000000000001,66.48859562893655,0.8154053938314153
0.91,Mulhouse_02,2021-01-04 21:06:00,21,0,82.81,0.0,0.0,65.61000000000001,53.28999999999999,30.250000000000004,66.54716943440093,0.8157644846057036
0.95,Mulhouse_02,2021-01-04 23:06:00,23,0,90.25,0.0,0.0,82.81,65.61000000000001,53.28999999999999,74.427086972957,0.8627113478618269
0.85,Mulhouse_02,2021-01-05 01:06:00,1,1,72.24999999999999,0.0,0.0,90.25,82.81,65.61000000000001,59.23032661605461,0.7696124129459881
0.71,Mulhouse_02,2021-01-05 03:06:00,3,1,50.41,0.0,0.0,72.24999999999999,90.25,82.81,42.94799733422139,0.655347215865158
0.49,Mulhouse_02,2021-01-05 07:06:00,7,1,24.009999999999998,0.0,0.0,50.41,72.24999999999999,90.25,27.578756230663558,0.525154798422937
0.55,Mulhouse_02,2021-01-05 09:06:00,9,1,30.250000000000004,0.0,0.0,24.009999999999998,50.41,72.24999999999999,36.665260078385664,0.6055184561876348
0.75,Mulhouse_02,2021-01-05 11:06:00,11,1,56.25,0.0,0.0,30.250000000000004,24.009999999999998,50.41,52.99784019342558,0.7279961551644732
0.72,Mulhouse_02,2021-01-05 13:06:00,13,1,51.839999999999996,0.0,0.0,56.25,30.250000000000004,24.009999999999998,53.49713037580229,0.731417325306164
0.8,Mulhouse_02,2021-01-05 15:06:00,15,1,64.00000000000001,0.0,0.0,51.839999999999996,56.25,30.250000000000004,53.08122220529389,0.7285686117675801
0.87,Mulhouse_02,2021-01-05 17:06:00,17,1,75.69,0.0,0.0,64.00000000000001,51.839999999999996,56.25,67.97459131736835,0.8244670479610956
0.94,Mulhouse_02,2021-01-05 19:06:00,19,1,88.35999999999999,0.0,0.0,75.69,64.00000000000001,51.839999999999996,74.25996533990234,0.8617422198076542
0.78,Mulhouse_02,2021-01-05 21:06:00,21,1,60.84,0.0,0.0,88.35999999999999,75.69,64.00000000000001,67.05725379313043,0.8188849357091046
1.0,Mulhouse_02,2021-01-05 23:06:00,23,1,100.0,0.0,0.0,60.84,88.35999999999999,75.69,88.60656759755447,0.9413106160962729
0.54,Mulhouse_02,2021-01-06 01:06:00,1,2,29.160000000000004,0.0,0.0,100.0,60.84,88.35999999999999,43.396000828877405,0.658756410434672
0.42,Mulhouse_02,2021-01-06 03:06:00,3,2,17.639999999999997,0.0,0.0,29.160000000000004,100.0,60.84,25.03812220833236,0.5003810768637476
0.57,Mulhouse_02,2021-01-06 07:06:00,7,2,32.489999999999995,0.0,0.0,17.639999999999997,29.160000000000004,100.0,27.987037642838978,0.5290277652717198
0.49,Mulhouse_02,2021-01-06 09:06:00,9,2,24.009999999999998,0.0,0.0,32.489999999999995,17.639999999999997,29.160000000000004,29.37289938267991,0.5419677055201713
0.59,Mulhouse_02,2021-01-06 11:06:00,11,2,34.809999999999995,0.0,0.0,24.009999999999998,32.489999999999995,17.639999999999997,36.54599968600281,0.604532874920817
0.7,Mulhouse_02,2021-01-06 13:06:00,13,2,48.99999999999999,0.0,0.0,34.809999999999995,24.009999999999998,32.489999999999995,50.14263023704576,0.708114611041502
0.56,Mulhouse_02,2021-01-06 15:06:00,15,2,31.360000000000003,0.0,0.0,48.99999999999999,34.809999999999995,24.009999999999998,41.94795496895261,0.6476724092390582
0.39,Mulhouse_02,2021-01-06 17:06:00,17,2,15.21,0.0,0.0,31.360000000000003,48.99999999999999,34.809999999999995,38.07759218471003,0.6170704350777959
0.4,Mulhouse_02,2021-01-06 19:06:00,19,2,16.000000000000004,0.0,0.0,15.21,31.360000000000003,48.99999999999999,19.188693893920583,0.43804901431141907
0.51,Mulhouse_02,2021-01-06 21:06:00,21,2,26.009999999999998,0.0,0.0,16.000000000000004,15.21,31.360000000000003,24.251490078273704,0.4924580193100088
0.78,Mulhouse_02,2021-01-06 23:06:00,23,2,60.84,0.0,0.0,26.009999999999998,16.000000000000004,15.21,47.28670743506496,0.6876533097067515
0.46,Mulhouse_02,2021-01-07 01:06:00,1,3,21.16,0.0,0.0,60.84,26.009999999999998,16.000000000000004,26.63411836282621,0.5160825356745392
0.46,Mulhouse_02,2021-01-07 03:06:00,3,3,21.16,0.0,0.0,21.16,60.84,26.009999999999998,22.550679276665196,0.47487555503168616
0.4,Mulhouse_02,2021-01-07 07:06:00,7,3,16.000000000000004,0.0,0.0,21.16,21.16,60.84,22.00888627480757,0.46913629442633803
0.5,Mulhouse_02,2021-01-07 09:06:00,9,3,25.0,0.0,0.0,16.000000000000004,21.16,21.16,23.132350355277673,0.4809610208247408
0.57,Mulhouse_02,2021-01-07 11:06:00,11,3,32.489999999999995,0.0,0.0,25.0,16.000000000000004,21.16,33.779580790404125,0.581202037078365
0.7,Mulhouse_02,2021-01-07 13:06:00,13,3,48.99999999999999,0.0,0.0,32.489999999999995,25.0,16.000000000000004,47.88178917794622,0.6919666840097594
0.65,Mulhouse_02,2021-01-07 15:06:00,15,3,42.25,0.0,0.0,48.99999999999999,32.489999999999995,25.0,43.558950795824614,0.6599920514356564
0.63,Mulhouse_02,2021-01-07 17:06:00,17,3,39.690000000000005,0.0,0.0,42.25,48.99999999999999,32.489999999999995,47.96757643133684,0.6925862865472925
0.59,Mulhouse_02,2021-01-07 19:06:00,19,3,34.809999999999995,0.0,0.0,39.690000000000005,42.25,48.99999999999999,48.503443970184726,0.696444139685192
0.59,Mulhouse_02,2021-01-07 21:06:00,21,3,34.809999999999995,0.0,0.0,34.809999999999995,39.690000000000005,42.25,48.1421964640489,0.6938457787149022
0.75,Mulhouse_02,2021-01-07 23:06:00,23,3,56.25,0.0,0.0,34.809999999999995,34.809999999999995,39.690000000000005,50.78574761998145,0.7126411973776245
0.57,Mulhouse_02,2021-01-08 01:06:00,1,4,32.489999999999995,0.0,0.0,56.25,34.809999999999995,34.809999999999995,32.79511982453267,0.5726702351662138
0.43,Mulhouse_02,2021-01-08 03:06:00,3,4,18.49,0.0,0.0,32.489999999999995,56.25,34.809999999999995,23.061436446150143,0.4802232443994162
0.37,Mulhouse_02,2021-01-08 07:06:00,7,4,13.69,0.0,0.0,18.49,32.489999999999995,56.25,23.476017682166056,0.4845205638790376
0.44,Mulhouse_02,2021-01-08 09:06:00,9,4,19.36,0.0,0.0,13.69,18.49,32.489999999999995,20.034853435588765,0.4476030991357049
0.59,Mulhouse_02,2021-01-08 11:06:00,11,4,34.809999999999995,0.0,0.0,19.36,13.69,18.49,32.969436142049176,0.5741901787913929
0.44,Mulhouse_02,2021-01-08 13:06:00,13,4,19.36,0.0,0.0,34.809999999999995,19.36,13.69,32.78890088031224,0.5726159348141845
0.71,Mulhouse_02,2021-01-08 15:06:00,15,4,50.41,0.0,0.0,19.36,34.809999999999995,19.36,43.746485064318485,0.6614112568161997
0.55,Mulhouse_02,2021-01-08 17:06:00,17,4,30.250000000000004,0.0,0.0,50.41,19.36,34.809999999999995,41.61245801956052,0.6450771893313274
0.68,Mulhouse_02,2021-01-08 19:06:00,19,4,46.24000000000001,0.0,0.0,30.250000000000004,50.41,19.36,45.031640152095825,0.6710561835800026
0.66,Mulhouse_02,2021-01-08 21:06:00,21,4,43.56,0.0,0.0,46.24000000000001,30.250000000000004,50.41,51.005450646018,0.7141810039900109
0.71,Mulhouse_02,2021-01-08 23:06:00,23,4,50.41,0.0,0.0,43.56,46.24000000000001,30.250000000000004,51.59520263285301,0.7182980066299294
