E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.6,Mérignac_01,2021-01-03 09:06:00,9,6,36.0,0.0,0.0,,,,37.85110220839599,0.6152324943336136
0.67,Mérignac_01,2021-01-03 11:06:00,11,6,44.89000000000001,0.0,0.0,36.0,,,42.50991678650731,0.6519962943645256
0.68,Mérignac_01,2021-01-03 13:06:00,13,6,46.24000000000001,0.0,0.0,44.89000000000001,36.0,,48.4222000745152,0.6958606187629474
0.62,Mérignac_01,2021-01-03 15:06:00,15,6,38.44,0.0,1.734723475976807e-18,46.24000000000001,44.89000000000001,36.0,44.1472596997377,0.6644340426237785
0.69,Mérignac_01,2021-01-03 17:06:00,17,6,47.60999999999999,0.0,0.0,38.44,46.24000000000001,44.89000000000001,41.84231953693559,0.6468563947039219
0.63,Mérignac_01,2021-01-03 19:06:00,19,6,39.690000000000005,0.0,0.0,47.60999999999999,38.44,46.24000000000001,42.031503770963866,0.6483170811490614
0.71,Mérignac_01,2021-01-03 21:06:00,21,6,50.41,0.0,0.0,39.690000000000005,47.60999999999999,38.44,42.920691642680204,0.6551388527837454
0.63,Mérignac_01,2021-01-03 23:06:00,23,6,39.690000000000005,0.0,0.0,50.41,39.690000000000005,47.60999999999999,42.165347792097606,0.6493485026709279
0.51,Mérignac_01,2021-01-04 01:06:00,1,0,26.009999999999998,0.0,0.0,39.690000000000005,50.41,39.690000000000005,28.17860777981824,0.5308352642752574
0.51,Mérignac_01,2021-01-04 03:06:00,3,0,26.009999999999998,0.0,0.0,26.009999999999998,39.690000000000005,50.41,24.839252981112296,0.4983899375099009
0.44,Mérignac_01,2021-01-04 05:06:00,5,0,19.36,0.0,0.0,26.009999999999998,26.009999999999998,39.690000000000005,21.541813029636277,0.4641315872641753
0.55,Mérignac_01,2021-01-04 07:06:00,7,0,30.250000000000004,0.0,0.0,19.36,26.009999999999998,26.009999999999998,29.016018205842848,0.5386651854894917
0.64,Mérignac_01,2021-01-04 09:06:00,9,0,40.96,0.0,0.0,30.250000000000004,19.36,26.009999999999998,41.393123105892094,0.6433748759929322
0.62,Mérignac_01,2021-01-04 11:06:00,11,0,38.44,0.0,1.734723475976807e-18,40.96,30.250000000000004,19.36,45.495249362006774,0.6745016631707204
0.7,Mérignac_01,2021-01-04 13:06:00,13,0,48.99999999999999,0.0,0.0,38.44,40.96,30.250000000000004,48.14680215171981,0.6938789674843864
0.65,Mérignac_01,2021-01-04 15:06:00,15,0,42.25,0.0,0.0,48.99999999999999,38.44,40.96,42.85728894286609,0.6546547864551675
0.69,Mérignac_01,2021-01-04 17:06:00,17,0,47.60999999999999,0.0,0.0,42.25,48.99999999999999,38.44,44.75322842766479,0.6689785379790953
0.63,Mérignac_01,2021-01-04 19:06:00,19,0,39.690000000000005,0.0,0.0,47.60999999999999,42.25,48.99999999999999,42.76694267135098,0.653964392542522
0.68,Mérignac_01,2021-01-04 21:06:00,21,0,46.24000000000001,0.0,0.0,39.690000000000005,47.60999999999999,42.25,42.62432075053675,0.6528730408780619
0.7,Mérignac_01,2021-01-04 23:06:00,23,0,48.99999999999999,0.0,0.0,46.24000000000001,39.690000000000005,47.60999999999999,42.101102869176394,0.6488536265536041
0.63,Mérignac_01,2021-01-05 01:06:00,1,1,39.690000000000005,0.0,0.0,48.99999999999999,46.24000000000001,39.690000000000005,36.9058711328919,0.607502025781741
0.5,Mérignac_01,2021-01-05 03:06:00,3,1,25.0,0.0,0.0,39.690000000000005,48.99999999999999,46.24000000000001,26.22373692416009,0.5120911727823483
0.51,Mérignac_01,2021-01-05 05:06:00,5,1,26.009999999999998,0.0,0.0,25.0,39.690000000000005,48.99999999999999,24.5396137141387,0.49537474414970634
0.53,Mérignac_01,2021-01-05 07:06:00,7,1,28.090000000000003,0.0,0.0,26.009999999999998,25.0,39.690000000000005,29.40050447342776,0.5422223203947598
