E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
2.15,Nantes_02,2020-04-03 09:06:00,9,4,16.679875947870855,110.0,0.2671303584299169,,,,16.977622798351305,2.169104582862483
2.52,Nantes_02,2020-04-03 11:06:00,11,4,22.91484785708147,110.0,0.2671303584299169,16.679875947870855,,,18.929051099791327,2.2903743615451564
2.34,Nantes_02,2020-04-03 13:06:00,13,4,19.758210652279423,110.0,0.2671303584299169,22.91484785708147,16.679875947870855,,22.279197818983953,2.484802220923437
2.13,Nantes_02,2020-04-03 15:06:00,15,4,16.370996038484645,110.0,0.2671303584299169,19.758210652279423,22.91484785708147,16.679875947870855,20.773759752699238,2.3993831470197753
2.42,Nantes_02,2020-04-03 17:06:00,17,4,21.132293239829284,110.0,0.2671303584299169,16.370996038484645,19.758210652279423,22.91484785708147,19.430897638944757,2.320536926509851
2.47,Nantes_02,2020-04-03 19:06:00,19,4,22.014549523064428,110.0,0.2671303584299169,21.132293239829284,16.370996038484645,19.758210652279423,21.379477479031493,2.4341122112195923
2.76,Nantes_02,2020-04-03 21:06:00,21,4,27.487425207247377,110.0,0.2671303584299169,22.014549523064428,21.132293239829284,16.370996038484645,24.861830086770905,2.624874831905421
2.66,Nantes_02,2020-04-03 23:06:00,23,4,25.53166690248892,110.0,0.2671303584299169,27.487425207247377,22.014549523064428,21.132293239829284,26.277446980465232,2.6985696767583134
1.79,Nantes_02,2020-04-04 01:06:00,1,5,11.561706982060143,110.0,0.2671303584299169,25.53166690248892,27.487425207247377,22.014549523064428,15.190915310071569,2.0517952638503303
1.79,Nantes_02,2020-04-04 03:06:00,3,5,11.561706982060143,110.0,0.2671303584299169,11.561706982060143,25.53166690248892,27.487425207247377,9.202195057893796,1.5969369476394857
1.5,Nantes_02,2020-04-04 07:06:00,7,5,8.118922851857096,110.0,0.26713035842991684,11.561706982060143,11.561706982060143,25.53166690248892,10.378406698778088,1.6959279372555374
1.73,Nantes_02,2020-04-04 09:06:00,9,5,10.79961075703249,110.0,0.2671303584299169,8.118922851857096,11.561706982060143,11.561706982060143,11.231721649298159,1.7642706840094171
2.0,Nantes_02,2020-04-04 11:06:00,11,5,14.433640625523726,110.0,0.2671303584299169,10.79961075703249,8.118922851857096,11.561706982060143,14.1665945991288,1.981411981135647
1.98,Nantes_02,2020-04-04 13:06:00,13,5,14.146411177075803,110.0,0.2671303584299169,14.433640625523726,10.79961075703249,8.118922851857096,15.390690734887375,2.065242755669013
1.88,Nantes_02,2020-04-04 15:06:00,15,5,12.753564856712764,110.0,0.2671303584299169,14.146411177075803,14.433640625523726,10.79961075703249,15.202002539393758,2.052543888104393
2.03,Nantes_02,2020-04-04 17:06:00,17,5,14.869897413430175,110.0,0.2671303584299169,12.753564856712764,14.146411177075803,14.433640625523726,14.314193143022536,1.9917071763592393
1.98,Nantes_02,2020-04-04 19:06:00,19,5,14.146411177075803,110.0,0.2671303584299169,14.869897413430175,12.753564856712764,14.146411177075803,15.371596879887061,2.063961277001895
2.0,Nantes_02,2020-04-04 21:06:00,21,5,14.433640625523726,110.0,0.2671303584299169,14.146411177075803,14.869897413430175,12.753564856712764,15.642375648737367,2.0820607988793194
2.1,Nantes_02,2020-04-04 23:06:00,23,5,15.913088789639907,110.0,0.2671303584299169,14.433640625523726,14.146411177075803,14.869897413430175,15.657995550484454,2.0831000742162633
2.0,Nantes_02,2020-04-05 01:06:00,1,6,14.433640625523726,110.0,0.2671303584299169,15.913088789639907,14.433640625523726,14.146411177075803,13.082555845313866,1.9040938502582367
1.65,Nantes_02,2020-04-05 03:06:00,3,6,9.823896650747084,110.0,0.2671303584299169,14.433640625523726,15.913088789639907,14.433640625523726,9.948897010856404,1.6604642105751524
1.51,Nantes_02,2020-04-05 07:06:00,7,6,8.227535997564162,110.0,0.2671303584299169,9.823896650747084,14.433640625523726,15.913088789639907,9.907907118982168,1.6570400873768425
1.9,Nantes_02,2020-04-05 09:06:00,9,6,13.026360664535162,110.0,0.2671303584299169,8.227535997564162,9.823896650747084,14.433640625523726,11.445868994081655,1.781010324751578
1.9,Nantes_02,2020-04-05 11:06:00,11,6,13.026360664535162,110.0,0.2671303584299169,13.026360664535162,8.227535997564162,9.823896650747084,14.89463724644228,2.031688007246718
2.04,Nantes_02,2020-04-05 13:06:00,13,6,15.016759706794884,110.0,0.2671303584299169,13.026360664535162,13.026360664535162,8.227535997564162,14.251823167401643,1.987363294081334
1.87,Nantes_02,2020-04-05 15:06:00,15,6,12.618249475848481,110.0,0.2671303584299169,15.016759706794884,13.026360664535162,13.026360664535162,15.33503062069063,2.0615049193358104
1.97,Nantes_02,2020-04-05 17:06:00,17,6,14.003878975898756,110.0,0.2671303584299169,12.618249475848481,15.016759706794884,13.026360664535162,14.330553496223333,1.992845058429649
2.03,Nantes_02,2020-04-05 19:06:00,19,6,14.869897413430175,110.0,0.2671303584299169,14.003878975898756,12.618249475848481,15.016759706794884,15.210968857292706,2.0531491060046836
