E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.55,Orleans_06,2021-12-18 07:06:00,7,5,30.250000000000004,0.0,0.0,,,,28.74698454972565,0.5361621447820207
0.56,Orleans_06,2021-12-18 09:06:00,9,5,31.360000000000003,0.0,0.0,30.250000000000004,,,30.0365337111911,0.5480559616607696
0.65,Orleans_06,2021-12-18 11:06:00,11,5,42.25,0.0,0.0,31.360000000000003,30.250000000000004,,41.32898615981242,0.6428762412767517
0.71,Orleans_06,2021-12-18 13:06:00,13,5,50.41,0.0,0.0,42.25,31.360000000000003,30.250000000000004,49.44312182178929,0.703158032179035
0.82,Orleans_06,2021-12-18 15:06:00,15,5,67.23999999999998,0.0,1.734723475976807e-18,50.41,42.25,31.360000000000003,60.134061983702495,0.7754615527781019
0.87,Orleans_06,2021-12-18 17:06:00,17,5,75.69,0.0,0.0,67.23999999999998,50.41,42.25,71.48501240675984,0.8454880981229709
0.92,Orleans_06,2021-12-18 19:06:00,19,5,84.64,0.0,0.0,75.69,67.23999999999998,50.41,78.13912431724077,0.883963372076246
0.91,Orleans_06,2021-12-18 21:06:00,21,5,82.81,0.0,0.0,84.64,75.69,67.23999999999998,80.93535119047627,0.8996407682540641
0.9,Orleans_06,2021-12-18 23:06:00,23,5,81.0,0.0,0.0,82.81,84.64,75.69,77.6997804761905,0.8814747896349078
0.73,Orleans_06,2021-12-19 01:06:00,1,6,53.28999999999999,0.0,0.0,81.0,82.81,84.64,51.83266309523807,0.7199490474695975
0.61,Orleans_06,2021-12-19 03:06:00,3,6,37.21,0.0,0.0,53.28999999999999,81.0,82.81,37.632156804818166,0.6134505424630267
0.54,Orleans_06,2021-12-19 05:06:00,5,6,29.160000000000004,0.0,0.0,37.21,53.28999999999999,81.0,28.99863958427761,0.5385038494224309
0.4,Orleans_06,2021-12-19 07:06:00,7,6,16.000000000000004,0.0,0.0,29.160000000000004,37.21,53.28999999999999,22.996303305649676,0.4795446100797055
0.57,Orleans_06,2021-12-19 09:06:00,9,6,32.489999999999995,0.0,0.0,16.000000000000004,29.160000000000004,37.21,29.793477358975196,0.545834016519447
0.58,Orleans_06,2021-12-19 11:06:00,11,6,33.63999999999999,0.0,1.734723475976807e-18,32.489999999999995,16.000000000000004,29.160000000000004,36.52567640068264,0.6043647607255295
0.72,Orleans_06,2021-12-19 13:06:00,13,6,51.839999999999996,0.0,0.0,33.63999999999999,32.489999999999995,16.000000000000004,48.94426349331227,0.6996017688178917
0.8,Orleans_06,2021-12-19 15:06:00,15,6,64.00000000000001,0.0,0.0,51.839999999999996,33.63999999999999,32.489999999999995,61.554180894660874,0.7845647257853291
0.83,Orleans_06,2021-12-19 17:06:00,17,6,68.89,0.0,-1.734723475976807e-18,64.00000000000001,51.839999999999996,33.63999999999999,67.15109000000005,0.8194576865220073
0.83,Orleans_06,2021-12-19 19:06:00,19,6,68.89,0.0,-1.734723475976807e-18,68.89,64.00000000000001,51.839999999999996,70.0828358323923,0.8371549189510403
0.87,Orleans_06,2021-12-19 21:06:00,21,6,75.69,0.0,0.0,68.89,68.89,64.00000000000001,72.81171826024215,0.8532978276091071
0.77,Orleans_06,2021-12-19 23:06:00,23,6,59.29,0.0,0.0,75.69,68.89,68.89,65.54043999278498,0.809570503370676
0.65,Orleans_06,2021-12-20 01:06:00,1,0,42.25,0.0,0.0,59.29,75.69,68.89,40.133035218913655,0.633506394749995
0.64,Orleans_06,2021-12-20 03:06:00,3,0,40.96,0.0,0.0,42.25,59.29,75.69,39.68863576877088,0.6299891726749824
0.62,Orleans_06,2021-12-20 05:06:00,5,0,38.44,0.0,1.734723475976807e-18,40.96,42.25,59.29,37.81199397508503,0.6149145792310102
0.55,Orleans_06,2021-12-20 07:06:00,7,0,30.250000000000004,0.0,0.0,38.44,40.96,42.25,33.640259955595674,0.5800022409921851
0.56,Orleans_06,2021-12-20 09:06:00,9,0,31.360000000000003,0.0,0.0,30.250000000000004,38.44,40.96,30.63805259102396,0.5535165091578025
0.67,Orleans_06,2021-12-20 11:06:00,11,0,44.89000000000001,0.0,0.0,31.360000000000003,30.250000000000004,38.44,41.13350257555707,0.6413540564739344
0.73,Orleans_06,2021-12-20 13:06:00,13,0,53.28999999999999,0.0,0.0,44.89000000000001,31.360000000000003,30.250000000000004,52.0190457246838,0.7212423013432019
0.69,Orleans_06,2021-12-20 15:06:00,15,0,47.60999999999999,0.0,0.0,53.28999999999999,44.89000000000001,31.360000000000003,49.98848996392494,0.7070253882564964
0.73,Orleans_06,2021-12-20 17:06:00,17,0,53.28999999999999,0.0,0.0,47.60999999999999,53.28999999999999,44.89000000000001,55.95668095240927,0.748041983797763
0.92,Orleans_06,2021-12-20 19:06:00,19,0,84.64,0.0,0.0,53.28999999999999,47.60999999999999,53.28999999999999,81.25648000000008,0.9014237627220623
0.85,Orleans_06,2021-12-20 21:06:00,21,0,72.24999999999999,0.0,0.0,84.64,53.28999999999999,47.60999999999999,74.37285409867908,0.8623969741289628
0.88,Orleans_06,2021-12-20 23:06:00,23,0,77.44,0.0,0.0,72.24999999999999,84.64,53.28999999999999,73.47883432806321,0.8571979603805834
0.72,Orleans_06,2021-12-21 01:06:00,1,1,51.839999999999996,0.0,0.0,77.44,72.24999999999999,84.64,50.88923642857145,0.7133669212163642
0.61,Orleans_06,2021-12-21 03:06:00,3,1,37.21,0.0,0.0,51.839999999999996,77.44,72.24999999999999,38.41309358474145,0.6197829747963512
0.54,Orleans_06,2021-12-21 05:06:00,5,1,29.160000000000004,0.0,0.0,37.21,51.839999999999996,77.44,29.177801663207447,0.5401648050660784
0.6,Orleans_06,2021-12-21 07:06:00,7,1,36.0,0.0,0.0,29.160000000000004,37.21,51.839999999999996,32.871444031398056,0.5733362367005774
0.57,Orleans_06,2021-12-21 09:06:00,9,1,32.489999999999995,0.0,0.0,36.0,29.160000000000004,37.21,31.91539445361785,0.5649371155590492
0.66,Orleans_06,2021-12-21 11:06:00,11,1,43.56,0.0,0.0,32.489999999999995,36.0,29.160000000000004,41.11426853959305,0.641204090283219
0.75,Orleans_06,2021-12-21 13:06:00,13,1,56.25,0.0,0.0,43.56,32.489999999999995,36.0,56.00379759963634,0.7483568507045041
0.69,Orleans_06,2021-12-21 15:06:00,15,1,47.60999999999999,0.0,0.0,56.25,43.56,32.489999999999995,50.41338163059161,0.7100238139005735
0.73,Orleans_06,2021-12-21 17:06:00,17,1,53.28999999999999,0.0,0.0,47.60999999999999,56.25,43.56,56.205480075216286,0.7497031417515622
0.95,Orleans_06,2021-12-21 19:06:00,19,1,90.25,0.0,0.0,53.28999999999999,47.60999999999999,56.25,83.84127833333334,0.9156488318855288
0.88,Orleans_06,2021-12-21 21:06:00,21,1,77.44,0.0,0.0,90.25,53.28999999999999,47.60999999999999,75.58227436924184,0.8693806667348996
0.86,Orleans_06,2021-12-21 23:06:00,23,1,73.96,0.0,0.0,77.44,90.25,53.28999999999999,74.39493043195937,0.8625249586647297
0.7,Orleans_06,2021-12-22 01:06:00,1,2,48.99999999999999,0.0,0.0,73.96,77.44,90.25,49.938028571428575,0.706668441147817
0.68,Orleans_06,2021-12-22 03:06:00,3,2,46.24000000000001,0.0,0.0,48.99999999999999,73.96,77.44,40.0871685450589,0.6331442848597696
0.62,Orleans_06,2021-12-22 05:06:00,5,2,38.44,0.0,1.734723475976807e-18,46.24000000000001,48.99999999999999,73.96,38.80763684703472,0.6229577581749403
0.71,Orleans_06,2021-12-22 07:06:00,7,2,50.41,0.0,0.0,38.44,46.24000000000001,48.99999999999999,40.681255617317035,0.6378185918998993
0.59,Orleans_06,2021-12-22 09:06:00,9,2,34.809999999999995,0.0,0.0,50.41,38.44,46.24000000000001,38.2435559051349,0.6184137442290145
0.72,Orleans_06,2021-12-22 11:06:00,11,2,51.839999999999996,0.0,0.0,34.809999999999995,50.41,38.44,47.186467695221474,0.6869240692771034
0.79,Orleans_06,2021-12-22 13:06:00,13,2,62.41000000000001,0.0,0.0,51.839999999999996,34.809999999999995,50.41,58.96412497778533,0.7678810127733681
0.77,Orleans_06,2021-12-22 15:06:00,15,2,59.29,0.0,0.0,62.41000000000001,51.839999999999996,34.809999999999995,58.929100952380935,0.767652922565797
0.79,Orleans_06,2021-12-22 17:06:00,17,2,62.41000000000001,0.0,0.0,59.29,62.41000000000001,51.839999999999996,63.28492375235871,0.7955182194793449
0.9,Orleans_06,2021-12-22 19:06:00,19,2,81.0,0.0,0.0,62.41000000000001,59.29,62.41000000000001,79.2604613837853,0.8902834457844608
0.94,Orleans_06,2021-12-22 21:06:00,21,2,88.35999999999999,0.0,0.0,81.0,62.41000000000001,59.29,84.14048791752931,0.9172812432265761
0.84,Orleans_06,2021-12-22 23:06:00,23,2,70.55999999999999,0.0,0.0,88.35999999999999,81.0,62.41000000000001,75.07674557625957,0.8664683812826616
0.69,Orleans_06,2021-12-23 01:06:00,1,3,47.60999999999999,0.0,0.0,70.55999999999999,88.35999999999999,81.0,48.57732666666665,0.6969743658605146
0.6,Orleans_06,2021-12-23 03:06:00,3,3,36.0,0.0,0.0,47.60999999999999,70.55999999999999,88.35999999999999,37.58211928459716,0.613042570174349
0.59,Orleans_06,2021-12-23 05:06:00,5,3,34.809999999999995,0.0,0.0,36.0,47.60999999999999,70.55999999999999,31.84972206267726,0.5643555799553793
0.61,Orleans_06,2021-12-23 07:06:00,7,3,37.21,0.0,0.0,34.809999999999995,36.0,47.60999999999999,33.5659160828124,0.5793609935334998
0.55,Orleans_06,2021-12-23 09:06:00,9,3,30.250000000000004,0.0,0.0,37.21,34.809999999999995,36.0,31.724551556792463,0.5632455197939213
0.66,Orleans_06,2021-12-23 11:06:00,11,3,43.56,0.0,0.0,30.250000000000004,37.21,34.809999999999995,41.91099225143675,0.6473869959416605
0.75,Orleans_06,2021-12-23 13:06:00,13,3,56.25,0.0,0.0,43.56,30.250000000000004,37.21,53.80888200439825,0.733545376949499
0.7,Orleans_06,2021-12-23 15:06:00,15,3,48.99999999999999,0.0,0.0,56.25,43.56,30.250000000000004,49.798183979076484,0.7056782834909722
0.77,Orleans_06,2021-12-23 17:06:00,17,3,59.29,0.0,0.0,48.99999999999999,56.25,43.56,57.67695444029567,0.7594534511100445
0.89,Orleans_06,2021-12-23 19:06:00,19,3,79.21000000000001,0.0,-1.734723475976807e-18,59.29,48.99999999999999,56.25,77.55118466661358,0.8806315044705906
0.87,Orleans_06,2021-12-23 21:06:00,21,3,75.69,0.0,0.0,79.21000000000001,59.29,48.99999999999999,75.47025836940834,0.8687361991387739
0.9,Orleans_06,2021-12-23 23:06:00,23,3,81.0,0.0,0.0,75.69,79.21000000000001,59.29,78.14573793195937,0.884000780157797
0.7,Orleans_06,2021-12-24 01:06:00,1,4,48.99999999999999,0.0,0.0,81.0,75.69,79.21000000000001,49.850098333333314,0.7060460206908139
0.62,Orleans_06,2021-12-24 03:06:00,3,4,38.44,0.0,1.734723475976807e-18,48.99999999999999,81.0,75.69,38.25558838129725,0.618511021577605
0.5,Orleans_06,2021-12-24 05:06:00,5,4,25.0,0.0,0.0,38.44,48.99999999999999,81.0,30.81112760862254,0.5550777207618997
0.58,Orleans_06,2021-12-24 07:06:00,7,4,33.63999999999999,0.0,1.734723475976807e-18,25.0,38.44,48.99999999999999,32.23970807236667,0.5678002119792372
0.54,Orleans_06,2021-12-24 09:06:00,9,4,29.160000000000004,0.0,0.0,33.63999999999999,25.0,38.44,30.86001472178537,0.5555179089983091
0.71,Orleans_06,2021-12-24 11:06:00,11,4,50.41,0.0,0.0,29.160000000000004,33.63999999999999,25.0,44.82806746336994,0.6695376573679029
0.7,Orleans_06,2021-12-24 13:06:00,13,4,48.99999999999999,0.0,0.0,50.41,29.160000000000004,33.63999999999999,50.38427555778931,0.7098188188389295
0.75,Orleans_06,2021-12-24 15:06:00,15,4,56.25,0.0,0.0,48.99999999999999,50.41,29.160000000000004,53.926499126559705,0.7343466424418356
0.66,Orleans_06,2021-12-24 17:06:00,17,4,43.56,0.0,0.0,56.25,48.99999999999999,50.41,52.25071898989901,0.7228465880800643
0.75,Orleans_06,2021-12-24 19:06:00,19,4,56.25,0.0,0.0,43.56,56.25,48.99999999999999,61.25291437939254,0.7826424111904015
0.7,Orleans_06,2021-12-24 21:06:00,21,4,48.99999999999999,0.0,0.0,56.25,43.56,56.25,57.39966111111111,0.7576256404789314
0.76,Orleans_06,2021-12-24 23:06:00,23,4,57.76,0.0,0.0,48.99999999999999,56.25,43.56,60.309788968137134,0.7765937739136024
0.69,Orleans_06,2021-12-25 01:06:00,1,5,47.60999999999999,0.0,0.0,57.76,48.99999999999999,56.25,43.41880160169756,0.6589294469189972
0.63,Orleans_06,2021-12-25 03:06:00,3,5,39.690000000000005,0.0,0.0,47.60999999999999,57.76,48.99999999999999,39.186400572161936,0.6259904198321404
0.59,Orleans_06,2021-12-25 05:06:00,5,5,34.809999999999995,0.0,0.0,39.690000000000005,47.60999999999999,57.76,34.96915014766243,0.5913471919918317
0.51,Orleans_06,2021-12-25 07:06:00,7,5,26.009999999999998,0.0,0.0,34.809999999999995,39.690000000000005,47.60999999999999,30.216284937455253,0.5496934139814234
0.49,Orleans_06,2021-12-25 09:06:00,9,5,24.009999999999998,0.0,0.0,26.009999999999998,34.809999999999995,39.690000000000005,28.176941315019167,0.5308195674145704
0.55,Orleans_06,2021-12-25 11:06:00,11,5,30.250000000000004,0.0,0.0,24.009999999999998,26.009999999999998,34.809999999999995,31.28464340187591,0.5593267685519433
0.66,Orleans_06,2021-12-25 13:06:00,13,5,43.56,0.0,0.0,30.250000000000004,24.009999999999998,26.009999999999998,41.90263859626484,0.6473224744767081
