E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
1.91,Orléans_01,2021-01-10 07:06:00,7,6,364.81,0.0,0.0,,,,324.956135899928,1.8026539765022238
1.8,Orléans_01,2021-01-10 09:06:00,9,6,324.0,0.0,0.0,364.81,,,378.5988185360118,1.9457615952012512
2.14,Orléans_01,2021-01-10 11:06:00,11,6,457.96,0.0,0.0,324.0,364.81,,445.6247146579376,2.1109825074072446
2.35,Orléans_01,2021-01-10 13:06:00,13,6,552.2500000000001,0.0,0.0,457.96,324.0,364.81,548.6062599330965,2.3422345312395523
2.1,Orléans_01,2021-01-10 15:06:00,15,6,441.0,0.0,0.0,552.2500000000001,457.96,324.0,501.1509366304628,2.238640070735943
2.39,Orléans_01,2021-01-10 17:06:00,17,6,571.21,0.0,0.0,441.0,552.2500000000001,457.96,552.807810342859,2.351186530972945
2.58,Orléans_01,2021-01-10 19:06:00,19,6,665.64,0.0,0.0,571.21,441.0,552.2500000000001,622.0987922024246,2.4941908351255417
2.34,Orléans_01,2021-01-10 21:06:00,21,6,547.56,0.0,0.0,665.64,571.21,441.0,647.9918975101785,2.545568497428774
2.41,Orléans_01,2021-01-10 23:06:00,23,6,580.8100000000001,0.0,0.0,547.56,665.64,571.21,579.9224386030432,2.4081578822889567
2.1,Orléans_01,2021-01-11 01:06:00,1,0,441.0,0.0,0.0,580.8100000000001,547.56,665.64,449.47232721462103,2.1200762420597545
1.85,Orléans_01,2021-01-11 03:06:00,3,0,342.25,0.0,0.0,441.0,580.8100000000001,547.56,306.9963790992878,1.7521312139771035
1.58,Orléans_01,2021-01-11 05:06:00,5,0,249.64000000000004,0.0,0.0,342.25,441.0,580.8100000000001,289.22103443343156,1.7006499770188797
2.05,Orléans_01,2021-01-11 07:06:00,7,0,420.24999999999994,0.0,0.0,249.64000000000004,342.25,441.0,352.5935773358092,1.877747526521628
2.27,Orléans_01,2021-01-11 09:06:00,9,0,515.29,0.0,0.0,420.24999999999994,249.64000000000004,342.25,518.2516316257428,2.2765140711749243
2.37,Orléans_01,2021-01-11 11:06:00,11,0,561.69,0.0,0.0,515.29,420.24999999999994,249.64000000000004,557.1538356876779,2.360410633105346
2.71,Orléans_01,2021-01-11 13:06:00,13,0,734.41,0.0,0.0,561.69,515.29,420.24999999999994,691.9557581693884,2.63050519514672
2.81,Orléans_01,2021-01-11 15:06:00,15,0,789.61,0.0,0.0,734.41,561.69,515.29,729.7877648636639,2.7014584299294038
2.67,Orléans_01,2021-01-11 17:06:00,17,0,712.89,0.0,0.0,789.61,734.41,561.69,734.0095011630901,2.7092609714885167
2.67,Orléans_01,2021-01-11 19:06:00,19,0,712.89,0.0,0.0,712.89,789.61,734.41,796.6939081329733,2.8225766741276903
2.91,Orléans_01,2021-01-11 21:06:00,21,0,846.8100000000002,0.0,0.0,712.89,712.89,789.61,827.1480350848407,2.876018141606274
2.6,Orléans_01,2021-01-11 23:06:00,23,0,676.0,0.0,0.0,846.8100000000002,712.89,712.89,708.9927867290634,2.662691846100602
2.38,Orléans_01,2021-01-12 01:06:00,1,1,566.4399999999999,0.0,0.0,676.0,846.8100000000002,712.89,527.9505472673044,2.2977174483980933
1.8,Orléans_01,2021-01-12 03:06:00,3,1,324.0,0.0,0.0,566.4399999999999,676.0,846.8100000000002,329.91050354495036,1.8163438648696186
1.8,Orléans_01,2021-01-12 05:06:00,5,1,324.0,0.0,0.0,324.0,566.4399999999999,676.0,298.4139237195826,1.7274661319967537
1.98,Orléans_01,2021-01-12 07:06:00,7,1,392.03999999999996,0.0,0.0,324.0,324.0,566.4399999999999,375.86620986058983,1.9387269272916954
2.4,Orléans_01,2021-01-12 09:06:00,9,1,576.0,0.0,0.0,392.03999999999996,324.0,324.0,538.451140819181,2.3204550002514184
2.65,Orléans_01,2021-01-12 11:06:00,11,1,702.25,0.0,0.0,576.0,392.03999999999996,324.0,651.0664249832039,2.551600331131825
2.9,Orléans_01,2021-01-12 13:06:00,13,1,841.0,0.0,0.0,702.25,576.0,392.03999999999996,819.4166156205333,2.862545398103816
2.59,Orléans_01,2021-01-12 15:06:00,15,1,670.81,0.0,0.0,841.0,702.25,576.0,722.7357190649661,2.6883744513459544
2.96,Orléans_01,2021-01-12 17:06:00,17,1,876.16,0.0,0.0,670.81,841.0,702.25,797.2521128069556,2.823565322082979
2.99,Orléans_01,2021-01-12 19:06:00,19,1,894.0100000000001,0.0,0.0,876.16,670.81,841.0,898.4402010565562,2.9973992077408647
3.13,Orléans_01,2021-01-12 21:06:00,21,1,979.6899999999999,0.0,0.0,894.0100000000001,876.16,670.81,955.3082366455833,3.0908061030184073
3.12,Orléans_01,2021-01-12 23:06:00,23,1,973.44,0.0,0.0,979.6899999999999,894.0100000000001,876.16,965.1086086167162,3.1066197202372807
2.0,Orléans_01,2021-02-10 01:06:00,1,2,400.0,0.0,0.0,973.44,979.6899999999999,894.0100000000001,430.54460071921164,2.0749568687546533
1.91,Orléans_01,2021-02-10 03:06:00,3,2,364.81,0.0,0.0,400.0,973.44,979.6899999999999,288.8081352032976,1.6994355980833684
1.45,Orléans_01,2021-02-10 05:06:00,5,2,210.25,0.0,0.0,364.81,400.0,973.44,277.8198779356091,1.6667929623549804
1.51,Orléans_01,2021-02-10 07:06:00,7,2,228.01,0.0,0.0,210.25,364.81,400.0,263.81996999260053,1.6242535823959279
2.02,Orléans_01,2021-02-10 09:06:00,9,2,408.04,0.0,0.0,228.01,210.25,364.81,401.33611870670285,2.0033375120201358
2.17,Orléans_01,2021-02-10 11:06:00,11,2,470.89,0.0,0.0,408.04,228.01,210.25,466.8675773180088,2.160711867228041
2.35,Orléans_01,2021-02-10 13:06:00,13,2,552.2500000000001,0.0,0.0,470.89,408.04,228.01,555.2406102492636,2.356354409356249
2.55,Orléans_01,2021-02-10 15:06:00,15,2,650.2499999999999,0.0,0.0,552.2500000000001,470.89,408.04,543.4556768621865,2.331213582797995
2.25,Orléans_01,2021-02-10 17:06:00,17,2,506.25,0.0,0.0,650.2499999999999,552.2500000000001,470.89,618.4245725863061,2.4868143730208456
2.32,Orléans_01,2021-02-10 19:06:00,19,2,538.2399999999999,0.0,1.734723475976807e-18,506.25,650.2499999999999,552.2500000000001,591.3191135320359,2.431705396490364
2.19,Orléans_01,2021-02-10 21:06:00,21,2,479.61,0.0,0.0,538.2399999999999,506.25,650.2499999999999,560.0990879610101,2.366641265509013
2.17,Orléans_01,2021-02-10 23:06:00,23,2,470.89,0.0,0.0,479.61,538.2399999999999,506.25,536.0823495228032,2.315345221609087
2.23,Orléans_01,2021-02-11 01:06:00,1,3,497.29,0.0,0.0,470.89,479.61,538.2399999999999,479.33101957555283,2.1893629657403837
1.58,Orléans_01,2021-02-11 03:06:00,3,3,249.64000000000004,0.0,0.0,497.29,470.89,479.61,289.7240341637887,1.7021281801432837
1.76,Orléans_01,2021-02-11 05:06:00,5,3,309.76,0.0,0.0,249.64000000000004,497.29,470.89,284.7671774775619,1.6875045999272473
1.85,Orléans_01,2021-02-11 07:06:00,7,3,342.25,0.0,0.0,309.76,249.64000000000004,497.29,346.0466180044911,1.8602328295256245
2.1,Orléans_01,2021-02-11 09:06:00,9,3,441.0,0.0,0.0,342.25,309.76,249.64000000000004,445.8729267561443,2.111570332137067
2.26,Orléans_01,2021-02-11 11:06:00,11,3,510.7599999999999,0.0,0.0,441.0,342.25,309.76,532.9488908418897,2.3085685843004313
2.54,Orléans_01,2021-02-11 13:06:00,13,3,645.16,0.0,0.0,510.7599999999999,441.0,342.25,576.5826272334303,2.4012134999483705
2.54,Orléans_01,2021-02-11 15:06:00,15,3,645.16,0.0,0.0,645.16,510.7599999999999,441.0,605.7095514660389,2.461116721055787
2.69,Orléans_01,2021-02-11 17:06:00,17,3,723.6099999999999,0.0,0.0,645.16,645.16,510.7599999999999,666.1565717350541,2.5810009138608496
2.71,Orléans_01,2021-02-11 19:06:00,19,3,734.41,0.0,0.0,723.6099999999999,645.16,645.16,755.591378740656,2.7488022459621497
2.71,Orléans_01,2021-02-11 21:06:00,21,3,734.41,0.0,0.0,734.41,723.6099999999999,645.16,755.9682783100277,2.7494877310328696
2.6,Orléans_01,2021-02-11 23:06:00,23,3,676.0,0.0,0.0,734.41,734.41,723.6099999999999,698.0374922052538,2.6420399168166515
2.24,Orléans_01,2021-02-12 01:06:00,1,4,501.76000000000005,0.0,0.0,676.0,734.41,734.41,487.9527498533423,2.2089652551666408
1.81,Orléans_01,2021-02-12 03:06:00,3,4,327.61,0.0,0.0,501.76000000000005,676.0,734.41,286.73993175641573,1.6933396934945326
1.92,Orléans_01,2021-02-12 05:06:00,5,4,368.64,0.0,0.0,327.61,501.76000000000005,676.0,290.7944930629308,1.7052697530388874
2.15,Orléans_01,2021-02-12 07:06:00,7,4,462.24999999999994,0.0,0.0,368.64,327.61,501.76000000000005,435.3623528427683,2.08653385508783
2.55,Orléans_01,2021-02-12 09:06:00,9,4,650.2499999999999,0.0,0.0,462.24999999999994,368.64,327.61,585.2870535468697,2.419270661887317
2.5,Orléans_01,2021-02-12 11:06:00,11,4,625.0,0.0,0.0,650.2499999999999,462.24999999999994,368.64,634.4581426123478,2.518845256486289
2.9,Orléans_01,2021-02-12 13:06:00,13,4,841.0,0.0,0.0,625.0,650.2499999999999,462.24999999999994,827.9455230507529,2.877404252187643
