E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.05,Parempuyre_01,2021-01-06 07:06:00,7,2,0.25000000000000006,0.0,0.0,,,,0.6250414498897979,0.07905956298195671
0.01,Parempuyre_01,2021-01-06 09:06:00,9,2,0.01,0.0,0.0,0.25000000000000006,,,0.855887933025582,0.09251421150426468
0.02,Parempuyre_01,2021-01-06 11:06:00,11,2,0.04,0.0,0.0,0.01,0.25000000000000006,,1.4300106572510498,0.11958305303223571
0.04,Parempuyre_01,2021-01-06 13:06:00,13,2,0.16,0.0,0.0,0.04,0.01,0.25000000000000006,1.2652191888818987,0.11248196250430105
0.01,Parempuyre_01,2021-01-06 15:06:00,15,2,0.01,0.0,0.0,0.16,0.04,0.01,0.7830968969714955,0.08849276224480143
0.09,Parempuyre_01,2021-01-06 17:06:00,17,2,0.8099999999999999,0.0,0.0,0.01,0.16,0.04,0.5571210831675454,0.07464054415447045
0.08,Parempuyre_01,2021-01-06 19:06:00,19,2,0.64,0.0,0.0,0.8099999999999999,0.01,0.16,0.8457945424238444,0.0919670888102828
0.03,Parempuyre_01,2021-01-06 21:06:00,21,2,0.09,0.0,0.0,0.64,0.8099999999999999,0.01,0.7762679727091276,0.08810607088669473
0.08,Parempuyre_01,2021-01-06 23:06:00,23,2,0.64,0.0,0.0,0.09,0.64,0.8099999999999999,0.6756795824461246,0.08219973129190415
0.01,Parempuyre_01,2021-01-07 01:06:00,1,3,0.01,0.0,0.0,0.64,0.09,0.64,0.7747054292706946,0.08801735222504109
0.07,Parempuyre_01,2021-01-07 03:06:00,3,3,0.49000000000000005,0.0,0.0,0.01,0.64,0.09,0.6795733368109153,0.08243623819722218
0.04,Parempuyre_01,2021-01-07 05:06:00,5,3,0.16,0.0,0.0,0.49000000000000005,0.01,0.64,0.6525886705663116,0.08078296049083071
0.02,Parempuyre_01,2021-01-07 07:06:00,7,3,0.04,0.0,0.0,0.16,0.49000000000000005,0.01,0.6725390465290936,0.0820084780086238
0.11,Parempuyre_01,2021-01-07 09:06:00,9,3,1.21,0.0,0.0,0.04,0.16,0.49000000000000005,0.8470086298444902,0.09203307176469175
0.08,Parempuyre_01,2021-01-07 11:06:00,11,3,0.64,0.0,0.0,1.21,0.04,0.16,1.8439842637477013,0.13579338215641076
0.12,Parempuyre_01,2021-01-07 13:06:00,13,3,1.44,0.0,0.0,0.64,1.21,0.04,1.9318874340364025,0.13899235353199837
0.09,Parempuyre_01,2021-01-07 15:06:00,15,3,0.8099999999999999,0.0,0.0,1.44,0.64,1.21,1.4685804770551822,0.12118500225090488
0.06,Parempuyre_01,2021-01-07 17:06:00,17,3,0.36,0.0,0.0,0.8099999999999999,1.44,0.64,1.1006485534229216,0.1049117988323011
0.04,Parempuyre_01,2021-01-07 19:06:00,19,3,0.16,0.0,0.0,0.36,0.8099999999999999,1.44,0.8750318550548155,0.09354313737815381
0.12,Parempuyre_01,2021-01-07 21:06:00,21,3,1.44,0.0,0.0,0.16,0.36,0.8099999999999999,0.716178162468794,0.0846273101586476
0.02,Parempuyre_01,2021-01-07 23:06:00,23,3,0.04,0.0,0.0,1.44,0.16,0.36,0.9401640005990979,0.09696205446457382
0.09,Parempuyre_01,2021-01-08 01:06:00,1,4,0.8099999999999999,0.0,0.0,0.04,1.44,0.16,0.9176430931239481,0.09579368941240066
0.1,Parempuyre_01,2021-01-08 03:06:00,3,4,1.0000000000000002,0.0,0.0,0.8099999999999999,0.04,1.44,1.0223692569672114,0.1011122770472118
0.07,Parempuyre_01,2021-01-08 05:06:00,5,4,0.49000000000000005,0.0,0.0,1.0000000000000002,0.8099999999999999,0.04,0.9649436880233754,0.09823154727598336
0.12,Parempuyre_01,2021-01-08 07:06:00,7,4,1.44,0.0,0.0,0.49000000000000005,1.0000000000000002,0.8099999999999999,1.068963824320002,0.10339070675452422
0.03,Parempuyre_01,2021-01-08 09:06:00,9,4,0.09,0.0,0.0,1.44,0.49000000000000005,1.0000000000000002,1.4246945720537858,0.11936057020866589
0.02,Parempuyre_01,2021-01-08 11:06:00,11,4,0.04,0.0,0.0,0.09,1.44,0.49000000000000005,1.981548389101873,0.14076748165332337
0.12,Parempuyre_01,2021-01-08 13:06:00,13,4,1.44,0.0,0.0,0.04,0.09,1.44,1.5875666591125395,0.12599867694196393
0.06,Parempuyre_01,2021-01-08 15:06:00,15,4,0.36,0.0,0.0,1.44,0.04,0.09,1.0028430726469995,0.10014205273744889
0.09,Parempuyre_01,2021-01-08 17:06:00,17,4,0.8099999999999999,0.0,0.0,0.36,1.44,0.04,0.8939745115559838,0.09455022535964597
0.04,Parempuyre_01,2021-01-08 19:06:00,19,4,0.16,0.0,0.0,0.8099999999999999,0.36,1.44,1.0926930503819285,0.10453195924605684
0.06,Parempuyre_01,2021-01-08 21:06:00,21,4,0.36,0.0,0.0,0.16,0.8099999999999999,0.36,0.6993961693815623,0.08362990908649623
0.06,Parempuyre_01,2021-01-08 23:06:00,23,4,0.36,0.0,0.0,0.36,0.16,0.8099999999999999,0.8106259168872353,0.09003476644537016
0.02,Parempuyre_01,2021-01-09 01:06:00,1,5,0.04,0.0,0.0,0.36,0.36,0.16,0.7279824260662828,0.08532188617619063
0.11,Parempuyre_01,2021-01-09 03:06:00,3,5,1.21,0.0,0.0,0.04,0.36,0.36,0.6625396555120162,0.08139653896278491
0.13,Parempuyre_01,2021-01-09 05:06:00,5,5,1.6900000000000002,0.0,0.0,1.21,0.04,0.36,0.8308420995038911,0.09115054028934173
0.13,Parempuyre_01,2021-01-09 07:06:00,7,5,1.6900000000000002,0.0,0.0,1.6900000000000002,1.21,0.04,1.1184925720482237,0.10575880918619611
0.07,Parempuyre_01,2021-01-09 09:06:00,9,5,0.49000000000000005,0.0,0.0,1.6900000000000002,1.6900000000000002,1.21,1.712016313827043,0.1308440412791902
0.21,Parempuyre_01,2021-01-09 11:06:00,11,5,4.409999999999999,0.0,0.0,0.49000000000000005,1.6900000000000002,1.6900000000000002,2.505615164181178,0.1582913504958871
0.19,Parempuyre_01,2021-01-09 13:06:00,13,5,3.61,0.0,0.0,4.409999999999999,0.49000000000000005,1.6900000000000002,3.9171030097531387,0.19791672515866715
0.08,Parempuyre_01,2021-01-09 15:06:00,15,5,0.64,0.0,0.0,3.61,4.409999999999999,0.49000000000000005,1.9995953299876548,0.14140704826802852
0.09,Parempuyre_01,2021-01-09 17:06:00,17,5,0.8099999999999999,0.0,0.0,0.64,3.61,4.409999999999999,1.0188026780867219,0.10093575571058662
0.1,Parempuyre_01,2021-01-09 19:06:00,19,5,1.0000000000000002,0.0,0.0,0.8099999999999999,0.64,3.61,1.15065461636357,0.10726857025072954
0.04,Parempuyre_01,2021-01-09 21:06:00,21,5,0.16,0.0,0.0,1.0000000000000002,0.8099999999999999,0.64,1.0928944910317866,0.10454159416384402
0.07,Parempuyre_01,2021-01-10 01:06:00,1,6,0.49000000000000005,0.0,0.0,0.16,1.0000000000000002,0.8099999999999999,1.0708444567165902,0.10348161463354687
0.02,Parempuyre_01,2021-01-10 03:06:00,3,6,0.04,0.0,0.0,0.49000000000000005,0.16,1.0000000000000002,0.8514429187020854,0.09227366464501588
0.02,Parempuyre_01,2021-01-10 05:06:00,5,6,0.04,0.0,0.0,0.04,0.49000000000000005,0.16,0.7370008875523582,0.08584875581814556
0.1,Parempuyre_01,2021-01-10 07:06:00,7,6,1.0000000000000002,0.0,0.0,0.04,0.04,0.49000000000000005,0.5900628164758892,0.07681554637414807
0.13,Parempuyre_01,2021-01-10 09:06:00,9,6,1.6900000000000002,0.0,0.0,1.0000000000000002,0.04,0.04,0.9447126497712186,0.09719632965144408
0.23,Parempuyre_01,2021-01-10 11:06:00,11,6,5.29,0.0,0.0,1.6900000000000002,1.0000000000000002,0.04,2.507035446649069,0.1583362070610847
0.16,Parempuyre_01,2021-01-10 13:06:00,13,6,2.56,0.0,0.0,5.29,1.6900000000000002,1.0000000000000002,3.446357976161259,0.1856436903361183
0.15,Parempuyre_01,2021-01-10 15:06:00,15,6,2.25,0.0,0.0,2.56,5.29,1.6900000000000002,1.8125940549710962,0.13463261324698025
0.07,Parempuyre_01,2021-01-10 17:06:00,17,6,0.49000000000000005,0.0,0.0,2.25,2.56,5.29,1.647749565990897,0.12836469787254193
0.05,Parempuyre_01,2021-01-10 19:06:00,19,6,0.25000000000000006,0.0,0.0,0.49000000000000005,2.25,2.56,0.8843652625011279,0.09404069664252429
0.03,Parempuyre_01,2021-01-10 21:06:00,21,6,0.09,0.0,0.0,0.25000000000000006,0.49000000000000005,2.25,0.8424295436635478,0.09178396067197948
0.1,Parempuyre_01,2021-01-10 23:06:00,23,6,1.0000000000000002,0.0,0.0,0.09,0.25000000000000006,0.49000000000000005,0.5967927037431934,0.0772523594295471
0.12,Parempuyre_01,2021-01-11 01:06:00,1,0,1.44,0.0,0.0,1.0000000000000002,0.09,0.25000000000000006,0.8889566165314057,0.09428449589043819
0.11,Parempuyre_01,2021-01-11 03:06:00,3,0,1.21,0.0,0.0,1.44,1.0000000000000002,0.09,1.0240806374040778,0.10119686938853781
0.17,Parempuyre_01,2021-01-11 05:06:00,5,0,2.8900000000000006,0.0,0.0,1.21,1.44,1.0000000000000002,1.2030953870091177,0.10968570494869045
0.05,Parempuyre_01,2021-01-11 07:06:00,7,0,0.25000000000000006,0.0,0.0,2.8900000000000006,1.21,1.44,1.210214778023158,0.11000976220423159
0.07,Parempuyre_01,2021-01-11 09:06:00,9,0,0.49000000000000005,0.0,0.0,0.25000000000000006,2.8900000000000006,1.21,1.4458232169278802,0.12024238923640367
0.07,Parempuyre_01,2021-01-11 11:06:00,11,0,0.49000000000000005,0.0,0.0,0.49000000000000005,0.25000000000000006,2.8900000000000006,2.5022032225051127,0.15818353967796753
0.33,Parempuyre_01,2021-01-11 13:06:00,13,0,10.89,0.0,0.0,0.49000000000000005,0.49000000000000005,0.25000000000000006,2.1292621254069566,0.1459199138365616
