E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.36,Paris_8e_03,2020-04-12 09:06:00,9,6,12.959999999999999,0.0,0.0,,,,13.226214428834139,0.3636786277585492
0.37,Paris_8e_03,2020-04-12 11:06:00,11,6,13.69,0.0,0.0,12.959999999999999,,,12.610597020645557,0.35511402423229577
0.36,Paris_8e_03,2020-04-12 13:06:00,13,6,12.959999999999999,0.0,0.0,13.69,12.959999999999999,,12.062940188559976,0.34731743677160776
0.37,Paris_8e_03,2020-04-12 15:06:00,15,6,13.69,0.0,0.0,12.959999999999999,13.69,12.959999999999999,11.794583519257019,0.3434324317716226
0.36,Paris_8e_03,2020-04-12 17:06:00,17,6,12.959999999999999,0.0,0.0,13.69,12.959999999999999,13.69,11.935233026978642,0.34547406598728425
0.37,Paris_8e_03,2020-04-12 19:06:00,19,6,13.69,0.0,0.0,12.959999999999999,13.69,12.959999999999999,11.915758156123845,0.34519209371194826
0.32,Paris_8e_03,2020-04-12 21:06:00,21,6,10.24,0.0,0.0,13.69,12.959999999999999,13.69,10.445559500298643,0.32319590808515264
0.25,Paris_8e_03,2020-04-12 23:06:00,23,6,6.25,0.0,0.0,10.24,13.69,12.959999999999999,8.846901327396555,0.2974374106832655
0.28,Paris_8e_03,2020-05-12 01:06:00,1,1,7.840000000000001,0.0,0.0,6.25,10.24,13.69,7.3757718208285885,0.27158372228152017
0.26,Paris_8e_03,2020-05-12 03:06:00,3,1,6.760000000000001,0.0,0.0,7.840000000000001,6.25,10.24,7.870956613772867,0.28055225206319173
0.35,Paris_8e_03,2020-05-12 07:06:00,7,1,12.249999999999998,0.0,0.0,6.760000000000001,7.840000000000001,6.25,8.921337140440855,0.2986860750092119
0.34,Paris_8e_03,2020-05-12 09:06:00,9,1,11.560000000000002,0.0,0.0,12.249999999999998,6.760000000000001,7.840000000000001,12.21350728405077,0.3494782866509845
0.28,Paris_8e_03,2020-05-12 11:06:00,11,1,7.840000000000001,0.0,0.0,11.560000000000002,12.249999999999998,6.760000000000001,11.94293197031124,0.34558547380223087
0.38,Paris_8e_03,2020-05-12 13:06:00,13,1,14.44,0.0,0.0,7.840000000000001,11.560000000000002,12.249999999999998,11.48567145884354,0.33890517049528085
0.37,Paris_8e_03,2020-05-12 15:06:00,15,1,13.69,0.0,0.0,14.44,7.840000000000001,11.560000000000002,12.340708769812238,0.35129344955196984
0.36,Paris_8e_03,2020-05-12 17:06:00,17,1,12.959999999999999,0.0,0.0,13.69,14.44,7.840000000000001,12.051632933001818,0.34715461876520987
0.34,Paris_8e_03,2020-05-12 19:06:00,19,1,11.560000000000002,0.0,0.0,12.959999999999999,13.69,14.44,11.809499090702094,0.34364951754224965
0.27,Paris_8e_03,2020-05-12 21:06:00,21,1,7.290000000000001,0.0,0.0,11.560000000000002,12.959999999999999,13.69,7.9497007677936935,0.28195213721115314
0.35,Paris_8e_03,2020-05-12 23:06:00,23,1,12.249999999999998,0.0,0.0,7.290000000000001,11.560000000000002,12.959999999999999,9.81470449309879,0.3132842877180212
