E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.01,Pessac_01,2021-01-07 09:06:00,9,3,0.01,0.0,0.0,,,,0.2872390862276186,0.053594690616479784
0.01,Pessac_01,2021-01-07 11:06:00,11,3,0.01,0.0,0.0,0.01,,,0.28696125391000427,0.05356876458441096
0.02,Pessac_01,2021-01-07 13:06:00,13,3,0.04,0.0,0.0,0.01,0.01,,0.4269489426648531,0.06534133015671269
0.07,Pessac_01,2021-01-07 15:06:00,15,3,0.49000000000000005,0.0,0.0,0.04,0.01,0.01,0.4308887814396136,0.06564211921012404
0.02,Pessac_01,2021-01-07 17:06:00,17,3,0.04,0.0,0.0,0.49000000000000005,0.04,0.01,0.6589011527067646,0.08117272649768299
0.03,Pessac_01,2021-01-07 19:06:00,19,3,0.09,0.0,0.0,0.04,0.49000000000000005,0.04,0.3362086000568676,0.0579834976572531
0.01,Pessac_01,2021-01-07 21:06:00,21,3,0.01,0.0,0.0,0.09,0.04,0.49000000000000005,0.29733651449663706,0.054528571822177505
0.05,Pessac_01,2021-01-07 23:06:00,23,3,0.25000000000000006,0.0,0.0,0.01,0.09,0.04,0.193374178331578,0.04397433095927419
0.03,Pessac_01,2021-01-08 01:06:00,1,4,0.09,0.0,0.0,0.25000000000000006,0.01,0.09,0.3072087427155091,0.055426414525522855
0.04,Pessac_01,2021-01-08 03:06:00,3,4,0.16,0.0,0.0,0.09,0.25000000000000006,0.01,0.3117641388008116,0.055835843219280895
0.01,Pessac_01,2021-01-08 05:06:00,5,4,0.01,0.0,0.0,0.16,0.09,0.25000000000000006,0.3050484511322997,0.05523119147115149
0.03,Pessac_01,2021-01-08 07:06:00,7,4,0.09,0.0,0.0,0.01,0.16,0.09,0.23554359702949512,0.048532833940487664
0.06,Pessac_01,2021-01-08 09:06:00,9,4,0.36,0.0,0.0,0.09,0.01,0.16,0.3191902867889679,0.056496927950904365
0.02,Pessac_01,2021-01-08 13:06:00,13,4,0.04,0.0,0.0,0.36,0.09,0.01,0.7090923870534495,0.08420762358916499
0.03,Pessac_01,2021-01-08 15:06:00,15,4,0.09,0.0,0.0,0.04,0.36,0.09,0.35688246421776204,0.05973964045905884
0.01,Pessac_01,2021-01-08 17:06:00,17,4,0.01,0.0,0.0,0.09,0.04,0.36,0.46105176151500904,0.06790079244861646
0.02,Pessac_01,2021-01-08 19:06:00,19,4,0.04,0.0,0.0,0.01,0.09,0.04,0.19864542921782147,0.04456965663069679
0.02,Pessac_01,2021-01-08 21:06:00,21,4,0.04,0.0,0.0,0.04,0.01,0.09,0.2502519387768233,0.05002518753356386
0.05,Pessac_01,2021-01-08 23:06:00,23,4,0.25000000000000006,0.0,0.0,0.04,0.04,0.01,0.2515034797636245,0.050150122608386964
0.03,Pessac_01,2021-01-09 01:06:00,1,5,0.09,0.0,0.0,0.25000000000000006,0.04,0.04,0.3169027899979341,0.05629411958614631
0.07,Pessac_01,2021-01-09 03:06:00,3,5,0.49000000000000005,0.0,0.0,0.09,0.25000000000000006,0.04,0.3073322766331357,0.055437557362598124
0.04,Pessac_01,2021-01-09 05:06:00,5,5,0.16,0.0,0.0,0.49000000000000005,0.09,0.25000000000000006,0.30221549920350194,0.054974130207171255
0.01,Pessac_01,2021-01-09 07:06:00,7,5,0.01,0.0,0.0,0.16,0.49000000000000005,0.09,0.2741729253141406,0.05236152454943808
0.04,Pessac_01,2021-01-09 09:06:00,9,5,0.16,0.0,0.0,0.01,0.16,0.49000000000000005,0.31521314346095586,0.056143845919295186
0.02,Pessac_01,2021-01-09 11:06:00,11,5,0.04,0.0,0.0,0.16,0.01,0.16,0.324219302566347,0.056940258391260136
0.05,Pessac_01,2021-01-09 13:06:00,13,5,0.25000000000000006,0.0,0.0,0.04,0.16,0.01,0.41761556169930997,0.06462318173065375
0.06,Pessac_01,2021-01-09 15:06:00,15,5,0.36,0.0,0.0,0.25000000000000006,0.04,0.16,0.47371685988395407,0.06882709204113988
0.07,Pessac_01,2021-01-09 17:06:00,17,5,0.49000000000000005,0.0,0.0,0.36,0.25000000000000006,0.04,0.43143259467245243,0.06568352873228207
0.08,Pessac_01,2021-01-09 19:06:00,19,5,0.64,0.0,0.0,0.49000000000000005,0.36,0.25000000000000006,0.9671100938991423,0.09834175582625837
0.03,Pessac_01,2021-01-09 21:06:00,21,5,0.09,0.0,0.0,0.64,0.49000000000000005,0.36,1.0167905601090161,0.10083603324749621
0.09,Pessac_01,2021-01-09 23:06:00,23,5,0.8099999999999999,0.0,0.0,0.09,0.64,0.49000000000000005,0.5470529429794442,0.07396302745152096
0.11,Pessac_01,2021-01-10 01:06:00,1,6,1.21,0.0,0.0,0.8099999999999999,0.09,0.64,0.496487100535533,0.07046184077467271
0.09,Pessac_01,2021-01-10 03:06:00,3,6,0.8099999999999999,0.0,0.0,1.21,0.8099999999999999,0.09,0.40277390118636264,0.06346447046863013
0.08,Pessac_01,2021-01-10 05:06:00,5,6,0.64,0.0,0.0,0.8099999999999999,1.21,0.8099999999999999,0.5788861626431596,0.076084568911387
0.06,Pessac_01,2021-01-10 07:06:00,7,6,0.36,0.0,0.0,0.64,0.8099999999999999,1.21,0.3922952921269974,0.06263348083309736
0.05,Pessac_01,2021-01-10 09:06:00,9,6,0.25000000000000006,0.0,0.0,0.36,0.64,0.8099999999999999,0.4280755644932012,0.06542748386520769
0.04,Pessac_01,2021-01-10 11:06:00,11,6,0.16,0.0,0.0,0.25000000000000006,0.36,0.64,0.37104796245512905,0.060913706376736675
0.22,Pessac_01,2021-01-10 13:06:00,13,6,4.84,0.0,0.0,0.16,0.25000000000000006,0.36,0.9285692662575101,0.09636229896891783
0.01,Pessac_01,2021-01-10 15:06:00,15,6,0.01,0.0,0.0,4.84,0.16,0.25000000000000006,1.207547612736989,0.10988847131237148
0.1,Pessac_01,2021-01-10 17:06:00,17,6,1.0000000000000002,0.0,0.0,0.01,4.84,0.16,1.1435163447758656,0.10693532366696543
0.07,Pessac_01,2021-01-10 19:06:00,19,6,0.49000000000000005,0.0,0.0,1.0000000000000002,0.01,4.84,0.916197616550581,0.09571821229789976
0.14,Pessac_01,2021-01-10 21:06:00,21,6,1.9600000000000002,0.0,0.0,0.49000000000000005,1.0000000000000002,0.01,1.5459971749487011,0.12433813473543429
0.07,Pessac_01,2021-01-10 23:06:00,23,6,0.49000000000000005,0.0,0.0,1.9600000000000002,0.49000000000000005,1.0000000000000002,1.330264367712034,0.11533708717112783
0.13,Pessac_01,2021-01-11 01:06:00,1,0,1.6900000000000002,0.0,0.0,0.49000000000000005,1.9600000000000002,0.49000000000000005,0.6144367035449249,0.0783860130090136
0.08,Pessac_01,2021-01-11 03:06:00,3,0,0.64,0.0,0.0,1.6900000000000002,0.49000000000000005,1.9600000000000002,0.8481541651473355,0.09209528571796363
0.04,Pessac_01,2021-01-11 05:06:00,5,0,0.16,0.0,0.0,0.64,1.6900000000000002,0.49000000000000005,0.3239200691083594,0.056913976236804914
0.01,Pessac_01,2021-01-11 07:06:00,7,0,0.01,0.0,0.0,0.16,0.64,1.6900000000000002,0.2547293120543397,0.050470715474851324
0.03,Pessac_01,2021-01-11 09:06:00,9,0,0.09,0.0,0.0,0.01,0.16,0.64,0.3033754748732391,0.055079531123026014
0.04,Pessac_01,2021-01-11 11:06:00,11,0,0.16,0.0,0.0,0.09,0.01,0.16,0.31942884650773945,0.0565180366350194
0.04,Pessac_01,2021-01-11 13:06:00,13,0,0.16,0.0,0.0,0.16,0.09,0.01,0.40859591286070723,0.06392150755893569
0.1,Pessac_01,2021-01-11 15:06:00,15,0,1.0000000000000002,0.0,0.0,0.16,0.16,0.09,0.4303654166685055,0.06560224208580874
0.07,Pessac_01,2021-01-11 17:06:00,17,0,0.49000000000000005,0.0,0.0,1.0000000000000002,0.16,0.16,0.49726666558755994,0.07051713732048118
0.05,Pessac_01,2021-01-11 19:06:00,19,0,0.25000000000000006,0.0,0.0,0.49000000000000005,1.0000000000000002,0.16,0.8869552337951461,0.09417830078076085
0.05,Pessac_01,2021-01-11 21:06:00,21,0,0.25000000000000006,0.0,0.0,0.25000000000000006,0.49000000000000005,1.0000000000000002,0.8009628965385746,0.0894965304656317
0.1,Pessac_01,2021-01-11 23:06:00,23,0,1.0000000000000002,0.0,0.0,0.25000000000000006,0.25000000000000006,0.49000000000000005,0.6932992905241463,0.08326459574898243
0.06,Pessac_01,2021-01-12 01:06:00,1,1,0.36,0.0,0.0,1.0000000000000002,0.25000000000000006,0.25000000000000006,0.39356379756959897,0.06273466327076276
0.03,Pessac_01,2021-01-12 03:06:00,3,1,0.09,0.0,0.0,0.36,1.0000000000000002,0.25000000000000006,0.3297208568287395,0.05742132503075312
0.01,Pessac_01,2021-01-12 07:06:00,7,1,0.01,0.0,0.0,0.09,0.36,1.0000000000000002,0.29181444821877317,0.054019852667216074
0.03,Pessac_01,2021-01-12 09:06:00,9,1,0.09,0.0,0.0,0.01,0.09,0.36,0.3226135090531615,0.05679907649365098
0.04,Pessac_01,2021-01-12 11:06:00,11,1,0.16,0.0,0.0,0.09,0.01,0.09,0.2791311242743889,0.05283286139084167
0.03,Pessac_01,2021-01-12 13:06:00,13,1,0.09,0.0,0.0,0.16,0.09,0.01,0.4103001350829294,0.06405467469926995
0.01,Pessac_01,2021-01-12 15:06:00,15,1,0.01,0.0,0.0,0.09,0.16,0.09,0.39592247662053404,0.06292237095187482
0.09,Pessac_01,2021-01-12 17:06:00,17,1,0.8099999999999999,0.0,0.0,0.01,0.09,0.16,0.48289368052198944,0.06949055191333492
0.09,Pessac_01,2021-01-12 19:06:00,19,1,0.8099999999999999,0.0,0.0,0.8099999999999999,0.01,0.09,0.9041637147774189,0.09508752361784478
0.05,Pessac_01,2021-01-12 21:06:00,21,1,0.25000000000000006,0.0,0.0,0.8099999999999999,0.8099999999999999,0.01,0.9454708290811871,0.09723532429529852
0.14,Pessac_01,2021-01-12 23:06:00,23,1,1.9600000000000002,0.0,0.0,0.25000000000000006,0.8099999999999999,0.8099999999999999,0.7958814627005648,0.08921218878048923
0.03,Pessac_01,2021-02-07 01:06:00,1,6,0.09,0.0,0.0,1.9600000000000002,0.25000000000000006,0.8099999999999999,0.45372270250107016,0.06735894168564929
0.01,Pessac_01,2021-02-07 03:06:00,3,6,0.01,0.0,0.0,0.09,1.9600000000000002,0.25000000000000006,0.3178403325294732,0.056377329887949926
0.01,Pessac_01,2021-02-07 05:06:00,5,6,0.01,0.0,0.0,0.01,0.09,1.9600000000000002,0.3278244303132412,0.05725595430287065
0.02,Pessac_01,2021-02-07 07:06:00,7,6,0.04,0.0,0.0,0.01,0.01,0.09,0.24257196623723906,0.04925159553123524
0.04,Pessac_01,2021-02-07 09:06:00,9,6,0.16,0.0,0.0,0.04,0.01,0.01,0.32346938527273544,0.05687436903146578
0.09,Pessac_01,2021-02-07 13:06:00,13,6,0.8099999999999999,0.0,0.0,0.16,0.04,0.01,0.5379762770362142,0.07334686612502365
0.06,Pessac_01,2021-02-07 15:06:00,15,6,0.36,0.0,0.0,0.8099999999999999,0.16,0.04,0.37049576441714466,0.060868363245379344
0.05,Pessac_01,2021-02-07 17:06:00,17,6,0.25000000000000006,0.0,0.0,0.36,0.8099999999999999,0.16,0.4508714421308177,0.06714696137062479
0.08,Pessac_01,2021-02-07 19:06:00,19,6,0.64,0.0,0.0,0.25000000000000006,0.36,0.8099999999999999,0.8943747674406153,0.09457138930144864
0.01,Pessac_01,2021-02-07 21:06:00,21,6,0.01,0.0,0.0,0.64,0.25000000000000006,0.36,0.7566300780625899,0.08698448586170926
0.07,Pessac_01,2021-02-07 23:06:00,23,6,0.49000000000000005,0.0,0.0,0.01,0.64,0.25000000000000006,0.5806516331258662,0.07620050085963125
0.02,Pessac_01,2021-02-08 01:06:00,1,0,0.04,0.0,0.0,0.49000000000000005,0.01,0.64,0.8393810332809987,0.0916177402734317
0.09,Pessac_01,2021-02-08 03:06:00,3,0,0.8099999999999999,0.0,0.0,0.04,0.49000000000000005,0.01,0.3836577348710739,0.06194011098400405
0.01,Pessac_01,2021-02-08 05:06:00,5,0,0.01,0.0,0.0,0.8099999999999999,0.04,0.49000000000000005,0.4704021072392222,0.06858586641861589
0.01,Pessac_01,2021-02-08 07:06:00,7,0,0.01,0.0,0.0,0.01,0.8099999999999999,0.04,0.2275207297559644,0.04769913309023178
0.02,Pessac_01,2021-02-08 09:06:00,9,0,0.04,0.0,0.0,0.01,0.01,0.8099999999999999,0.2704255239229766,0.052002454165450365
0.04,Pessac_01,2021-02-08 11:06:00,11,0,0.16,0.0,0.0,0.04,0.01,0.01,0.3010287640366882,0.05486608825464854
0.05,Pessac_01,2021-02-08 13:06:00,13,0,0.25000000000000006,0.0,0.0,0.16,0.04,0.01,0.4155335986620048,0.06446189561764414
0.02,Pessac_01,2021-02-08 15:06:00,15,0,0.04,0.0,0.0,0.25000000000000006,0.16,0.04,0.42554840390151233,0.06523407115162386
0.03,Pessac_01,2021-02-08 19:06:00,19,0,0.09,0.0,0.0,0.04,0.25000000000000006,0.16,0.5366975527574573,0.07325964460447904
0.01,Pessac_01,2021-02-08 21:06:00,21,0,0.01,0.0,0.0,0.09,0.04,0.25000000000000006,0.315944151164127,0.056208909539691924
0.05,Pessac_01,2021-02-08 23:06:00,23,0,0.25000000000000006,0.0,0.0,0.01,0.09,0.04,0.23662697009071265,0.0486443182798066
0.04,Pessac_01,2021-02-09 01:06:00,1,1,0.16,0.0,0.0,0.25000000000000006,0.01,0.09,0.32188512110660206,0.05673492056102679
0.04,Pessac_01,2021-02-09 03:06:00,3,1,0.16,0.0,0.0,0.16,0.25000000000000006,0.01,0.30758491107298214,0.05546033817720391
0.08,Pessac_01,2021-02-09 05:06:00,5,1,0.64,0.0,0.0,0.16,0.16,0.25000000000000006,0.308661381547025,0.0555573020895566
0.06,Pessac_01,2021-02-09 07:06:00,7,1,0.36,0.0,0.0,0.64,0.16,0.16,0.3316287513823026,0.05758721658339658
0.01,Pessac_01,2021-02-09 09:06:00,9,1,0.01,0.0,0.0,0.36,0.64,0.16,0.4139591546426737,0.06433965764928141
0.1,Pessac_01,2021-02-09 11:06:00,11,1,1.0000000000000002,0.0,0.0,0.01,0.36,0.64,0.3143396525365558,0.056066001510412335
0.16,Pessac_01,2021-02-09 13:06:00,13,1,2.56,0.0,0.0,1.0000000000000002,0.01,0.36,0.6415620816928339,0.08009757060565782
0.06,Pessac_01,2021-02-09 15:06:00,15,1,0.36,0.0,0.0,2.56,1.0000000000000002,0.01,0.49391149843059823,0.07027883738584456
0.02,Pessac_01,2021-02-09 17:06:00,17,1,0.04,0.0,0.0,0.36,2.56,1.0000000000000002,0.6196990486215563,0.07872096598883657
0.04,Pessac_01,2021-02-09 19:06:00,19,1,0.16,0.0,0.0,0.04,0.36,2.56,0.847979051400373,0.0920857780224706
0.01,Pessac_01,2021-02-09 21:06:00,21,1,0.01,0.0,0.0,0.16,0.04,0.36,0.3446258471904738,0.05870484198006786
0.03,Pessac_01,2021-02-09 23:06:00,23,1,0.09,0.0,0.0,0.01,0.16,0.04,0.22780298651678613,0.04772871111991043
0.08,Pessac_01,2021-02-10 01:06:00,1,2,0.64,0.0,0.0,0.09,0.01,0.16,0.34194802107975986,0.058476321796070575
0.01,Pessac_01,2021-02-10 03:06:00,3,2,0.01,0.0,0.0,0.64,0.09,0.01,0.29826112365927593,0.05461328809541465
0.03,Pessac_01,2021-02-10 05:06:00,5,2,0.09,0.0,0.0,0.01,0.64,0.09,0.24973257249537706,0.04997325009396297
0.01,Pessac_01,2021-02-10 07:06:00,7,2,0.01,0.0,0.0,0.09,0.01,0.64,0.29015710186691296,0.053866232638538306
0.04,Pessac_01,2021-02-10 09:06:00,9,2,0.16,0.0,0.0,0.01,0.09,0.01,0.2710134575709152,0.05205895288717544
0.01,Pessac_01,2021-02-10 11:06:00,11,2,0.01,0.0,0.0,0.16,0.01,0.09,0.2767985332383233,0.05261164635689738
0.13,Pessac_01,2021-02-10 13:06:00,13,2,1.6900000000000002,0.0,0.0,0.01,0.16,0.01,0.3447195240933915,0.05871282007308042
0.01,Pessac_01,2021-02-10 15:06:00,15,2,0.01,0.0,0.0,1.6900000000000002,0.01,0.16,0.4326409422272242,0.06577544695608113
0.03,Pessac_01,2021-02-10 17:06:00,17,2,0.09,0.0,0.0,0.01,1.6900000000000002,0.01,0.3538062442762874,0.05948161432546089
0.03,Pessac_01,2021-02-10 21:06:00,21,2,0.09,0.0,0.0,0.09,0.01,1.6900000000000002,0.3980101891864918,0.06308804872450025
0.07,Pessac_01,2021-02-10 23:06:00,23,2,0.49000000000000005,0.0,0.0,0.09,0.09,0.01,0.28146545016498137,0.053053317536699
0.06,Pessac_01,2021-02-11 01:06:00,1,3,0.36,0.0,0.0,0.49000000000000005,0.09,0.09,0.3206612546807864,0.05662695954055686
0.05,Pessac_01,2021-02-11 03:06:00,3,3,0.25000000000000006,0.0,0.0,0.36,0.49000000000000005,0.09,0.3620636990218225,0.06017172916094588
0.07,Pessac_01,2021-02-11 05:06:00,5,3,0.49000000000000005,0.0,0.0,0.25000000000000006,0.36,0.49000000000000005,0.31733207974058814,0.05633223586372088
0.01,Pessac_01,2021-02-11 07:06:00,7,3,0.01,0.0,0.0,0.49000000000000005,0.25000000000000006,0.36,0.3093044614118585,0.05561514734421357
0.08,Pessac_01,2021-02-11 09:06:00,9,3,0.64,0.0,0.0,0.01,0.49000000000000005,0.25000000000000006,0.3088273246237903,0.05557223449023715
0.02,Pessac_01,2021-02-11 11:06:00,11,3,0.04,0.0,0.0,0.64,0.01,0.49000000000000005,0.32461027171726764,0.05697457956995099
0.04,Pessac_01,2021-02-11 13:06:00,13,3,0.16,0.0,0.0,0.04,0.64,0.01,0.35819173055595016,0.059849121176166836
0.04,Pessac_01,2021-02-11 15:06:00,15,3,0.16,0.0,0.0,0.16,0.04,0.64,0.5439576152939154,0.07375348231059435
0.12,Pessac_01,2021-02-11 17:06:00,17,3,1.44,0.0,0.0,0.16,0.16,0.04,0.42847549351532893,0.06545803949976878
0.11,Pessac_01,2021-02-11 19:06:00,19,3,1.21,0.0,0.0,1.44,0.16,0.16,0.7763316970056425,0.0881096871521879
0.19,Pessac_01,2021-02-11 21:06:00,21,3,3.61,0.0,0.0,1.21,1.44,0.16,1.3052636213010302,0.1142481343961918
0.08,Pessac_01,2021-02-11 23:06:00,23,3,0.64,0.0,0.0,3.61,1.21,1.44,2.4355146756998476,0.1560613557450994
0.03,Pessac_01,2021-02-12 01:06:00,1,4,0.09,0.0,0.0,0.64,3.61,1.21,0.4448933484082466,0.06670032596683817
0.02,Pessac_01,2021-02-12 03:06:00,3,4,0.04,0.0,0.0,0.09,0.64,3.61,0.2829352382310058,0.05319165707430121
0.11,Pessac_01,2021-02-12 05:06:00,5,4,1.21,0.0,0.0,0.04,0.09,0.64,0.3273912114721344,0.057218110024024244
0.06,Pessac_01,2021-02-12 07:06:00,7,4,0.36,0.0,0.0,1.21,0.04,0.09,0.3392251129977679,0.05824303503405089
0.01,Pessac_01,2021-02-12 09:06:00,9,4,0.01,0.0,0.0,0.36,1.21,0.04,0.3293190424369228,0.057386326109703414
0.05,Pessac_01,2021-02-12 11:06:00,11,4,0.25000000000000006,0.0,0.0,0.01,0.36,1.21,0.2988880093503793,0.054670651116515825
0.09,Pessac_01,2021-02-12 13:06:00,13,4,0.8099999999999999,0.0,0.0,0.25000000000000006,0.01,0.36,0.5024704031854794,0.07088514676471225
0.07,Pessac_01,2021-02-12 15:06:00,15,4,0.49000000000000005,0.0,0.0,0.8099999999999999,0.25000000000000006,0.01,0.358141068410689,0.05984488853784331
0.09,Pessac_01,2021-02-12 17:06:00,17,4,0.8099999999999999,0.0,0.0,0.49000000000000005,0.8099999999999999,0.25000000000000006,0.40363076241242885,0.0635319417625834
0.35,Pessac_01,2021-02-12 19:06:00,19,4,12.249999999999998,0.0,0.0,0.8099999999999999,0.49000000000000005,0.8099999999999999,4.315893475757353,0.20774728580073804
0.11,Pessac_01,2021-02-12 21:06:00,21,4,1.21,0.0,0.0,12.249999999999998,0.8099999999999999,0.49000000000000005,3.616511743695654,0.1901712844699655
0.1,Pessac_01,2021-02-12 23:06:00,23,4,1.0000000000000002,0.0,0.0,1.21,12.249999999999998,0.8099999999999999,1.6085142587750283,0.1268272154852825
0.03,Pessac_01,2021-03-07 01:06:00,1,6,0.09,0.0,0.0,1.0000000000000002,1.21,12.249999999999998,0.9647567556932672,0.09822203193241663
