E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
2.32,Rennes_08,2022-01-05 07:05:00,7,2,538.2399999999999,0.0,1.734723475976807e-18,,,,553.1240648649907,2.351858977202908
2.53,Rennes_08,2022-01-05 09:05:00,9,2,640.0899999999999,0.0,0.0,538.2399999999999,,,699.7651933516504,2.645307530990774
3.23,Rennes_08,2022-01-05 11:05:00,11,2,1043.29,0.0,0.0,640.0899999999999,538.2399999999999,,861.5654509873773,2.9352435179851386
2.83,Rennes_08,2022-01-05 13:05:00,13,2,800.89,0.0,0.0,1043.29,640.0899999999999,538.2399999999999,830.8414788572998,2.8824320960905565
2.87,Rennes_08,2022-01-05 15:05:00,15,2,823.69,0.0,0.0,800.89,1043.29,640.0899999999999,840.0372498911664,2.8983396106929336
2.77,Rennes_08,2022-01-05 17:05:00,17,2,767.29,0.0,0.0,823.69,800.89,1043.29,906.0380380915257,3.010046574542536
3.47,Rennes_08,2022-01-05 19:05:00,19,2,1204.0900000000001,0.0,-1.734723475976807e-18,767.29,823.69,800.89,940.474284008441,3.0667153177437925
3.72,Rennes_08,2022-01-05 21:05:00,21,2,1383.8400000000001,0.0,0.0,1204.0900000000001,767.29,823.69,1137.9088563978582,3.3732904654029694
3.23,Rennes_08,2022-01-05 23:05:00,23,2,1043.29,0.0,0.0,1383.8400000000001,1204.0900000000001,767.29,1012.7122381468039,3.182313997937356
2.45,Rennes_08,2022-01-06 01:04:00,1,3,600.2500000000001,0.0,0.0,1043.29,1383.8400000000001,1204.0900000000001,621.505173563949,2.4930005486640976
2.18,Rennes_08,2022-01-06 03:04:00,3,3,475.24000000000007,0.0,0.0,600.2500000000001,1043.29,1383.8400000000001,457.8463059202246,2.1397343431375413
2.09,Rennes_08,2022-01-06 05:04:00,5,3,436.8099999999999,0.0,0.0,475.24000000000007,600.2500000000001,1043.29,417.7100341846935,2.043795572420817
2.3,Rennes_08,2022-01-06 07:04:00,7,3,528.9999999999999,0.0,0.0,436.8099999999999,475.24000000000007,600.2500000000001,555.4156773019665,2.356725858690328
2.76,Rennes_08,2022-01-06 09:04:00,9,3,761.7599999999999,0.0,0.0,528.9999999999999,436.8099999999999,475.24000000000007,702.1141311000316,2.6497436311840277
2.94,Rennes_08,2022-01-06 11:04:00,11,3,864.3599999999999,0.0,0.0,761.7599999999999,528.9999999999999,436.8099999999999,843.4237093539589,2.9041758027949323
3.15,Rennes_08,2022-01-06 13:04:00,13,3,992.2499999999999,0.0,0.0,864.3599999999999,761.7599999999999,528.9999999999999,949.2725386425376,3.0810266773310118
2.9,Rennes_08,2022-01-06 15:04:00,15,3,841.0,0.0,0.0,992.2499999999999,864.3599999999999,761.7599999999999,898.1486377393402,2.996912807772926
2.9,Rennes_08,2022-01-06 17:04:00,17,3,841.0,0.0,0.0,841.0,992.2499999999999,864.3599999999999,932.6538895897808,3.053938260000979
2.82,Rennes_08,2022-01-06 19:04:00,19,3,795.2399999999999,0.0,0.0,841.0,841.0,992.2499999999999,920.8141036149533,3.0344918909348784
3.1,Rennes_08,2022-01-06 21:04:00,21,3,961.0000000000001,0.0,0.0,795.2399999999999,841.0,841.0,922.5463860355719,3.0373448701712684
3.43,Rennes_08,2022-01-06 23:04:00,23,3,1176.49,0.0,0.0,961.0000000000001,795.2399999999999,841.0,1005.9391057460416,3.1716543092620317
2.55,Rennes_08,2022-01-07 01:02:00,1,4,650.2499999999999,0.0,0.0,1176.49,961.0000000000001,795.2399999999999,640.4488182401751,2.530709027605061
2.14,Rennes_08,2022-01-07 03:02:00,3,4,457.96,0.0,0.0,650.2499999999999,1176.49,961.0000000000001,445.1930897939913,2.109959928041268
1.92,Rennes_08,2022-01-07 05:02:00,5,4,368.64,0.0,0.0,457.96,650.2499999999999,1176.49,411.36691446626435,2.028218219192068
2.45,Rennes_08,2022-01-07 07:02:00,7,4,600.2500000000001,0.0,0.0,368.64,457.96,650.2499999999999,547.263030570514,2.339365363876524
2.91,Rennes_08,2022-01-07 09:02:00,9,4,846.8100000000002,0.0,0.0,600.2500000000001,368.64,457.96,783.3437531470923,2.7988278852889334
2.76,Rennes_08,2022-01-07 11:02:00,11,4,761.7599999999999,0.0,0.0,846.8100000000002,600.2500000000001,368.64,822.6419755263971,2.868173592247159
3.04,Rennes_08,2022-01-07 13:02:00,13,4,924.16,0.0,0.0,761.7599999999999,846.8100000000002,600.2500000000001,960.7391647732231,3.0995792694706537
2.81,Rennes_08,2022-01-07 15:02:00,15,4,789.61,0.0,0.0,924.16,761.7599999999999,846.8100000000002,916.4722564161991,3.0273292791108783
3.25,Rennes_08,2022-01-07 17:02:00,17,4,1056.25,0.0,0.0,789.61,924.16,761.7599999999999,911.9628967989505,3.019872342995562
2.9,Rennes_08,2022-01-07 19:02:00,19,4,841.0,0.0,0.0,1056.25,789.61,924.16,931.9253776535013,3.0527452852367185
2.78,Rennes_08,2022-01-07 21:02:00,21,4,772.8399999999999,0.0,0.0,841.0,1056.25,789.61,917.4926715345131,3.02901414908302
3.3,Rennes_08,2022-01-07 23:02:00,23,4,1088.9999999999998,0.0,0.0,772.8399999999999,841.0,1056.25,950.818522309548,3.083534534117541
2.3,Rennes_08,2022-01-08 01:04:00,1,5,528.9999999999999,0.0,0.0,1088.9999999999998,772.8399999999999,841.0,619.7944013280307,2.489567033297217
2.02,Rennes_08,2022-01-08 03:04:00,3,5,408.04,0.0,0.0,528.9999999999999,1088.9999999999998,772.8399999999999,440.73768980971215,2.0993753590287567
1.87,Rennes_08,2022-01-08 05:04:00,5,5,349.69000000000005,0.0,0.0,408.04,528.9999999999999,1088.9999999999998,400.8311938583184,2.002076906260892
2.32,Rennes_08,2022-01-08 07:04:00,7,5,538.2399999999999,0.0,1.734723475976807e-18,349.69000000000005,408.04,528.9999999999999,516.6301642823271,2.272949986872406
2.56,Rennes_08,2022-01-08 09:04:00,9,5,655.36,0.0,0.0,538.2399999999999,349.69000000000005,408.04,668.2808373556352,2.5851128357494093
2.56,Rennes_08,2022-01-08 11:04:00,11,5,655.36,0.0,0.0,655.36,538.2399999999999,349.69000000000005,862.7926379603159,2.937333208814274
3.74,Rennes_08,2022-01-08 13:04:00,13,5,1398.7600000000002,0.0,0.0,655.36,655.36,538.2399999999999,1119.7469280062824,3.3462619861664784
2.66,Rennes_08,2022-01-08 15:04:00,15,5,707.5600000000001,0.0,0.0,1398.7600000000002,655.36,655.36,830.1621703607556,2.8812534952009266
3.04,Rennes_08,2022-01-08 17:04:00,17,5,924.16,0.0,0.0,707.5600000000001,1398.7600000000002,655.36,865.8520248050551,2.942536363080421
2.92,Rennes_08,2022-01-08 19:04:00,19,5,852.6399999999999,0.0,0.0,924.16,707.5600000000001,1398.7600000000002,930.7653600505317,3.0508447355618276
2.81,Rennes_08,2022-01-08 21:04:00,21,5,789.61,0.0,0.0,852.6399999999999,924.16,707.5600000000001,895.6566687242608,2.992752359825752
2.87,Rennes_08,2022-01-08 23:04:00,23,5,823.69,0.0,0.0,789.61,852.6399999999999,924.16,925.1595998312832,3.04164363433865
2.37,Rennes_08,2022-01-09 01:03:00,1,6,561.69,0.0,0.0,823.69,789.61,852.6399999999999,611.7344498655779,2.473326605738874
2.34,Rennes_08,2022-01-09 03:03:00,3,6,547.56,0.0,0.0,561.69,823.69,789.61,472.3797716025472,2.173429942746136
2.21,Rennes_08,2022-01-09 05:03:00,5,6,488.41,0.0,0.0,547.56,561.69,823.69,480.33058487369317,2.191644553465943
2.34,Rennes_08,2022-01-09 07:03:00,7,6,547.56,0.0,0.0,488.41,547.56,561.69,539.0143054314289,2.3216681619719663
2.96,Rennes_08,2022-01-09 09:03:00,9,6,876.16,0.0,0.0,547.56,488.41,547.56,802.6135239313564,2.8330434587760145
2.91,Rennes_08,2022-01-09 11:03:00,11,6,846.8100000000002,0.0,0.0,876.16,547.56,488.41,827.6247387369243,2.876846778570114
3.13,Rennes_08,2022-01-09 13:03:00,13,6,979.6899999999999,0.0,0.0,846.8100000000002,876.16,547.56,957.9668122574698,3.095103895279559
2.89,Rennes_08,2022-01-09 15:03:00,15,6,835.21,0.0,0.0,979.6899999999999,846.8100000000002,876.16,925.5033044779743,3.042208580091073
2.83,Rennes_08,2022-01-09 17:03:00,17,6,800.89,0.0,0.0,835.21,979.6899999999999,846.8100000000002,933.1478489689597,3.0547468781700386
3.28,Rennes_08,2022-01-09 19:03:00,19,6,1075.8399999999997,0.0,1.734723475976807e-18,800.89,835.21,979.6899999999999,926.87112128237,3.044455815547945
3.03,Rennes_08,2022-01-09 21:03:00,21,6,918.0899999999999,0.0,0.0,1075.8399999999997,800.89,835.21,1036.6585342677847,3.2197182085825227
3.1,Rennes_08,2022-01-09 23:03:00,23,6,961.0000000000001,0.0,0.0,918.0899999999999,1075.8399999999997,800.89,986.5149535750935,3.1408835597250238
2.28,Rennes_08,2022-01-10 01:01:00,1,0,519.8399999999999,0.0,0.0,961.0000000000001,918.0899999999999,1075.8399999999997,639.7447190215012,2.529317534477435
2.1,Rennes_08,2022-01-10 03:01:00,3,0,441.0,0.0,0.0,519.8399999999999,961.0000000000001,918.0899999999999,441.05051241419284,2.1001202642091545
2.02,Rennes_08,2022-01-10 05:01:00,5,0,408.04,0.0,0.0,441.0,519.8399999999999,961.0000000000001,417.4208955330637,2.0430880928953203
2.25,Rennes_08,2022-01-10 07:01:00,7,0,506.25,0.0,0.0,408.04,441.0,519.8399999999999,538.6030337959546,2.3207822685378194
2.57,Rennes_08,2022-01-10 09:01:00,9,0,660.4899999999999,0.0,0.0,506.25,408.04,441.0,690.3975829495718,2.627541784538491
2.8,Rennes_08,2022-01-10 11:01:00,11,0,783.9999999999999,0.0,0.0,660.4899999999999,506.25,408.04,810.604788843824,2.8471122015892245
2.79,Rennes_08,2022-01-10 13:01:00,13,0,778.4100000000001,0.0,0.0,783.9999999999999,660.4899999999999,506.25,857.876794265195,2.9289533869032383
2.76,Rennes_08,2022-01-10 15:01:00,15,0,761.7599999999999,0.0,0.0,778.4100000000001,783.9999999999999,660.4899999999999,803.9859400829024,2.8354645828909635
2.75,Rennes_08,2022-01-10 17:01:00,17,0,756.25,0.0,0.0,761.7599999999999,778.4100000000001,783.9999999999999,844.8963184287065,2.9067100275547033
3.24,Rennes_08,2022-01-10 19:01:00,19,0,1049.7600000000002,0.0,0.0,756.25,761.7599999999999,778.4100000000001,846.9544135246236,2.91024812262567
2.92,Rennes_08,2022-01-10 21:01:00,21,0,852.6399999999999,0.0,0.0,1049.7600000000002,756.25,761.7599999999999,913.1425279372426,3.0218248260566702
3.13,Rennes_08,2022-01-10 23:01:00,23,0,979.6899999999999,0.0,0.0,852.6399999999999,1049.7600000000002,756.25,979.275546264144,3.129337863293358
2.39,Rennes_08,2022-02-05 01:05:00,1,5,571.21,0.0,0.0,979.6899999999999,852.6399999999999,1049.7600000000002,629.2655952220929,2.508516683664059
2.04,Rennes_08,2022-02-05 03:05:00,3,5,416.15999999999997,0.0,0.0,571.21,979.6899999999999,852.6399999999999,463.47410869677935,2.1528448822355486
2.09,Rennes_08,2022-02-05 05:05:00,5,5,436.8099999999999,0.0,0.0,416.15999999999997,571.21,979.6899999999999,409.2561527955637,2.0230080395182903
2.48,Rennes_08,2022-02-05 07:05:00,7,5,615.04,0.0,1.734723475976807e-18,436.8099999999999,416.15999999999997,571.21,552.7316607675787,2.3510245867867456
3.06,Rennes_08,2022-02-05 09:05:00,9,5,936.36,0.0,0.0,615.04,436.8099999999999,416.15999999999997,828.9170305854095,2.879091923828431
2.98,Rennes_08,2022-02-05 11:05:00,11,5,888.04,0.0,0.0,936.36,615.04,436.8099999999999,813.8858892638868,2.852868537566859
3.14,Rennes_08,2022-02-05 13:05:00,13,5,985.96,0.0,0.0,888.04,936.36,615.04,948.8529386292314,3.0803456601966466
3.01,Rennes_08,2022-02-05 15:05:00,15,5,906.0099999999999,0.0,0.0,985.96,888.04,936.36,944.4124877957613,3.0731294925462564
3.2,Rennes_08,2022-02-05 17:05:00,17,5,1024.0000000000002,0.0,0.0,906.0099999999999,985.96,888.04,970.4321123790318,3.115175937854926
2.95,Rennes_08,2022-02-05 19:05:00,19,5,870.25,0.0,0.0,1024.0000000000002,906.0099999999999,985.96,982.6001710186654,3.134645388267492
3.18,Rennes_08,2022-02-05 21:05:00,21,5,1011.2400000000001,0.0,0.0,870.25,1024.0000000000002,906.0099999999999,961.315772615329,3.1005092688384743
3.36,Rennes_08,2022-02-05 23:05:00,23,5,1128.9599999999998,0.0,0.0,1011.2400000000001,870.25,1024.0000000000002,1049.26000371239,3.2392283088914713
2.44,Rennes_08,2022-02-06 01:04:00,1,6,595.36,0.0,0.0,1128.9599999999998,1011.2400000000001,870.25,632.3676956520271,2.514692219043967
1.97,Rennes_08,2022-02-06 03:04:00,3,6,388.09,0.0,0.0,595.36,1128.9599999999998,1011.2400000000001,444.99927848376313,2.109500600814712
1.99,Rennes_08,2022-02-06 05:04:00,5,6,396.01,0.0,0.0,388.09,595.36,1128.9599999999998,404.34925294787377,2.0108437357186006
2.39,Rennes_08,2022-02-06 07:04:00,7,6,571.21,0.0,0.0,396.01,388.09,595.36,533.5567138565334,2.309884659147581
2.92,Rennes_08,2022-02-06 09:04:00,9,6,852.6399999999999,0.0,0.0,571.21,396.01,388.09,803.6075434872233,2.83479724757737
2.9,Rennes_08,2022-02-06 11:04:00,11,6,841.0,0.0,0.0,852.6399999999999,571.21,396.01,829.4000662961536,2.879930669818552
2.86,Rennes_08,2022-02-06 13:04:00,13,6,817.9599999999999,0.0,0.0,841.0,852.6399999999999,571.21,936.7770922240992,3.0606814473644577
3.12,Rennes_08,2022-02-06 15:04:00,15,6,973.44,0.0,0.0,817.9599999999999,841.0,852.6399999999999,946.6134709154517,3.076708421211623
3.05,Rennes_08,2022-02-06 17:04:00,17,6,930.2499999999998,0.0,0.0,973.44,817.9599999999999,841.0,947.7234512267227,3.0785117365810426
3.21,Rennes_08,2022-02-06 19:04:00,19,6,1030.41,0.0,-1.734723475976807e-18,930.2499999999998,973.44,817.9599999999999,976.7367255321753,3.125278748419371
3.17,Rennes_08,2022-02-06 21:04:00,21,6,1004.89,0.0,0.0,1030.41,930.2499999999998,973.44,1047.2886849514007,3.236183995003066
3.07,Rennes_08,2022-02-06 23:04:00,23,6,942.4899999999999,0.0,0.0,1004.89,1030.41,930.2499999999998,1024.2793981916866,3.200436529899768
2.65,Rennes_08,2022-02-07 01:02:00,1,0,702.25,0.0,0.0,942.4899999999999,1004.89,1030.41,693.9559733264084,2.634304411654827
2.08,Rennes_08,2022-02-07 03:02:00,3,0,432.64000000000004,0.0,0.0,702.25,942.4899999999999,1004.89,449.5708594455233,2.120308608305695
1.92,Rennes_08,2022-02-07 05:02:00,5,0,368.64,0.0,0.0,432.64000000000004,702.25,942.4899999999999,406.20873794419634,2.015462075912609
2.21,Rennes_08,2022-02-07 07:02:00,7,0,488.41,0.0,0.0,368.64,432.64000000000004,702.25,541.3108141511879,2.3266087211888205
2.48,Rennes_08,2022-02-07 09:02:00,9,0,615.04,0.0,1.734723475976807e-18,488.41,368.64,432.64000000000004,617.2751423349672,2.4845022486103074
2.68,Rennes_08,2022-02-07 11:02:00,11,0,718.2400000000001,0.0,0.0,615.04,488.41,368.64,772.4755200145628,2.7793443831496716
