E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.65,Saint-Aubin-de-Médoc_01,2021-01-04 07:06:00,7,0,42.25,0.0,0.0,,,,37.42230242939076,0.6117377087395444
0.72,Saint-Aubin-de-Médoc_01,2021-01-04 09:06:00,9,0,51.839999999999996,0.0,0.0,42.25,,,48.12739833773377,0.6937391320787215
0.66,Saint-Aubin-de-Médoc_01,2021-01-04 11:06:00,11,0,43.56,0.0,0.0,51.839999999999996,42.25,,55.68521020133144,0.746225235443907
0.75,Saint-Aubin-de-Médoc_01,2021-01-04 13:06:00,13,0,56.25,0.0,0.0,43.56,51.839999999999996,42.25,58.018232781560975,0.7616970052557708
0.69,Saint-Aubin-de-Médoc_01,2021-01-04 15:06:00,15,0,47.60999999999999,0.0,0.0,56.25,43.56,51.839999999999996,58.44026516937626,0.7644623284987708
0.74,Saint-Aubin-de-Médoc_01,2021-01-04 17:06:00,17,0,54.76,0.0,0.0,47.60999999999999,56.25,43.56,56.462036388880676,0.7514122462994642
0.79,Saint-Aubin-de-Médoc_01,2021-01-04 19:06:00,19,0,62.41000000000001,0.0,0.0,54.76,47.60999999999999,56.25,60.13297462413226,0.7754545416988172
0.75,Saint-Aubin-de-Médoc_01,2021-01-04 21:06:00,21,0,56.25,0.0,0.0,62.41000000000001,54.76,47.60999999999999,64.58411071262043,0.8036424000301405
0.82,Saint-Aubin-de-Médoc_01,2021-01-04 23:06:00,23,0,67.23999999999998,0.0,1.734723475976807e-18,56.25,62.41000000000001,54.76,68.59930360011603,0.8282469655852417
0.85,Saint-Aubin-de-Médoc_01,2021-01-05 01:06:00,1,1,72.24999999999999,0.0,0.0,67.23999999999998,56.25,62.41000000000001,52.94353379628749,0.7276230741000967
0.68,Saint-Aubin-de-Médoc_01,2021-01-05 03:06:00,3,1,46.24000000000001,0.0,0.0,72.24999999999999,67.23999999999998,56.25,42.37542602795322,0.650964100607347
0.48,Saint-Aubin-de-Médoc_01,2021-01-05 05:06:00,5,1,23.04,0.0,0.0,46.24000000000001,72.24999999999999,67.23999999999998,33.344545074397104,0.577447357552159
0.59,Saint-Aubin-de-Médoc_01,2021-01-05 07:06:00,7,1,34.809999999999995,0.0,0.0,23.04,46.24000000000001,72.24999999999999,37.53133901963748,0.6126282642813461
0.66,Saint-Aubin-de-Médoc_01,2021-01-05 09:06:00,9,1,43.56,0.0,0.0,34.809999999999995,23.04,46.24000000000001,51.651365027878086,0.7186888410701677
0.72,Saint-Aubin-de-Médoc_01,2021-01-05 11:06:00,11,1,51.839999999999996,0.0,0.0,43.56,34.809999999999995,23.04,45.010674999739706,0.6708999552820055
0.64,Saint-Aubin-de-Médoc_01,2021-01-05 13:06:00,13,1,40.96,0.0,0.0,51.839999999999996,43.56,34.809999999999995,56.07473583660493,0.748830660674394
0.66,Saint-Aubin-de-Médoc_01,2021-01-05 15:06:00,15,1,43.56,0.0,0.0,40.96,51.839999999999996,43.56,54.918164668660495,0.7410679096321774
0.79,Saint-Aubin-de-Médoc_01,2021-01-05 17:06:00,17,1,62.41000000000001,0.0,0.0,43.56,40.96,51.839999999999996,55.211077073557064,0.7430415672999531
