E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
1.15,Saint-Louis-de-Montferrand_01,2021-01-04 07:06:00,7,0,132.24999999999997,0.0,0.0,,,,123.04934308301522,1.10927608413332
1.21,Saint-Louis-de-Montferrand_01,2021-01-04 09:06:00,9,0,146.41,0.0,0.0,132.24999999999997,,,153.67571530341644,1.239660095765837
1.25,Saint-Louis-de-Montferrand_01,2021-01-04 11:06:00,11,0,156.25,0.0,0.0,146.41,132.24999999999997,,169.2538551147628,1.3009759994510384
1.31,Saint-Louis-de-Montferrand_01,2021-01-04 13:06:00,13,0,171.61,0.0,0.0,156.25,146.41,132.24999999999997,187.47161157624998,1.3692027299718985
1.33,Saint-Louis-de-Montferrand_01,2021-01-04 15:06:00,15,0,176.89000000000001,0.0,0.0,171.61,156.25,146.41,175.81441694180256,1.3259502891956492
1.56,Saint-Louis-de-Montferrand_01,2021-01-04 17:06:00,17,0,243.36,0.0,0.0,176.89000000000001,171.61,156.25,203.39915640872846,1.4261807613648716
1.61,Saint-Louis-de-Montferrand_01,2021-01-04 19:06:00,19,0,259.21000000000004,0.0,0.0,243.36,176.89000000000001,171.61,236.91683881389872,1.5392103131602866
1.62,Saint-Louis-de-Montferrand_01,2021-01-04 21:06:00,21,0,262.44000000000005,0.0,0.0,259.21000000000004,243.36,176.89000000000001,265.64384427614885,1.6298584118755495
1.58,Saint-Louis-de-Montferrand_01,2021-01-04 23:06:00,23,0,249.64000000000004,0.0,0.0,262.44000000000005,259.21000000000004,243.36,267.48380369358824,1.6354932090766634
1.21,Saint-Louis-de-Montferrand_01,2021-01-05 01:06:00,1,1,146.41,0.0,0.0,249.64000000000004,262.44000000000005,259.21000000000004,137.96508004666617,1.174585373851838
0.96,Saint-Louis-de-Montferrand_01,2021-01-05 03:06:00,3,1,92.16,0.0,0.0,146.41,249.64000000000004,262.44000000000005,106.58820922901337,1.0324156586811988
0.93,Saint-Louis-de-Montferrand_01,2021-01-05 05:06:00,5,1,86.49000000000001,0.0,0.0,92.16,146.41,249.64000000000004,84.90133789586994,0.9214192199855066
0.95,Saint-Louis-de-Montferrand_01,2021-01-05 07:06:00,7,1,90.25,0.0,0.0,86.49000000000001,92.16,146.41,115.65754135590285,1.0754419619668132
1.15,Saint-Louis-de-Montferrand_01,2021-01-05 09:06:00,9,1,132.24999999999997,0.0,0.0,90.25,86.49000000000001,92.16,117.12074838501104,1.0822233983102152
1.28,Saint-Louis-de-Montferrand_01,2021-01-05 11:06:00,11,1,163.84,0.0,0.0,132.24999999999997,90.25,86.49000000000001,154.47939817998318,1.2428974140289422
1.43,Saint-Louis-de-Montferrand_01,2021-01-05 13:06:00,13,1,204.48999999999998,0.0,0.0,163.84,132.24999999999997,90.25,185.45679120816024,1.3618252134843158
1.44,Saint-Louis-de-Montferrand_01,2021-01-05 15:06:00,15,1,207.35999999999999,0.0,0.0,204.48999999999998,163.84,132.24999999999997,194.63104957900217,1.3951023244873553
1.52,Saint-Louis-de-Montferrand_01,2021-01-05 17:06:00,17,1,231.04,0.0,0.0,207.35999999999999,204.48999999999998,163.84,218.51208863928537,1.478215439776237
1.4,Saint-Louis-de-Montferrand_01,2021-01-05 19:06:00,19,1,195.99999999999997,0.0,0.0,231.04,207.35999999999999,204.48999999999998,235.27333571052623,1.5338622353735887
1.46,Saint-Louis-de-Montferrand_01,2021-01-05 21:06:00,21,1,213.15999999999997,0.0,0.0,195.99999999999997,231.04,207.35999999999999,230.1774206225448,1.517159914519708
1.47,Saint-Louis-de-Montferrand_01,2021-01-05 23:06:00,23,1,216.08999999999997,0.0,0.0,213.15999999999997,195.99999999999997,231.04,220.67961042968753,1.4855288971598215
1.08,Saint-Louis-de-Montferrand_01,2021-01-06 01:06:00,1,2,116.64000000000001,0.0,0.0,216.08999999999997,213.15999999999997,195.99999999999997,115.89822237804277,1.076560366993151
0.91,Saint-Louis-de-Montferrand_01,2021-01-06 03:06:00,3,2,82.81,0.0,0.0,116.64000000000001,216.08999999999997,213.15999999999997,90.03686251838138,0.9488775606914803
0.85,Saint-Louis-de-Montferrand_01,2021-01-06 05:06:00,5,2,72.24999999999999,0.0,0.0,82.81,116.64000000000001,216.08999999999997,75.23013940318994,0.8673530965136975
0.98,Saint-Louis-de-Montferrand_01,2021-01-06 07:06:00,7,2,96.03999999999999,0.0,0.0,72.24999999999999,82.81,116.64000000000001,95.70674586236437,0.9782982462539958
1.02,Saint-Louis-de-Montferrand_01,2021-01-06 09:06:00,9,2,104.03999999999999,0.0,0.0,96.03999999999999,72.24999999999999,82.81,117.55805030729502,1.0842419024705465
1.08,Saint-Louis-de-Montferrand_01,2021-01-06 11:06:00,11,2,116.64000000000001,0.0,0.0,104.03999999999999,96.03999999999999,72.24999999999999,130.39981587791468,1.1419273876999128
1.14,Saint-Louis-de-Montferrand_01,2021-01-06 13:06:00,13,2,129.95999999999998,0.0,0.0,116.64000000000001,104.03999999999999,96.03999999999999,141.20795690251194,1.1883095425961703
1.17,Saint-Louis-de-Montferrand_01,2021-01-06 15:06:00,15,2,136.89,0.0,0.0,129.95999999999998,116.64000000000001,104.03999999999999,143.48634340130127,1.1978578521732086
1.42,Saint-Louis-de-Montferrand_01,2021-01-06 17:06:00,17,2,201.64,0.0,0.0,136.89,129.95999999999998,116.64000000000001,154.2000801406576,1.2417732487884316
1.28,Saint-Louis-de-Montferrand_01,2021-01-06 19:06:00,19,2,163.84,0.0,0.0,201.64,136.89,129.95999999999998,181.05673410132238,1.345573238814307
1.41,Saint-Louis-de-Montferrand_01,2021-01-06 21:06:00,21,2,198.80999999999997,0.0,0.0,163.84,201.64,136.89,192.17578915843092,1.3862748254167747
1.38,Saint-Louis-de-Montferrand_01,2021-01-06 23:06:00,23,2,190.43999999999997,0.0,0.0,198.80999999999997,163.84,201.64,201.13593485151597,1.418224012106395
1.15,Saint-Louis-de-Montferrand_01,2021-01-07 01:06:00,1,3,132.24999999999997,0.0,0.0,190.43999999999997,198.80999999999997,163.84,115.11541677678505,1.0729185280196492
0.93,Saint-Louis-de-Montferrand_01,2021-01-07 03:06:00,3,3,86.49000000000001,0.0,0.0,132.24999999999997,190.43999999999997,198.80999999999997,90.01410589606253,0.9487576397376863
