E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
1.12,Saint-Médard-En-Jalles_01,2021-01-05 07:06:00,7,1,125.44000000000001,0.0,0.0,,,,144.42640973546833,1.2017753938880107
1.37,Saint-Médard-En-Jalles_01,2021-01-05 09:06:00,9,1,187.69000000000003,0.0,0.0,125.44000000000001,,,182.24799100780692,1.3499925592676685
1.34,Saint-Médard-En-Jalles_01,2021-01-05 11:06:00,11,1,179.56000000000003,0.0,0.0,187.69000000000003,125.44000000000001,,204.59922619741712,1.4303818587965142
1.36,Saint-Médard-En-Jalles_01,2021-01-05 13:06:00,13,1,184.96000000000004,0.0,0.0,179.56000000000003,187.69000000000003,125.44000000000001,217.32565676249632,1.4741969229465117
1.32,Saint-Médard-En-Jalles_01,2021-01-05 15:06:00,15,1,174.24,0.0,0.0,184.96000000000004,179.56000000000003,187.69000000000003,222.67741538905,1.4922379682512104
1.46,Saint-Médard-En-Jalles_01,2021-01-05 17:06:00,17,1,213.15999999999997,0.0,0.0,174.24,184.96000000000004,179.56000000000003,229.05568825338895,1.5134585830256109
1.6,Saint-Médard-En-Jalles_01,2021-01-05 19:06:00,19,1,256.00000000000006,0.0,0.0,213.15999999999997,174.24,184.96000000000004,236.16981770436396,1.5367817597315632
1.72,Saint-Médard-En-Jalles_01,2021-01-05 21:06:00,21,1,295.84,0.0,0.0,256.00000000000006,213.15999999999997,174.24,252.50470548427333,1.5890396643390414
1.6,Saint-Médard-En-Jalles_01,2021-01-05 23:06:00,23,1,256.00000000000006,0.0,0.0,295.84,256.00000000000006,213.15999999999997,320.8446038568786,1.7912135658733679
1.2,Saint-Médard-En-Jalles_01,2021-01-06 01:06:00,1,2,144.0,0.0,0.0,256.00000000000006,295.84,256.00000000000006,219.08301139709275,1.480145301641338
1.12,Saint-Médard-En-Jalles_01,2021-01-06 03:06:00,3,2,125.44000000000001,0.0,0.0,144.0,256.00000000000006,295.84,135.4862828213153,1.1639857508634517
1.13,Saint-Médard-En-Jalles_01,2021-01-06 05:06:00,5,2,127.68999999999997,0.0,0.0,125.44000000000001,144.0,256.00000000000006,135.53987883598552,1.1642159543486146
1.2,Saint-Médard-En-Jalles_01,2021-01-06 07:06:00,7,2,144.0,0.0,0.0,127.68999999999997,125.44000000000001,144.0,146.3111394789388,1.2095914164664812
1.55,Saint-Médard-En-Jalles_01,2021-01-06 09:06:00,9,2,240.25000000000003,0.0,0.0,144.0,127.68999999999997,125.44000000000001,201.89131335087532,1.4208846306117726
1.54,Saint-Médard-En-Jalles_01,2021-01-06 11:06:00,11,2,237.16,0.0,0.0,240.25000000000003,144.0,127.68999999999997,210.43227339162107,1.4506283927719776
1.36,Saint-Médard-En-Jalles_01,2021-01-06 13:06:00,13,2,184.96000000000004,0.0,0.0,237.16,240.25000000000003,144.0,224.14144783466887,1.4971354241840278
1.4,Saint-Médard-En-Jalles_01,2021-01-06 15:06:00,15,2,195.99999999999997,0.0,0.0,184.96000000000004,237.16,240.25000000000003,231.0165348861947,1.519922810165683
1.67,Saint-Médard-En-Jalles_01,2021-01-06 17:06:00,17,2,278.89,0.0,0.0,195.99999999999997,184.96000000000004,237.16,242.94153903071637,1.5586582018862132
1.93,Saint-Médard-En-Jalles_01,2021-01-06 19:06:00,19,2,372.48999999999995,0.0,0.0,278.89,195.99999999999997,184.96000000000004,278.81861685193934,1.6697862643222916
1.44,Saint-Médard-En-Jalles_01,2021-01-06 21:06:00,21,2,207.35999999999999,0.0,0.0,372.48999999999995,278.89,195.99999999999997,326.81815436155125,1.8078112577411152
1.51,Saint-Médard-En-Jalles_01,2021-01-06 23:06:00,23,2,228.01,0.0,0.0,207.35999999999999,372.48999999999995,278.89,245.56803394458547,1.5670610516013264
1.58,Saint-Médard-En-Jalles_01,2021-01-07 01:06:00,1,3,249.64000000000004,0.0,0.0,228.01,207.35999999999999,372.48999999999995,205.13145082606786,1.4322410789600606
1.35,Saint-Médard-En-Jalles_01,2021-01-07 03:06:00,3,3,182.25000000000003,0.0,0.0,249.64000000000004,228.01,207.35999999999999,183.7394466452895,1.3555052439783828
1.33,Saint-Médard-En-Jalles_01,2021-01-07 05:06:00,5,3,176.89000000000001,0.0,0.0,182.25000000000003,249.64000000000004,228.01,177.3059852406868,1.331562935954162
1.53,Saint-Médard-En-Jalles_01,2021-01-07 07:06:00,7,3,234.09,0.0,0.0,176.89000000000001,182.25000000000003,249.64000000000004,209.54730788907943,1.4475748957794186
1.51,Saint-Médard-En-Jalles_01,2021-01-07 09:06:00,9,3,228.01,0.0,0.0,234.09,176.89000000000001,182.25000000000003,259.20318924529,1.6099788484489168
1.73,Saint-Médard-En-Jalles_01,2021-01-07 11:06:00,11,3,299.29,0.0,0.0,228.01,234.09,176.89000000000001,274.9723610217811,1.6582290584288442
1.69,Saint-Médard-En-Jalles_01,2021-01-07 13:06:00,13,3,285.60999999999996,0.0,0.0,299.29,228.01,234.09,278.72650424269307,1.6695104199815378
