E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.32,Saint-Vincent-de-Paul_01,2021-10-12 07:06:00,7,1,10.24,0.0,0.0,,,,6.431066536992326,0.2535954758467179
0.29,Saint-Vincent-de-Paul_01,2021-10-12 09:06:00,9,1,8.409999999999998,0.0,1.734723475976807e-18,10.24,,,8.564598147974339,0.29265334694778977
0.19,Saint-Vincent-de-Paul_01,2021-10-12 11:06:00,11,1,3.61,0.0,0.0,8.409999999999998,10.24,,7.55039983870822,0.2747799089946028
0.19,Saint-Vincent-de-Paul_01,2021-10-12 13:06:00,13,1,3.61,0.0,0.0,3.61,8.409999999999998,10.24,8.08723146341521,0.2843805806206747
0.46,Saint-Vincent-de-Paul_01,2021-10-12 15:06:00,15,1,21.16,0.0,0.0,3.61,3.61,8.409999999999998,12.930541031156038,0.35959061488248045
0.27,Saint-Vincent-de-Paul_01,2021-10-12 17:06:00,17,1,7.290000000000001,0.0,0.0,21.16,3.61,3.61,8.916223106618368,0.29860045389480516
0.36,Saint-Vincent-de-Paul_01,2021-10-12 19:06:00,19,1,12.959999999999999,0.0,0.0,7.290000000000001,21.16,3.61,12.202937939911124,0.3493270378872944
0.33,Saint-Vincent-de-Paul_01,2021-10-12 21:06:00,21,1,10.89,0.0,0.0,12.959999999999999,7.290000000000001,21.16,11.633169781030176,0.3410743288644013
0.21,Saint-Vincent-de-Paul_01,2021-10-12 23:06:00,23,1,4.409999999999999,0.0,0.0,10.89,12.959999999999999,7.290000000000001,8.258011273023696,0.28736755685052023
0.08,Saint-Vincent-de-Paul_01,2021-11-12 01:06:00,1,4,0.64,0.0,0.0,4.409999999999999,10.89,12.959999999999999,4.074980856846757,0.20186581822702815
0.22,Saint-Vincent-de-Paul_01,2021-11-12 03:06:00,3,4,4.84,0.0,0.0,0.64,4.409999999999999,10.89,5.472969495384643,0.23394378588422995
0.29,Saint-Vincent-de-Paul_01,2021-11-12 05:06:00,5,4,8.409999999999998,0.0,1.734723475976807e-18,4.84,0.64,4.409999999999999,6.283223280330379,0.2506635849167242
