E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.77,Strasbourg_08,2022-01-02 07:06:00,7,6,59.29,0.0,0.0,,,,64.79497453499116,0.8049532566242039
0.77,Strasbourg_08,2022-01-02 09:06:00,9,6,59.29,0.0,0.0,59.29,,,73.70307075537126,0.8585049257597259
0.86,Strasbourg_08,2022-01-02 11:06:00,11,6,73.96,0.0,0.0,59.29,59.29,,74.73359038042399,0.8644859188004395
0.84,Strasbourg_08,2022-01-02 13:06:00,13,6,70.55999999999999,0.0,0.0,73.96,59.29,59.29,76.38332216073849,0.8739755268927071
0.84,Strasbourg_08,2022-01-02 15:06:00,15,6,70.55999999999999,0.0,0.0,70.55999999999999,73.96,59.29,74.54443051731408,0.863391165795169
0.83,Strasbourg_08,2022-01-02 17:06:00,17,6,68.89,0.0,-1.734723475976807e-18,70.55999999999999,70.55999999999999,73.96,74.95869784239265,0.8657869128278195
0.82,Strasbourg_08,2022-01-02 19:06:00,19,6,67.23999999999998,0.0,1.734723475976807e-18,68.89,70.55999999999999,70.55999999999999,76.17715204283935,0.8727952339629231
0.86,Strasbourg_08,2022-01-02 21:06:00,21,6,73.96,0.0,0.0,67.23999999999998,68.89,70.55999999999999,75.67052788104728,0.8698880840720102
0.83,Strasbourg_08,2022-01-02 23:06:00,23,6,68.89,0.0,-1.734723475976807e-18,73.96,67.23999999999998,68.89,77.54741508748363,0.8806101015062433
0.81,Strasbourg_08,2022-01-03 01:06:00,1,0,65.61000000000001,0.0,0.0,68.89,73.96,67.23999999999998,58.47530618446455,0.7646914814777561
0.75,Strasbourg_08,2022-01-03 03:06:00,3,0,56.25,0.0,0.0,65.61000000000001,68.89,73.96,52.12002243626463,0.721941981299499
0.7,Strasbourg_08,2022-01-03 05:06:00,5,0,48.99999999999999,0.0,0.0,56.25,65.61000000000001,68.89,51.07425154884134,0.7146625185977039
0.73,Strasbourg_08,2022-01-03 07:06:00,7,0,53.28999999999999,0.0,0.0,48.99999999999999,56.25,65.61000000000001,58.27042643010768,0.7633506823872478
0.92,Strasbourg_08,2022-01-03 09:06:00,9,0,84.64,0.0,0.0,53.28999999999999,48.99999999999999,56.25,76.9833484299974,0.8774015524832254
