E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.71,Talence_01,2021-01-04 07:06:00,7,0,50.41,0.0,0.0,,,,48.657242112665436,0.6975474328865775
0.86,Talence_01,2021-01-04 09:06:00,9,0,73.96,0.0,0.0,50.41,,,76.72974115994252,0.8759551424584624
0.92,Talence_01,2021-01-04 11:06:00,11,0,84.64,0.0,0.0,73.96,50.41,,77.92263548930315,0.8827379876798276
0.95,Talence_01,2021-01-04 13:06:00,13,0,90.25,0.0,0.0,84.64,73.96,50.41,88.15083183001036,0.9388867441284405
0.83,Talence_01,2021-01-04 15:06:00,15,0,68.89,0.0,-1.734723475976807e-18,90.25,84.64,73.96,78.89941570400997,0.8882534306379568
1.04,Talence_01,2021-01-04 17:06:00,17,0,108.16000000000001,0.0,0.0,68.89,90.25,84.64,100.90312647169783,1.004505482671438
1.02,Talence_01,2021-01-04 19:06:00,19,0,104.03999999999999,0.0,0.0,108.16000000000001,68.89,90.25,101.94227902712555,1.0096646919999013
1.06,Talence_01,2021-01-04 21:06:00,21,0,112.36000000000001,0.0,0.0,104.03999999999999,108.16000000000001,68.89,104.24028603369374,1.0209813222272666
1.0,Talence_01,2021-01-04 23:06:00,23,0,100.0,0.0,0.0,112.36000000000001,104.03999999999999,108.16000000000001,104.27703335721444,1.0211612671719117
0.9,Talence_01,2021-01-05 01:06:00,1,1,81.0,0.0,0.0,100.0,112.36000000000001,104.03999999999999,73.25973669770774,0.8559190189364163
0.82,Talence_01,2021-01-05 03:06:00,3,1,67.23999999999998,0.0,1.734723475976807e-18,81.0,100.0,112.36000000000001,62.89392198697157,0.7930568831235978
0.57,Talence_01,2021-01-05 05:06:00,5,1,32.489999999999995,0.0,0.0,67.23999999999998,81.0,100.0,38.48168120114999,0.6203360476479663
0.57,Talence_01,2021-01-05 07:06:00,7,1,32.489999999999995,0.0,0.0,32.489999999999995,67.23999999999998,81.0,49.401715195472136,0.7028635372209326
