E,Sensor,Date,Hour,Weekday,Lambdas,N,Sum Gamma,Lambda_t-1,Lambda_t-2,Lambda_t-3,Lambda Pred,E pred
0.77,Villenave-d’Ornon_01,2021-01-05 07:06:00,7,1,59.29,0.0,0.0,,,,64.72849448440223,0.8045402071021822
0.88,Villenave-d’Ornon_01,2021-01-05 09:06:00,9,1,77.44,0.0,0.0,59.29,,,79.1771255751431,0.8898152930532442
0.93,Villenave-d’Ornon_01,2021-01-05 11:06:00,11,1,86.49000000000001,0.0,0.0,77.44,59.29,,91.73567792782205,0.9577874395074413
0.98,Villenave-d’Ornon_01,2021-01-05 13:06:00,13,1,96.03999999999999,0.0,0.0,86.49000000000001,77.44,59.29,98.6137116650982,0.9930443679166515
1.02,Villenave-d’Ornon_01,2021-01-05 15:06:00,15,1,104.03999999999999,0.0,0.0,96.03999999999999,86.49000000000001,77.44,94.28725443832496,0.9710162431098924
1.09,Villenave-d’Ornon_01,2021-01-05 17:06:00,17,1,118.81000000000002,0.0,0.0,104.03999999999999,96.03999999999999,86.49000000000001,105.20834412286499,1.0257111880196346
1.09,Villenave-d’Ornon_01,2021-01-05 19:06:00,19,1,118.81000000000002,0.0,0.0,118.81000000000002,104.03999999999999,96.03999999999999,108.62141487888454,1.042215979914358
1.12,Villenave-d’Ornon_01,2021-01-05 21:06:00,21,1,125.44000000000001,0.0,0.0,118.81000000000002,118.81000000000002,104.03999999999999,121.64684503459478,1.1029362857146137
1.11,Villenave-d’Ornon_01,2021-01-05 23:06:00,23,1,123.21000000000002,0.0,0.0,125.44000000000001,118.81000000000002,118.81000000000002,128.48394535811764,1.133507588673837
0.84,Villenave-d’Ornon_01,2021-01-06 01:06:00,1,2,70.55999999999999,0.0,0.0,123.21000000000002,125.44000000000001,118.81000000000002,67.68015981299436,0.822679523344263
0.68,Villenave-d’Ornon_01,2021-01-06 03:06:00,3,2,46.24000000000001,0.0,0.0,70.55999999999999,123.21000000000002,125.44000000000001,49.78175169217215,0.7055618448596278
0.66,Villenave-d’Ornon_01,2021-01-06 05:06:00,5,2,43.56,0.0,0.0,46.24000000000001,70.55999999999999,123.21000000000002,40.404418819486274,0.635644702797768
0.79,Villenave-d’Ornon_01,2021-01-06 07:06:00,7,2,62.41000000000001,0.0,0.0,43.56,46.24000000000001,70.55999999999999,58.92609236433114,0.7676333262979868
0.94,Villenave-d’Ornon_01,2021-01-06 09:06:00,9,2,88.35999999999999,0.0,0.0,62.41000000000001,43.56,46.24000000000001,81.95540151065298,0.9052922263592733
0.95,Villenave-d’Ornon_01,2021-01-06 11:06:00,11,2,90.25,0.0,0.0,88.35999999999999,62.41000000000001,43.56,92.53161773853189,0.9619335618353894
1.04,Villenave-d’Ornon_01,2021-01-06 13:06:00,13,2,108.16000000000001,0.0,0.0,90.25,88.35999999999999,62.41000000000001,109.26344313341265,1.045291553268334
1.01,Villenave-d’Ornon_01,2021-01-06 15:06:00,15,2,102.01,0.0,0.0,108.16000000000001,90.25,88.35999999999999,102.43893999612119,1.012121237777971
1.05,Villenave-d’Ornon_01,2021-01-06 17:06:00,17,2,110.25,0.0,0.0,102.01,108.16000000000001,90.25,106.90932313677067,1.0339696472178024
1.07,Villenave-d’Ornon_01,2021-01-06 19:06:00,19,2,114.49,0.0,0.0,110.25,102.01,108.16000000000001,109.13326454867543,1.044668677374197
1.13,Villenave-d’Ornon_01,2021-01-06 21:06:00,21,2,127.68999999999997,0.0,0.0,114.49,110.25,102.01,114.50047237819295,1.0700489352276976
